context: Come on, senpai! response:	Anti - Angel Operations Headquarters
context: Come on, senpai!\Anti - Angel Operations Headquarters response:	Let me test out my new move on you!
context: Come on, senpai!\Anti - Angel Operations Headquarters\Let me test out my new move on you! response:	I call it the 120 - Hour Beating!
context: Come on, senpai!\Anti - Angel Operations Headquarters\Let me test out my new move on you!\I call it the 120 - Hour Beating! response:	One, two, hey, yo, let's dance!
context: Come on, senpai!\Anti - Angel Operations Headquarters\Let me test out my new move on you!\I call it the 120 - Hour Beating!\One, two, hey, yo, let's dance! response:	Hey come on, it'll be fine!
context: Come on, senpai!\Anti - Angel Operations Headquarters\Let me test out my new move on you!\I call it the 120 - Hour Beating!\One, two, hey, yo, let's dance!\Hey come on, it'll be fine! response:	New move! New move!
context: Come on, senpai!\Anti - Angel Operations Headquarters\Let me test out my new move on you!\I call it the 120 - Hour Beating!\One, two, hey, yo, let's dance!\Hey come on, it'll be fine!\New move! New move! response:	They're so cute, aren't they Shiina - san?
context: Come on, senpai!\Anti - Angel Operations Headquarters\Let me test out my new move on you!\I call it the 120 - Hour Beating!\One, two, hey, yo, let's dance!\Hey come on, it'll be fine!\New move! New move!\They're so cute, aren't they Shiina - san? response:	How shallow...
context: Anti - Angel Operations Headquarters\Let me test out my new move on you!\I call it the 120 - Hour Beating!\One, two, hey, yo, let's dance!\Hey come on, it'll be fine!\New move! New move!\They're so cute, aren't they Shiina - san?\How shallow... response:	Are you ignoring me?
context: Let me test out my new move on you!\I call it the 120 - Hour Beating!\One, two, hey, yo, let's dance!\Hey come on, it'll be fine!\New move! New move!\They're so cute, aren't they Shiina - san?\How shallow...\Are you ignoring me? response:	Seriously?
context: I call it the 120 - Hour Beating!\One, two, hey, yo, let's dance!\Hey come on, it'll be fine!\New move! New move!\They're so cute, aren't they Shiina - san?\How shallow...\Are you ignoring me?\Seriously? response:	What is this, an elementary school?
context: One, two, hey, yo, let's dance!\Hey come on, it'll be fine!\New move! New move!\They're so cute, aren't they Shiina - san?\How shallow...\Are you ignoring me?\Seriously?\What is this, an elementary school? response:	Fine, I'll go ask Oyama - senpai!
context: Hey come on, it'll be fine!\New move! New move!\They're so cute, aren't they Shiina - san?\How shallow...\Are you ignoring me?\Seriously?\What is this, an elementary school?\Fine, I'll go ask Oyama - senpai! response:	All we do is take on more brats.
context: New move! New move!\They're so cute, aren't they Shiina - san?\How shallow...\Are you ignoring me?\Seriously?\What is this, an elementary school?\Fine, I'll go ask Oyama - senpai!\All we do is take on more brats. response:	Are you talking to me, scum?
context: They're so cute, aren't they Shiina - san?\How shallow...\Are you ignoring me?\Seriously?\What is this, an elementary school?\Fine, I'll go ask Oyama - senpai!\All we do is take on more brats.\Are you talking to me, scum? response:	I am your God.
context: How shallow...\Are you ignoring me?\Seriously?\What is this, an elementary school?\Fine, I'll go ask Oyama - senpai!\All we do is take on more brats.\Are you talking to me, scum?\I am your God. response:	What? You still on about that?
context: Are you ignoring me?\Seriously?\What is this, an elementary school?\Fine, I'll go ask Oyama - senpai!\All we do is take on more brats.\Are you talking to me, scum?\I am your God.\What? You still on about that? response:	You were clinging onto Otonashi and crying like a baby.
context: Seriously?\What is this, an elementary school?\Fine, I'll go ask Oyama - senpai!\All we do is take on more brats.\Are you talking to me, scum?\I am your God.\What? You still on about that?\You were clinging onto Otonashi and crying like a baby. response:	Who was crying?
context: What is this, an elementary school?\Fine, I'll go ask Oyama - senpai!\All we do is take on more brats.\Are you talking to me, scum?\I am your God.\What? You still on about that?\You were clinging onto Otonashi and crying like a baby.\Who was crying? response:	The one crying will be you.
context: Fine, I'll go ask Oyama - senpai!\All we do is take on more brats.\Are you talking to me, scum?\I am your God.\What? You still on about that?\You were clinging onto Otonashi and crying like a baby.\Who was crying?\The one crying will be you. response:	Now, you will realize the greatness of clothespins,
context: All we do is take on more brats.\Are you talking to me, scum?\I am your God.\What? You still on about that?\You were clinging onto Otonashi and crying like a baby.\Who was crying?\The one crying will be you.\Now, you will realize the greatness of clothespins, response:	and in comparison, your worthlessness, and despair.
context: Are you talking to me, scum?\I am your God.\What? You still on about that?\You were clinging onto Otonashi and crying like a baby.\Who was crying?\The one crying will be you.\Now, you will realize the greatness of clothespins,\and in comparison, your worthlessness, and despair. response:	A clothespin...
context: I am your God.\What? You still on about that?\You were clinging onto Otonashi and crying like a baby.\Who was crying?\The one crying will be you.\Now, you will realize the greatness of clothespins,\and in comparison, your worthlessness, and despair.\A clothespin... response:	You pin it...
context: What? You still on about that?\You were clinging onto Otonashi and crying like a baby.\Who was crying?\The one crying will be you.\Now, you will realize the greatness of clothespins,\and in comparison, your worthlessness, and despair.\A clothespin...\You pin it... response:	You pin it and it doesn't fall...
context: You were clinging onto Otonashi and crying like a baby.\Who was crying?\The one crying will be you.\Now, you will realize the greatness of clothespins,\and in comparison, your worthlessness, and despair.\A clothespin...\You pin it...\You pin it and it doesn't fall... response:	The laundry doesn't get dirty!
context: Who was crying?\The one crying will be you.\Now, you will realize the greatness of clothespins,\and in comparison, your worthlessness, and despair.\A clothespin...\You pin it...\You pin it and it doesn't fall...\The laundry doesn't get dirty! response:	So beautiful!
context: The one crying will be you.\Now, you will realize the greatness of clothespins,\and in comparison, your worthlessness, and despair.\A clothespin...\You pin it...\You pin it and it doesn't fall...\The laundry doesn't get dirty!\So beautiful! response:	You can use it instead of a paper clip or just about anything else!
context: Now, you will realize the greatness of clothespins,\and in comparison, your worthlessness, and despair.\A clothespin...\You pin it...\You pin it and it doesn't fall...\The laundry doesn't get dirty!\So beautiful!\You can use it instead of a paper clip or just about anything else! response:	I'm nothing compared to it!
context: and in comparison, your worthlessness, and despair.\A clothespin...\You pin it...\You pin it and it doesn't fall...\The laundry doesn't get dirty!\So beautiful!\You can use it instead of a paper clip or just about anything else!\I'm nothing compared to it! response:	I'm so worthless!
context: A clothespin...\You pin it...\You pin it and it doesn't fall...\The laundry doesn't get dirty!\So beautiful!\You can use it instead of a paper clip or just about anything else!\I'm nothing compared to it!\I'm so worthless! response:	There's no hope for me at all!
context: You pin it...\You pin it and it doesn't fall...\The laundry doesn't get dirty!\So beautiful!\You can use it instead of a paper clip or just about anything else!\I'm nothing compared to it!\I'm so worthless!\There's no hope for me at all! response:	Hey, don't use hypnotism to fight back.
context: You pin it and it doesn't fall...\The laundry doesn't get dirty!\So beautiful!\You can use it instead of a paper clip or just about anything else!\I'm nothing compared to it!\I'm so worthless!\There's no hope for me at all!\Hey, don't use hypnotism to fight back. response:	Otonashi - san, good morning!
context: The laundry doesn't get dirty!\So beautiful!\You can use it instead of a paper clip or just about anything else!\I'm nothing compared to it!\I'm so worthless!\There's no hope for me at all!\Hey, don't use hypnotism to fight back.\Otonashi - san, good morning! response:	What did you do to him?
context: So beautiful!\You can use it instead of a paper clip or just about anything else!\I'm nothing compared to it!\I'm so worthless!\There's no hope for me at all!\Hey, don't use hypnotism to fight back.\Otonashi - san, good morning!\What did you do to him? response:	He came at me first.
context: You can use it instead of a paper clip or just about anything else!\I'm nothing compared to it!\I'm so worthless!\There's no hope for me at all!\Hey, don't use hypnotism to fight back.\Otonashi - san, good morning!\What did you do to him?\He came at me first. response:	I tried to be gentle.
context: I'm nothing compared to it!\I'm so worthless!\There's no hope for me at all!\Hey, don't use hypnotism to fight back.\Otonashi - san, good morning!\What did you do to him?\He came at me first.\I tried to be gentle. response:	What part of that is gentle?
context: I'm so worthless!\There's no hope for me at all!\Hey, don't use hypnotism to fight back.\Otonashi - san, good morning!\What did you do to him?\He came at me first.\I tried to be gentle.\What part of that is gentle? response:	You have a grown man on his knees crying like a baby.
context: There's no hope for me at all!\Hey, don't use hypnotism to fight back.\Otonashi - san, good morning!\What did you do to him?\He came at me first.\I tried to be gentle.\What part of that is gentle?\You have a grown man on his knees crying like a baby. response:	Otonashi - kun, Naoi - kun.
context: Hey, don't use hypnotism to fight back.\Otonashi - san, good morning!\What did you do to him?\He came at me first.\I tried to be gentle.\What part of that is gentle?\You have a grown man on his knees crying like a baby.\Otonashi - kun, Naoi - kun. response:	I have something to discuss.
context: Otonashi - san, good morning!\What did you do to him?\He came at me first.\I tried to be gentle.\What part of that is gentle?\You have a grown man on his knees crying like a baby.\Otonashi - kun, Naoi - kun.\I have something to discuss. response:	Come with me for a bit.
context: What did you do to him?\He came at me first.\I tried to be gentle.\What part of that is gentle?\You have a grown man on his knees crying like a baby.\Otonashi - kun, Naoi - kun.\I have something to discuss.\Come with me for a bit. response:	Staff Building 3rd Floor Empty room
context: He came at me first.\I tried to be gentle.\What part of that is gentle?\You have a grown man on his knees crying like a baby.\Otonashi - kun, Naoi - kun.\I have something to discuss.\Come with me for a bit.\Staff Building 3rd Floor Empty room response:	What is it?
context: I tried to be gentle.\What part of that is gentle?\You have a grown man on his knees crying like a baby.\Otonashi - kun, Naoi - kun.\I have something to discuss.\Come with me for a bit.\Staff Building 3rd Floor Empty room\What is it? response:	Why did you call us all the way out here?
