context: What are kyoshi? response:	Walking corpses.
context: What are kyoshi?\Walking corpses. response:	You can ask Theo for the details when we're back outside.
context: What are kyoshi?\Walking corpses.\You can ask Theo for the details when we're back outside. response:	We can get back outside, right, Sakaki-san?
context: What are kyoshi?\Walking corpses.\You can ask Theo for the details when we're back outside.\We can get back outside, right, Sakaki-san? response:	Of course!
context: What are kyoshi?\Walking corpses.\You can ask Theo for the details when we're back outside.\We can get back outside, right, Sakaki-san?\Of course! response:	Right!
context: What are kyoshi?\Walking corpses.\You can ask Theo for the details when we're back outside.\We can get back outside, right, Sakaki-san?\Of course!\Right! response:	Shit! Who put this obnoxious ritual here?
context: What are kyoshi?\Walking corpses.\You can ask Theo for the details when we're back outside.\We can get back outside, right, Sakaki-san?\Of course!\Right!\Shit! Who put this obnoxious ritual here? response:	Himeduka-san?
context: What are kyoshi?\Walking corpses.\You can ask Theo for the details when we're back outside.\We can get back outside, right, Sakaki-san?\Of course!\Right!\Shit! Who put this obnoxious ritual here?\Himeduka-san? response:	Kanoichi?
context: Walking corpses.\You can ask Theo for the details when we're back outside.\We can get back outside, right, Sakaki-san?\Of course!\Right!\Shit! Who put this obnoxious ritual here?\Himeduka-san?\Kanoichi? response:	Hey, Chiyoda Ward's here.
context: You can ask Theo for the details when we're back outside.\We can get back outside, right, Sakaki-san?\Of course!\Right!\Shit! Who put this obnoxious ritual here?\Himeduka-san?\Kanoichi?\Hey, Chiyoda Ward's here. response:	Senda requested backup.
context: We can get back outside, right, Sakaki-san?\Of course!\Right!\Shit! Who put this obnoxious ritual here?\Himeduka-san?\Kanoichi?\Hey, Chiyoda Ward's here.\Senda requested backup. response:	He said to pay you back for borrowing your new kid.
context: Of course!\Right!\Shit! Who put this obnoxious ritual here?\Himeduka-san?\Kanoichi?\Hey, Chiyoda Ward's here.\Senda requested backup.\He said to pay you back for borrowing your new kid. response:	That's Reiji-kun for you. We're saved.
context: Right!\Shit! Who put this obnoxious ritual here?\Himeduka-san?\Kanoichi?\Hey, Chiyoda Ward's here.\Senda requested backup.\He said to pay you back for borrowing your new kid.\That's Reiji-kun for you. We're saved. response:	Himeduka-san, you really found a kyoshi ritual?
context: Shit! Who put this obnoxious ritual here?\Himeduka-san?\Kanoichi?\Hey, Chiyoda Ward's here.\Senda requested backup.\He said to pay you back for borrowing your new kid.\That's Reiji-kun for you. We're saved.\Himeduka-san, you really found a kyoshi ritual? response:	Yes. The stolen izuna tails in Aichi,
context: Himeduka-san?\Kanoichi?\Hey, Chiyoda Ward's here.\Senda requested backup.\He said to pay you back for borrowing your new kid.\That's Reiji-kun for you. We're saved.\Himeduka-san, you really found a kyoshi ritual?\Yes. The stolen izuna tails in Aichi, response:	the stolen hair of the family god,
context: Kanoichi?\Hey, Chiyoda Ward's here.\Senda requested backup.\He said to pay you back for borrowing your new kid.\That's Reiji-kun for you. We're saved.\Himeduka-san, you really found a kyoshi ritual?\Yes. The stolen izuna tails in Aichi,\the stolen hair of the family god, response:	the fairy dust, the mermaid scales...
context: Hey, Chiyoda Ward's here.\Senda requested backup.\He said to pay you back for borrowing your new kid.\That's Reiji-kun for you. We're saved.\Himeduka-san, you really found a kyoshi ritual?\Yes. The stolen izuna tails in Aichi,\the stolen hair of the family god,\the fairy dust, the mermaid scales... response:	and the centuries-old grave dirt from Toyama Park.
context: Senda requested backup.\He said to pay you back for borrowing your new kid.\That's Reiji-kun for you. We're saved.\Himeduka-san, you really found a kyoshi ritual?\Yes. The stolen izuna tails in Aichi,\the stolen hair of the family god,\the fairy dust, the mermaid scales...\and the centuries-old grave dirt from Toyama Park. response:	It was all...
context: He said to pay you back for borrowing your new kid.\That's Reiji-kun for you. We're saved.\Himeduka-san, you really found a kyoshi ritual?\Yes. The stolen izuna tails in Aichi,\the stolen hair of the family god,\the fairy dust, the mermaid scales...\and the centuries-old grave dirt from Toyama Park.\It was all... response:	For the ritual to create the kyoshi...
context: That's Reiji-kun for you. We're saved.\Himeduka-san, you really found a kyoshi ritual?\Yes. The stolen izuna tails in Aichi,\the stolen hair of the family god,\the fairy dust, the mermaid scales...\and the centuries-old grave dirt from Toyama Park.\It was all...\For the ritual to create the kyoshi... response:	The kyoshi?!
context: Himeduka-san, you really found a kyoshi ritual?\Yes. The stolen izuna tails in Aichi,\the stolen hair of the family god,\the fairy dust, the mermaid scales...\and the centuries-old grave dirt from Toyama Park.\It was all...\For the ritual to create the kyoshi...\The kyoshi?! response:	Theo, what are you doing here?!
context: Yes. The stolen izuna tails in Aichi,\the stolen hair of the family god,\the fairy dust, the mermaid scales...\and the centuries-old grave dirt from Toyama Park.\It was all...\For the ritual to create the kyoshi...\The kyoshi?!\Theo, what are you doing here?! response:	Kyoichi! You're safe?
context: the stolen hair of the family god,\the fairy dust, the mermaid scales...\and the centuries-old grave dirt from Toyama Park.\It was all...\For the ritual to create the kyoshi...\The kyoshi?!\Theo, what are you doing here?!\Kyoichi! You're safe? response:	Y-Yeah, I guess.
context: the fairy dust, the mermaid scales...\and the centuries-old grave dirt from Toyama Park.\It was all...\For the ritual to create the kyoshi...\The kyoshi?!\Theo, what are you doing here?!\Kyoichi! You're safe?\Y-Yeah, I guess. response:	What's that Another behind you?
context: and the centuries-old grave dirt from Toyama Park.\It was all...\For the ritual to create the kyoshi...\The kyoshi?!\Theo, what are you doing here?!\Kyoichi! You're safe?\Y-Yeah, I guess.\What's that Another behind you? response:	I've never seen...
context: It was all...\For the ritual to create the kyoshi...\The kyoshi?!\Theo, what are you doing here?!\Kyoichi! You're safe?\Y-Yeah, I guess.\What's that Another behind you?\I've never seen... response:	Long black hair...
context: For the ritual to create the kyoshi...\The kyoshi?!\Theo, what are you doing here?!\Kyoichi! You're safe?\Y-Yeah, I guess.\What's that Another behind you?\I've never seen...\Long black hair... response:	Golden, shining beast eyes...
context: The kyoshi?!\Theo, what are you doing here?!\Kyoichi! You're safe?\Y-Yeah, I guess.\What's that Another behind you?\I've never seen...\Long black hair...\Golden, shining beast eyes... response:	It's that thief?
context: Theo, what are you doing here?!\Kyoichi! You're safe?\Y-Yeah, I guess.\What's that Another behind you?\I've never seen...\Long black hair...\Golden, shining beast eyes...\It's that thief? response:	He took Suzu-chan's hair?
context: Kyoichi! You're safe?\Y-Yeah, I guess.\What's that Another behind you?\I've never seen...\Long black hair...\Golden, shining beast eyes...\It's that thief?\He took Suzu-chan's hair? response:	How rare to see you with humans, Seimei.
context: Y-Yeah, I guess.\What's that Another behind you?\I've never seen...\Long black hair...\Golden, shining beast eyes...\It's that thief?\He took Suzu-chan's hair?\How rare to see you with humans, Seimei. response:	I suppose it has been a long time, so I guess you've changed, too.
context: What's that Another behind you?\I've never seen...\Long black hair...\Golden, shining beast eyes...\It's that thief?\He took Suzu-chan's hair?\How rare to see you with humans, Seimei.\I suppose it has been a long time, so I guess you've changed, too. response:	Well, it doesn't matter.
