context: Answer me! response:	You were there during that day when South America vanished.
context: Answer me!\You were there during that day when South America vanished. response:	You, Amber, and Pai were all there.
context: Answer me!\You were there during that day when South America vanished.\You, Amber, and Pai were all there. response:	What happened?
context: Answer me!\You were there during that day when South America vanished.\You, Amber, and Pai were all there.\What happened? response:	Why are we the only ones here?
context: Answer me!\You were there during that day when South America vanished.\You, Amber, and Pai were all there.\What happened?\Why are we the only ones here? response:	Where are they?
context: Answer me!\You were there during that day when South America vanished.\You, Amber, and Pai were all there.\What happened?\Why are we the only ones here?\Where are they? response:	Where's Pai? Where's my sister?
context: Answer me!\You were there during that day when South America vanished.\You, Amber, and Pai were all there.\What happened?\Why are we the only ones here?\Where are they?\Where's Pai? Where's my sister? response:	I'm not a part of their group.
context: Answer me!\You were there during that day when South America vanished.\You, Amber, and Pai were all there.\What happened?\Why are we the only ones here?\Where are they?\Where's Pai? Where's my sister?\I'm not a part of their group. response:	I don't know anything about Amber or anyone else.
context: You were there during that day when South America vanished.\You, Amber, and Pai were all there.\What happened?\Why are we the only ones here?\Where are they?\Where's Pai? Where's my sister?\I'm not a part of their group.\I don't know anything about Amber or anyone else. response:	I don't even know if they're alive.
context: You, Amber, and Pai were all there.\What happened?\Why are we the only ones here?\Where are they?\Where's Pai? Where's my sister?\I'm not a part of their group.\I don't know anything about Amber or anyone else.\I don't even know if they're alive. response:	In order to carry out orders from the syndicate, I was definitely in South America that day.
context: What happened?\Why are we the only ones here?\Where are they?\Where's Pai? Where's my sister?\I'm not a part of their group.\I don't know anything about Amber or anyone else.\I don't even know if they're alive.\In order to carry out orders from the syndicate, I was definitely in South America that day. response:	However, I don't remember anything since that incident.
context: Why are we the only ones here?\Where are they?\Where's Pai? Where's my sister?\I'm not a part of their group.\I don't know anything about Amber or anyone else.\I don't even know if they're alive.\In order to carry out orders from the syndicate, I was definitely in South America that day.\However, I don't remember anything since that incident. response:	When I regained consciousness, I was already abroad in a rural area of Europe.
context: Where are they?\Where's Pai? Where's my sister?\I'm not a part of their group.\I don't know anything about Amber or anyone else.\I don't even know if they're alive.\In order to carry out orders from the syndicate, I was definitely in South America that day.\However, I don't remember anything since that incident.\When I regained consciousness, I was already abroad in a rural area of Europe. response:	For some reason, I had also lost my abilities.
context: Where's Pai? Where's my sister?\I'm not a part of their group.\I don't know anything about Amber or anyone else.\I don't even know if they're alive.\In order to carry out orders from the syndicate, I was definitely in South America that day.\However, I don't remember anything since that incident.\When I regained consciousness, I was already abroad in a rural area of Europe.\For some reason, I had also lost my abilities. response:	I never set foot outside that town since.
context: I'm not a part of their group.\I don't know anything about Amber or anyone else.\I don't even know if they're alive.\In order to carry out orders from the syndicate, I was definitely in South America that day.\However, I don't remember anything since that incident.\When I regained consciousness, I was already abroad in a rural area of Europe.\For some reason, I had also lost my abilities.\I never set foot outside that town since. response:	I was just... alive.
context: I don't know anything about Amber or anyone else.\I don't even know if they're alive.\In order to carry out orders from the syndicate, I was definitely in South America that day.\However, I don't remember anything since that incident.\When I regained consciousness, I was already abroad in a rural area of Europe.\For some reason, I had also lost my abilities.\I never set foot outside that town since.\I was just... alive. response:	A quiet life, empty of the syndicate and my contract.
context: I don't even know if they're alive.\In order to carry out orders from the syndicate, I was definitely in South America that day.\However, I don't remember anything since that incident.\When I regained consciousness, I was already abroad in a rural area of Europe.\For some reason, I had also lost my abilities.\I never set foot outside that town since.\I was just... alive.\A quiet life, empty of the syndicate and my contract. response:	I wasn't asking you about that!
context: In order to carry out orders from the syndicate, I was definitely in South America that day.\However, I don't remember anything since that incident.\When I regained consciousness, I was already abroad in a rural area of Europe.\For some reason, I had also lost my abilities.\I never set foot outside that town since.\I was just... alive.\A quiet life, empty of the syndicate and my contract.\I wasn't asking you about that! response:	How can I make you believe me?
context: However, I don't remember anything since that incident.\When I regained consciousness, I was already abroad in a rural area of Europe.\For some reason, I had also lost my abilities.\I never set foot outside that town since.\I was just... alive.\A quiet life, empty of the syndicate and my contract.\I wasn't asking you about that!\How can I make you believe me? response:	I don't have the information you're looking for.
context: When I regained consciousness, I was already abroad in a rural area of Europe.\For some reason, I had also lost my abilities.\I never set foot outside that town since.\I was just... alive.\A quiet life, empty of the syndicate and my contract.\I wasn't asking you about that!\How can I make you believe me?\I don't have the information you're looking for. response:	If you've ever established a contract, you would know better than anyone else.
context: For some reason, I had also lost my abilities.\I never set foot outside that town since.\I was just... alive.\A quiet life, empty of the syndicate and my contract.\I wasn't asking you about that!\How can I make you believe me?\I don't have the information you're looking for.\If you've ever established a contract, you would know better than anyone else. response:	The greatest priority of a contractor doesn't lie with the syndicate nor its ideologies.
