context: Out of my way, Michelle! response:	Don't come any closer to Nee-san!
context: Out of my way, Michelle!\Don't come any closer to Nee-san! response:	Leave us alone!
context: Out of my way, Michelle!\Don't come any closer to Nee-san!\Leave us alone! response:	Listen to me and your lives will be spared.
context: Out of my way, Michelle!\Don't come any closer to Nee-san!\Leave us alone!\Listen to me and your lives will be spared. response:	What's that?!
context: Out of my way, Michelle!\Don't come any closer to Nee-san!\Leave us alone!\Listen to me and your lives will be spared.\What's that?! response:	You have some gall tricking us! And you call yourself a Man?!
context: Out of my way, Michelle!\Don't come any closer to Nee-san!\Leave us alone!\Listen to me and your lives will be spared.\What's that?!\You have some gall tricking us! And you call yourself a Man?! response:	Release the princess now!
context: Out of my way, Michelle!\Don't come any closer to Nee-san!\Leave us alone!\Listen to me and your lives will be spared.\What's that?!\You have some gall tricking us! And you call yourself a Man?!\Release the princess now! response:	Everyone...
context: Out of my way, Michelle!\Don't come any closer to Nee-san!\Leave us alone!\Listen to me and your lives will be spared.\What's that?!\You have some gall tricking us! And you call yourself a Man?!\Release the princess now!\Everyone... response:	Michelle!
context: Don't come any closer to Nee-san!\Leave us alone!\Listen to me and your lives will be spared.\What's that?!\You have some gall tricking us! And you call yourself a Man?!\Release the princess now!\Everyone...\Michelle! response:	Don't worry.
context: Leave us alone!\Listen to me and your lives will be spared.\What's that?!\You have some gall tricking us! And you call yourself a Man?!\Release the princess now!\Everyone...\Michelle!\Don't worry. response:	I'll protect you, Nee-san.
context: Listen to me and your lives will be spared.\What's that?!\You have some gall tricking us! And you call yourself a Man?!\Release the princess now!\Everyone...\Michelle!\Don't worry.\I'll protect you, Nee-san. response:	That's our line!
context: What's that?!\You have some gall tricking us! And you call yourself a Man?!\Release the princess now!\Everyone...\Michelle!\Don't worry.\I'll protect you, Nee-san.\That's our line! response:	Elfman and I will draw her away.
context: You have some gall tricking us! And you call yourself a Man?!\Release the princess now!\Everyone...\Michelle!\Don't worry.\I'll protect you, Nee-san.\That's our line!\Elfman and I will draw her away. response:	Meantime, you grab Lucy and get out of here, Coco.
context: Release the princess now!\Everyone...\Michelle!\Don't worry.\I'll protect you, Nee-san.\That's our line!\Elfman and I will draw her away.\Meantime, you grab Lucy and get out of here, Coco. response:	Roger!
context: Everyone...\Michelle!\Don't worry.\I'll protect you, Nee-san.\That's our line!\Elfman and I will draw her away.\Meantime, you grab Lucy and get out of here, Coco.\Roger! response:	Let's go!
context: Michelle!\Don't worry.\I'll protect you, Nee-san.\That's our line!\Elfman and I will draw her away.\Meantime, you grab Lucy and get out of here, Coco.\Roger!\Let's go! response:	Thanks to the previous Master, we're being protected from Real Nightmare,
context: Don't worry.\I'll protect you, Nee-san.\That's our line!\Elfman and I will draw her away.\Meantime, you grab Lucy and get out of here, Coco.\Roger!\Let's go!\Thanks to the previous Master, we're being protected from Real Nightmare, response:	but that's him... How can I put it...?
context: I'll protect you, Nee-san.\That's our line!\Elfman and I will draw her away.\Meantime, you grab Lucy and get out of here, Coco.\Roger!\Let's go!\Thanks to the previous Master, we're being protected from Real Nightmare,\but that's him... How can I put it...? response:	Shut up! I'm sorry for being an inept master!
context: That's our line!\Elfman and I will draw her away.\Meantime, you grab Lucy and get out of here, Coco.\Roger!\Let's go!\Thanks to the previous Master, we're being protected from Real Nightmare,\but that's him... How can I put it...?\Shut up! I'm sorry for being an inept master! response:	Don't take offense at every little thing!
context: Elfman and I will draw her away.\Meantime, you grab Lucy and get out of here, Coco.\Roger!\Let's go!\Thanks to the previous Master, we're being protected from Real Nightmare,\but that's him... How can I put it...?\Shut up! I'm sorry for being an inept master!\Don't take offense at every little thing! response:	What's the status of Kinana's search party?
context: Meantime, you grab Lucy and get out of here, Coco.\Roger!\Let's go!\Thanks to the previous Master, we're being protected from Real Nightmare,\but that's him... How can I put it...?\Shut up! I'm sorry for being an inept master!\Don't take offense at every little thing!\What's the status of Kinana's search party? response:	Well, Fried's runes should hold out for several hours,
context: Roger!\Let's go!\Thanks to the previous Master, we're being protected from Real Nightmare,\but that's him... How can I put it...?\Shut up! I'm sorry for being an inept master!\Don't take offense at every little thing!\What's the status of Kinana's search party?\Well, Fried's runes should hold out for several hours, response:	but they haven't found any trace of her yet.
context: Let's go!\Thanks to the previous Master, we're being protected from Real Nightmare,\but that's him... How can I put it...?\Shut up! I'm sorry for being an inept master!\Don't take offense at every little thing!\What's the status of Kinana's search party?\Well, Fried's runes should hold out for several hours,\but they haven't found any trace of her yet. response:	Shit. I'm getting impatient...
context: Thanks to the previous Master, we're being protected from Real Nightmare,\but that's him... How can I put it...?\Shut up! I'm sorry for being an inept master!\Don't take offense at every little thing!\What's the status of Kinana's search party?\Well, Fried's runes should hold out for several hours,\but they haven't found any trace of her yet.\Shit. I'm getting impatient... response:	Is there anything I can do?
context: but that's him... How can I put it...?\Shut up! I'm sorry for being an inept master!\Don't take offense at every little thing!\What's the status of Kinana's search party?\Well, Fried's runes should hold out for several hours,\but they haven't found any trace of her yet.\Shit. I'm getting impatient...\Is there anything I can do? response:	The Master should just sit around with gravitas.
context: Shut up! I'm sorry for being an inept master!\Don't take offense at every little thing!\What's the status of Kinana's search party?\Well, Fried's runes should hold out for several hours,\but they haven't found any trace of her yet.\Shit. I'm getting impatient...\Is there anything I can do?\The Master should just sit around with gravitas. response:	By the way... I haven't seen Romeo lately...
context: Don't take offense at every little thing!\What's the status of Kinana's search party?\Well, Fried's runes should hold out for several hours,\but they haven't found any trace of her yet.\Shit. I'm getting impatient...\Is there anything I can do?\The Master should just sit around with gravitas.\By the way... I haven't seen Romeo lately... response:	I still thought of him as a rugrat...
context: What's the status of Kinana's search party?\Well, Fried's runes should hold out for several hours,\but they haven't found any trace of her yet.\Shit. I'm getting impatient...\Is there anything I can do?\The Master should just sit around with gravitas.\By the way... I haven't seen Romeo lately...\I still thought of him as a rugrat... response:	I'm trying to say he's become a man.
context: Well, Fried's runes should hold out for several hours,\but they haven't found any trace of her yet.\Shit. I'm getting impatient...\Is there anything I can do?\The Master should just sit around with gravitas.\By the way... I haven't seen Romeo lately...\I still thought of him as a rugrat...\I'm trying to say he's become a man. response:	Yeesh. He reminds me of someone I know...
context: but they haven't found any trace of her yet.\Shit. I'm getting impatient...\Is there anything I can do?\The Master should just sit around with gravitas.\By the way... I haven't seen Romeo lately...\I still thought of him as a rugrat...\I'm trying to say he's become a man.\Yeesh. He reminds me of someone I know... response:	Ow...
context: Shit. I'm getting impatient...\Is there anything I can do?\The Master should just sit around with gravitas.\By the way... I haven't seen Romeo lately...\I still thought of him as a rugrat...\I'm trying to say he's become a man.\Yeesh. He reminds me of someone I know...\Ow... response:	Wait for me, Natsu-nii, Lucy-nee...
context: Is there anything I can do?\The Master should just sit around with gravitas.\By the way... I haven't seen Romeo lately...\I still thought of him as a rugrat...\I'm trying to say he's become a man.\Yeesh. He reminds me of someone I know...\Ow...\Wait for me, Natsu-nii, Lucy-nee... response:	Michelle...
context: The Master should just sit around with gravitas.\By the way... I haven't seen Romeo lately...\I still thought of him as a rugrat...\I'm trying to say he's become a man.\Yeesh. He reminds me of someone I know...\Ow...\Wait for me, Natsu-nii, Lucy-nee...\Michelle... response:	An Angel's Tears!
context: By the way... I haven't seen Romeo lately...\I still thought of him as a rugrat...\I'm trying to say he's become a man.\Yeesh. He reminds me of someone I know...\Ow...\Wait for me, Natsu-nii, Lucy-nee...\Michelle...\An Angel's Tears! response:	Man!!
context: I still thought of him as a rugrat...\I'm trying to say he's become a man.\Yeesh. He reminds me of someone I know...\Ow...\Wait for me, Natsu-nii, Lucy-nee...\Michelle...\An Angel's Tears!\Man!! response:	Elfman! Coco!
context: I'm trying to say he's become a man.\Yeesh. He reminds me of someone I know...\Ow...\Wait for me, Natsu-nii, Lucy-nee...\Michelle...\An Angel's Tears!\Man!!\Elfman! Coco! response:	E-Eight points... I'm alright!
context: Yeesh. He reminds me of someone I know...\Ow...\Wait for me, Natsu-nii, Lucy-nee...\Michelle...\An Angel's Tears!\Man!!\Elfman! Coco!\E-Eight points... I'm alright! response:	Natsu, be careful! She locks on to the vitals!
context: Ow...\Wait for me, Natsu-nii, Lucy-nee...\Michelle...\An Angel's Tears!\Man!!\Elfman! Coco!\E-Eight points... I'm alright!\Natsu, be careful! She locks on to the vitals! response:	Last time, she she took you out with one shot, remember? One shot!
context: Wait for me, Natsu-nii, Lucy-nee...\Michelle...\An Angel's Tears!\Man!!\Elfman! Coco!\E-Eight points... I'm alright!\Natsu, be careful! She locks on to the vitals!\Last time, she she took you out with one shot, remember? One shot! response:	Don't say it twice!
context: Michelle...\An Angel's Tears!\Man!!\Elfman! Coco!\E-Eight points... I'm alright!\Natsu, be careful! She locks on to the vitals!\Last time, she she took you out with one shot, remember? One shot!\Don't say it twice! response:	The human body is interesting, isn't it?
context: An Angel's Tears!\Man!!\Elfman! Coco!\E-Eight points... I'm alright!\Natsu, be careful! She locks on to the vitals!\Last time, she she took you out with one shot, remember? One shot!\Don't say it twice!\The human body is interesting, isn't it? response:	No matter how strong the person,
context: Man!!\Elfman! Coco!\E-Eight points... I'm alright!\Natsu, be careful! She locks on to the vitals!\Last time, she she took you out with one shot, remember? One shot!\Don't say it twice!\The human body is interesting, isn't it?\No matter how strong the person, response:	if you strike their weak spot, they'll suffer intense pain and lose control of their body.
context: Elfman! Coco!\E-Eight points... I'm alright!\Natsu, be careful! She locks on to the vitals!\Last time, she she took you out with one shot, remember? One shot!\Don't say it twice!\The human body is interesting, isn't it?\No matter how strong the person,\if you strike their weak spot, they'll suffer intense pain and lose control of their body. response:	Are you really the crybaby, klutzy, gluttonous Michelle?
context: E-Eight points... I'm alright!\Natsu, be careful! She locks on to the vitals!\Last time, she she took you out with one shot, remember? One shot!\Don't say it twice!\The human body is interesting, isn't it?\No matter how strong the person,\if you strike their weak spot, they'll suffer intense pain and lose control of their body.\Are you really the crybaby, klutzy, gluttonous Michelle? response:	That was just a performance so I could blend in with the guild.
context: Natsu, be careful! She locks on to the vitals!\Last time, she she took you out with one shot, remember? One shot!\Don't say it twice!\The human body is interesting, isn't it?\No matter how strong the person,\if you strike their weak spot, they'll suffer intense pain and lose control of their body.\Are you really the crybaby, klutzy, gluttonous Michelle?\That was just a performance so I could blend in with the guild. response:	And my name is Imitatia.
