context: Gotcha! response:	Wow, it's big!
context: Gotcha!\Wow, it's big! response:	Creepy.
context: Gotcha!\Wow, it's big!\Creepy. response:	Let's surprise Tsugumi with this.
context: Gotcha!\Wow, it's big!\Creepy.\Let's surprise Tsugumi with this. response:	Done!
context: Gotcha!\Wow, it's big!\Creepy.\Let's surprise Tsugumi with this.\Done! response:	I pulled an all-nighter and it's finally...
context: Gotcha!\Wow, it's big!\Creepy.\Let's surprise Tsugumi with this.\Done!\I pulled an all-nighter and it's finally... response:	Complete.
context: Gotcha!\Wow, it's big!\Creepy.\Let's surprise Tsugumi with this.\Done!\I pulled an all-nighter and it's finally...\Complete. response:	I name it... the Tree Spirit Statue!
context: Gotcha!\Wow, it's big!\Creepy.\Let's surprise Tsugumi with this.\Done!\I pulled an all-nighter and it's finally...\Complete.\I name it... the Tree Spirit Statue! response:	Alright!
context: Wow, it's big!\Creepy.\Let's surprise Tsugumi with this.\Done!\I pulled an all-nighter and it's finally...\Complete.\I name it... the Tree Spirit Statue!\Alright! response:	Oh crap, I'm running out of time!
context: Creepy.\Let's surprise Tsugumi with this.\Done!\I pulled an all-nighter and it's finally...\Complete.\I name it... the Tree Spirit Statue!\Alright!\Oh crap, I'm running out of time! response:	It's so heavy!
context: Let's surprise Tsugumi with this.\Done!\I pulled an all-nighter and it's finally...\Complete.\I name it... the Tree Spirit Statue!\Alright!\Oh crap, I'm running out of time!\It's so heavy! response:	Can't bring it along on foot, huh?
context: Done!\I pulled an all-nighter and it's finally...\Complete.\I name it... the Tree Spirit Statue!\Alright!\Oh crap, I'm running out of time!\It's so heavy!\Can't bring it along on foot, huh? response:	What did Daitetsu say?
context: I pulled an all-nighter and it's finally...\Complete.\I name it... the Tree Spirit Statue!\Alright!\Oh crap, I'm running out of time!\It's so heavy!\Can't bring it along on foot, huh?\What did Daitetsu say? response:	I think I'm beginning to understand.
context: Complete.\I name it... the Tree Spirit Statue!\Alright!\Oh crap, I'm running out of time!\It's so heavy!\Can't bring it along on foot, huh?\What did Daitetsu say?\I think I'm beginning to understand. response:	To craft out what you saw in a tree is like this...
context: I name it... the Tree Spirit Statue!\Alright!\Oh crap, I'm running out of time!\It's so heavy!\Can't bring it along on foot, huh?\What did Daitetsu say?\I think I'm beginning to understand.\To craft out what you saw in a tree is like this... response:	What?
context: Alright!\Oh crap, I'm running out of time!\It's so heavy!\Can't bring it along on foot, huh?\What did Daitetsu say?\I think I'm beginning to understand.\To craft out what you saw in a tree is like this...\What? response:	What is this... What a refined human figure.
context: Oh crap, I'm running out of time!\It's so heavy!\Can't bring it along on foot, huh?\What did Daitetsu say?\I think I'm beginning to understand.\To craft out what you saw in a tree is like this...\What?\What is this... What a refined human figure. response:	I materialized.
context: It's so heavy!\Can't bring it along on foot, huh?\What did Daitetsu say?\I think I'm beginning to understand.\To craft out what you saw in a tree is like this...\What?\What is this... What a refined human figure.\I materialized. response:	What's going on here?
context: Can't bring it along on foot, huh?\What did Daitetsu say?\I think I'm beginning to understand.\To craft out what you saw in a tree is like this...\What?\What is this... What a refined human figure.\I materialized.\What's going on here? response:	A vessel that's able to accept me...
context: What did Daitetsu say?\I think I'm beginning to understand.\To craft out what you saw in a tree is like this...\What?\What is this... What a refined human figure.\I materialized.\What's going on here?\A vessel that's able to accept me... response:	I don't understand.
context: I think I'm beginning to understand.\To craft out what you saw in a tree is like this...\What?\What is this... What a refined human figure.\I materialized.\What's going on here?\A vessel that's able to accept me...\I don't understand. response:	Oh, you must be shocked.
context: To craft out what you saw in a tree is like this...\What?\What is this... What a refined human figure.\I materialized.\What's going on here?\A vessel that's able to accept me...\I don't understand.\Oh, you must be shocked. response:	Poor boy. Just remain like that until you've calmed down.
context: What?\What is this... What a refined human figure.\I materialized.\What's going on here?\A vessel that's able to accept me...\I don't understand.\Oh, you must be shocked.\Poor boy. Just remain like that until you've calmed down. response:	Don't be afraid, don't be afraid!
