context: Kakeru Okikura response:	Touko Fukami
context: Kakeru Okikura\Touko Fukami response:	Yukinari Imi
context: Kakeru Okikura\Touko Fukami\Yukinari Imi response:	Hiro Shirosaki
context: Kakeru Okikura\Touko Fukami\Yukinari Imi\Hiro Shirosaki response:	Yanagi Takayama
context: Kakeru Okikura\Touko Fukami\Yukinari Imi\Hiro Shirosaki\Yanagi Takayama response:	Sachi Nagamiya
context: Kakeru Okikura\Touko Fukami\Yukinari Imi\Hiro Shirosaki\Yanagi Takayama\Sachi Nagamiya response:	Episode 1 Fireworks
context: Kakeru Okikura\Touko Fukami\Yukinari Imi\Hiro Shirosaki\Yanagi Takayama\Sachi Nagamiya\Episode 1 Fireworks response:	Nice!
context: Kakeru Okikura\Touko Fukami\Yukinari Imi\Hiro Shirosaki\Yanagi Takayama\Sachi Nagamiya\Episode 1 Fireworks\Nice! response:	Wow.
context: Touko Fukami\Yukinari Imi\Hiro Shirosaki\Yanagi Takayama\Sachi Nagamiya\Episode 1 Fireworks\Nice!\Wow. response:	I take everything seriously.
context: Yukinari Imi\Hiro Shirosaki\Yanagi Takayama\Sachi Nagamiya\Episode 1 Fireworks\Nice!\Wow.\I take everything seriously. response:	What's this?
context: Hiro Shirosaki\Yanagi Takayama\Sachi Nagamiya\Episode 1 Fireworks\Nice!\Wow.\I take everything seriously.\What's this? response:	Huh? Show me.
context: Yanagi Takayama\Sachi Nagamiya\Episode 1 Fireworks\Nice!\Wow.\I take everything seriously.\What's this?\Huh? Show me. response:	Oh, these things have gotten really advanced.
context: Sachi Nagamiya\Episode 1 Fireworks\Nice!\Wow.\I take everything seriously.\What's this?\Huh? Show me.\Oh, these things have gotten really advanced. response:	They were so crummy when I was little.
context: Episode 1 Fireworks\Nice!\Wow.\I take everything seriously.\What's this?\Huh? Show me.\Oh, these things have gotten really advanced.\They were so crummy when I was little. response:	I've finally found you.
context: Nice!\Wow.\I take everything seriously.\What's this?\Huh? Show me.\Oh, these things have gotten really advanced.\They were so crummy when I was little.\I've finally found you. response:	What's wrong?
context: Wow.\I take everything seriously.\What's this?\Huh? Show me.\Oh, these things have gotten really advanced.\They were so crummy when I was little.\I've finally found you.\What's wrong? response:	Nothing.
