context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	After the Star Festival, the king made a very important announcement.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\After the Star Festival, the king made a very important announcement. response:	The Eye of the Midnight Sun's hideout has been located.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\After the Star Festival, the king made a very important announcement.\The Eye of the Midnight Sun's hideout has been located. response:	We are going to launch an all-out attack on the enemy!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\After the Star Festival, the king made a very important announcement.\The Eye of the Midnight Sun's hideout has been located.\We are going to launch an all-out attack on the enemy! response:	To that end,
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\After the Star Festival, the king made a very important announcement.\The Eye of the Midnight Sun's hideout has been located.\We are going to launch an all-out attack on the enemy!\To that end, response:	I have decided to gather an even more select group from the Magic Knights
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\After the Star Festival, the king made a very important announcement.\The Eye of the Midnight Sun's hideout has been located.\We are going to launch an all-out attack on the enemy!\To that end,\I have decided to gather an even more select group from the Magic Knights response:	to form the ultimate hand-picked unit.
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\After the Star Festival, the king made a very important announcement.\The Eye of the Midnight Sun's hideout has been located.\We are going to launch an all-out attack on the enemy!\To that end,\I have decided to gather an even more select group from the Magic Knights\to form the ultimate hand-picked unit. response:	They will be called... the Royal Knights!
context: He was called the Wizard King, and he became a legend.\After the Star Festival, the king made a very important announcement.\The Eye of the Midnight Sun's hideout has been located.\We are going to launch an all-out attack on the enemy!\To that end,\I have decided to gather an even more select group from the Magic Knights\to form the ultimate hand-picked unit.\They will be called... the Royal Knights! response:	The
context: After the Star Festival, the king made a very important announcement.\The Eye of the Midnight Sun's hideout has been located.\We are going to launch an all-out attack on the enemy!\To that end,\I have decided to gather an even more select group from the Magic Knights\to form the ultimate hand-picked unit.\They will be called... the Royal Knights!\The response:	The Ro
context: The Eye of the Midnight Sun's hideout has been located.\We are going to launch an all-out attack on the enemy!\To that end,\I have decided to gather an even more select group from the Magic Knights\to form the ultimate hand-picked unit.\They will be called... the Royal Knights!\The\The Ro response:	The Royal
context: We are going to launch an all-out attack on the enemy!\To that end,\I have decided to gather an even more select group from the Magic Knights\to form the ultimate hand-picked unit.\They will be called... the Royal Knights!\The\The Ro\The Royal response:	The Royal Kni
context: To that end,\I have decided to gather an even more select group from the Magic Knights\to form the ultimate hand-picked unit.\They will be called... the Royal Knights!\The\The Ro\The Royal\The Royal Kni response:	The Royal Knights
context: I have decided to gather an even more select group from the Magic Knights\to form the ultimate hand-picked unit.\They will be called... the Royal Knights!\The\The Ro\The Royal\The Royal Kni\The Royal Knights response:	A test involving all of the Magic Knights
context: to form the ultimate hand-picked unit.\They will be called... the Royal Knights!\The\The Ro\The Royal\The Royal Kni\The Royal Knights\A test involving all of the Magic Knights response:	for a chance to join the Royal Knights was about to begin!
context: They will be called... the Royal Knights!\The\The Ro\The Royal\The Royal Kni\The Royal Knights\A test involving all of the Magic Knights\for a chance to join the Royal Knights was about to begin! response:	The Royal Knights Selection Test
context: The\The Ro\The Royal\The Royal Kni\The Royal Knights\A test involving all of the Magic Knights\for a chance to join the Royal Knights was about to begin!\The Royal Knights Selection Test response:	Good grief. We finally return from our expedition, and now this.
context: The Ro\The Royal\The Royal Kni\The Royal Knights\A test involving all of the Magic Knights\for a chance to join the Royal Knights was about to begin!\The Royal Knights Selection Test\Good grief. We finally return from our expedition, and now this. response:	Do anything else, and you'll be obstructing public duties.
context: The Royal\The Royal Kni\The Royal Knights\A test involving all of the Magic Knights\for a chance to join the Royal Knights was about to begin!\The Royal Knights Selection Test\Good grief. We finally return from our expedition, and now this.\Do anything else, and you'll be obstructing public duties. response:	As a Magic Knight, I'll have to dispose of you.
context: The Royal Kni\The Royal Knights\A test involving all of the Magic Knights\for a chance to join the Royal Knights was about to begin!\The Royal Knights Selection Test\Good grief. We finally return from our expedition, and now this.\Do anything else, and you'll be obstructing public duties.\As a Magic Knight, I'll have to dispose of you. response:	Do you have any idea who this is?
context: The Royal Knights\A test involving all of the Magic Knights\for a chance to join the Royal Knights was about to begin!\The Royal Knights Selection Test\Good grief. We finally return from our expedition, and now this.\Do anything else, and you'll be obstructing public duties.\As a Magic Knight, I'll have to dispose of you.\Do you have any idea who this is? response:	Vice Captain of the Purple Orcas Xerx Lugner
