context: Act 9 Serious Bomber response:	Oh, our lord's carriage.
context: Act 9 Serious Bomber\Oh, our lord's carriage. response:	Come back safely!
context: Act 9 Serious Bomber\Oh, our lord's carriage.\Come back safely! response:	It's Elf. Please look, princess, it's Elf!
context: Act 9 Serious Bomber\Oh, our lord's carriage.\Come back safely!\It's Elf. Please look, princess, it's Elf! response:	Why the heck do you have to come with me?!
context: Act 9 Serious Bomber\Oh, our lord's carriage.\Come back safely!\It's Elf. Please look, princess, it's Elf!\Why the heck do you have to come with me?! response:	Hmph!
context: Act 9 Serious Bomber\Oh, our lord's carriage.\Come back safely!\It's Elf. Please look, princess, it's Elf!\Why the heck do you have to come with me?!\Hmph! response:	Oh my, princess, it's not fair for you to have them all to yourself.
context: Act 9 Serious Bomber\Oh, our lord's carriage.\Come back safely!\It's Elf. Please look, princess, it's Elf!\Why the heck do you have to come with me?!\Hmph!\Oh my, princess, it's not fair for you to have them all to yourself. response:	Share with us, wouldn't you?
context: Act 9 Serious Bomber\Oh, our lord's carriage.\Come back safely!\It's Elf. Please look, princess, it's Elf!\Why the heck do you have to come with me?!\Hmph!\Oh my, princess, it's not fair for you to have them all to yourself.\Share with us, wouldn't you? response:	-By the way, princess... -Huh?
context: Oh, our lord's carriage.\Come back safely!\It's Elf. Please look, princess, it's Elf!\Why the heck do you have to come with me?!\Hmph!\Oh my, princess, it's not fair for you to have them all to yourself.\Share with us, wouldn't you?\-By the way, princess... -Huh? response:	They'll likely to attempt to free the Dwarves there.
context: Come back safely!\It's Elf. Please look, princess, it's Elf!\Why the heck do you have to come with me?!\Hmph!\Oh my, princess, it's not fair for you to have them all to yourself.\Share with us, wouldn't you?\-By the way, princess... -Huh?\They'll likely to attempt to free the Dwarves there. response:	However, their security is very tight as it is the largest armory in Orte.
context: It's Elf. Please look, princess, it's Elf!\Why the heck do you have to come with me?!\Hmph!\Oh my, princess, it's not fair for you to have them all to yourself.\Share with us, wouldn't you?\-By the way, princess... -Huh?\They'll likely to attempt to free the Dwarves there.\However, their security is very tight as it is the largest armory in Orte. response:	I wonder...
context: Why the heck do you have to come with me?!\Hmph!\Oh my, princess, it's not fair for you to have them all to yourself.\Share with us, wouldn't you?\-By the way, princess... -Huh?\They'll likely to attempt to free the Dwarves there.\However, their security is very tight as it is the largest armory in Orte.\I wonder... response:	We have no idea what the Drifters are capable of.
context: Hmph!\Oh my, princess, it's not fair for you to have them all to yourself.\Share with us, wouldn't you?\-By the way, princess... -Huh?\They'll likely to attempt to free the Dwarves there.\However, their security is very tight as it is the largest armory in Orte.\I wonder...\We have no idea what the Drifters are capable of. response:	If Gadolka falls, the end of this country will be inevitable.
context: Oh my, princess, it's not fair for you to have them all to yourself.\Share with us, wouldn't you?\-By the way, princess... -Huh?\They'll likely to attempt to free the Dwarves there.\However, their security is very tight as it is the largest armory in Orte.\I wonder...\We have no idea what the Drifters are capable of.\If Gadolka falls, the end of this country will be inevitable. response:	Are all these weapons also going to the western front?
context: Share with us, wouldn't you?\-By the way, princess... -Huh?\They'll likely to attempt to free the Dwarves there.\However, their security is very tight as it is the largest armory in Orte.\I wonder...\We have no idea what the Drifters are capable of.\If Gadolka falls, the end of this country will be inevitable.\Are all these weapons also going to the western front? response:	Yeah. We were told by headquarters the naval transport unit was destroyed,
context: -By the way, princess... -Huh?\They'll likely to attempt to free the Dwarves there.\However, their security is very tight as it is the largest armory in Orte.\I wonder...\We have no idea what the Drifters are capable of.\If Gadolka falls, the end of this country will be inevitable.\Are all these weapons also going to the western front?\Yeah. We were told by headquarters the naval transport unit was destroyed, response:	putting us in dire need of weapons and armor.
