context: From when I was little, I had a question in my mind. response:	Why am I only myself, and not someone else?
context: From when I was little, I had a question in my mind.\Why am I only myself, and not someone else? response:	I heard that I think, therefore I am are the words of an ancient philosopher.
context: From when I was little, I had a question in my mind.\Why am I only myself, and not someone else?\I heard that I think, therefore I am are the words of an ancient philosopher. response:	But I didn't think. I thought about someone else.
context: From when I was little, I had a question in my mind.\Why am I only myself, and not someone else?\I heard that I think, therefore I am are the words of an ancient philosopher.\But I didn't think. I thought about someone else. response:	That perhaps, the person over there is myself as well...
context: From when I was little, I had a question in my mind.\Why am I only myself, and not someone else?\I heard that I think, therefore I am are the words of an ancient philosopher.\But I didn't think. I thought about someone else.\That perhaps, the person over there is myself as well... response:	Episode 1 I think about others
context: From when I was little, I had a question in my mind.\Why am I only myself, and not someone else?\I heard that I think, therefore I am are the words of an ancient philosopher.\But I didn't think. I thought about someone else.\That perhaps, the person over there is myself as well...\Episode 1 I think about others response:	Think about others. When I did that, I had turned into someone else.
context: From when I was little, I had a question in my mind.\Why am I only myself, and not someone else?\I heard that I think, therefore I am are the words of an ancient philosopher.\But I didn't think. I thought about someone else.\That perhaps, the person over there is myself as well...\Episode 1 I think about others\Think about others. When I did that, I had turned into someone else. response:	But no more than five seconds. After that, I immediately returned to my own self.
context: From when I was little, I had a question in my mind.\Why am I only myself, and not someone else?\I heard that I think, therefore I am are the words of an ancient philosopher.\But I didn't think. I thought about someone else.\That perhaps, the person over there is myself as well...\Episode 1 I think about others\Think about others. When I did that, I had turned into someone else.\But no more than five seconds. After that, I immediately returned to my own self. response:	Furthermore, for the duration, my body completely loses consciousness.
context: Why am I only myself, and not someone else?\I heard that I think, therefore I am are the words of an ancient philosopher.\But I didn't think. I thought about someone else.\That perhaps, the person over there is myself as well...\Episode 1 I think about others\Think about others. When I did that, I had turned into someone else.\But no more than five seconds. After that, I immediately returned to my own self.\Furthermore, for the duration, my body completely loses consciousness. response:	Often I would find myself injured in some way.
context: I heard that I think, therefore I am are the words of an ancient philosopher.\But I didn't think. I thought about someone else.\That perhaps, the person over there is myself as well...\Episode 1 I think about others\Think about others. When I did that, I had turned into someone else.\But no more than five seconds. After that, I immediately returned to my own self.\Furthermore, for the duration, my body completely loses consciousness.\Often I would find myself injured in some way. response:	Furthermore, I can only possess someone that is within my line of sight.
context: But I didn't think. I thought about someone else.\That perhaps, the person over there is myself as well...\Episode 1 I think about others\Think about others. When I did that, I had turned into someone else.\But no more than five seconds. After that, I immediately returned to my own self.\Furthermore, for the duration, my body completely loses consciousness.\Often I would find myself injured in some way.\Furthermore, I can only possess someone that is within my line of sight. response:	So, I couldn't use it for lewd things.
context: That perhaps, the person over there is myself as well...\Episode 1 I think about others\Think about others. When I did that, I had turned into someone else.\But no more than five seconds. After that, I immediately returned to my own self.\Furthermore, for the duration, my body completely loses consciousness.\Often I would find myself injured in some way.\Furthermore, I can only possess someone that is within my line of sight.\So, I couldn't use it for lewd things. response:	At most, it was for possessing someone that pissed me off,
context: Episode 1 I think about others\Think about others. When I did that, I had turned into someone else.\But no more than five seconds. After that, I immediately returned to my own self.\Furthermore, for the duration, my body completely loses consciousness.\Often I would find myself injured in some way.\Furthermore, I can only possess someone that is within my line of sight.\So, I couldn't use it for lewd things.\At most, it was for possessing someone that pissed me off, response:	only to pick a fight with a stranger then return to myself.
context: Think about others. When I did that, I had turned into someone else.\But no more than five seconds. After that, I immediately returned to my own self.\Furthermore, for the duration, my body completely loses consciousness.\Often I would find myself injured in some way.\Furthermore, I can only possess someone that is within my line of sight.\So, I couldn't use it for lewd things.\At most, it was for possessing someone that pissed me off,\only to pick a fight with a stranger then return to myself. response:	That kind of retaliation was all I could use this for.
context: But no more than five seconds. After that, I immediately returned to my own self.\Furthermore, for the duration, my body completely loses consciousness.\Often I would find myself injured in some way.\Furthermore, I can only possess someone that is within my line of sight.\So, I couldn't use it for lewd things.\At most, it was for possessing someone that pissed me off,\only to pick a fight with a stranger then return to myself.\That kind of retaliation was all I could use this for. response:	You bastard! What do you think you just did, huh?
context: Furthermore, for the duration, my body completely loses consciousness.\Often I would find myself injured in some way.\Furthermore, I can only possess someone that is within my line of sight.\So, I couldn't use it for lewd things.\At most, it was for possessing someone that pissed me off,\only to pick a fight with a stranger then return to myself.\That kind of retaliation was all I could use this for.\You bastard! What do you think you just did, huh? response:	But finally, I came up with an idea that can take full advantage of this special ability.
context: Often I would find myself injured in some way.\Furthermore, I can only possess someone that is within my line of sight.\So, I couldn't use it for lewd things.\At most, it was for possessing someone that pissed me off,\only to pick a fight with a stranger then return to myself.\That kind of retaliation was all I could use this for.\You bastard! What do you think you just did, huh?\But finally, I came up with an idea that can take full advantage of this special ability. response:	Five minutes before time.
context: Furthermore, I can only possess someone that is within my line of sight.\So, I couldn't use it for lewd things.\At most, it was for possessing someone that pissed me off,\only to pick a fight with a stranger then return to myself.\That kind of retaliation was all I could use this for.\You bastard! What do you think you just did, huh?\But finally, I came up with an idea that can take full advantage of this special ability.\Five minutes before time. response:	I could possess one smart guy in class after another, memorize the answers,
