context: What, you drink? I didn't know. response:	I feel bad...
context: What, you drink? I didn't know.\I feel bad... response:	You do all these things while we sleep.
context: What, you drink? I didn't know.\I feel bad...\You do all these things while we sleep. response:	Hm, I don't know.
context: What, you drink? I didn't know.\I feel bad...\You do all these things while we sleep.\Hm, I don't know. response:	Really? No fair.
context: What, you drink? I didn't know.\I feel bad...\You do all these things while we sleep.\Hm, I don't know.\Really? No fair. response:	Thanks.
context: What, you drink? I didn't know.\I feel bad...\You do all these things while we sleep.\Hm, I don't know.\Really? No fair.\Thanks. response:	Shh!
context: What, you drink? I didn't know.\I feel bad...\You do all these things while we sleep.\Hm, I don't know.\Really? No fair.\Thanks.\Shh! response:	I see one of them!
context: What, you drink? I didn't know.\I feel bad...\You do all these things while we sleep.\Hm, I don't know.\Really? No fair.\Thanks.\Shh!\I see one of them! response:	Is he on his own?
context: I feel bad...\You do all these things while we sleep.\Hm, I don't know.\Really? No fair.\Thanks.\Shh!\I see one of them!\Is he on his own? response:	What is he armed with?
context: You do all these things while we sleep.\Hm, I don't know.\Really? No fair.\Thanks.\Shh!\I see one of them!\Is he on his own?\What is he armed with? response:	A sword.
context: Hm, I don't know.\Really? No fair.\Thanks.\Shh!\I see one of them!\Is he on his own?\What is he armed with?\A sword. response:	You idiot!
context: Really? No fair.\Thanks.\Shh!\I see one of them!\Is he on his own?\What is he armed with?\A sword.\You idiot! response:	Keep pressuring him! That's it! Keep it on!
context: Thanks.\Shh!\I see one of them!\Is he on his own?\What is he armed with?\A sword.\You idiot!\Keep pressuring him! That's it! Keep it on! response:	Yeah!
context: Shh!\I see one of them!\Is he on his own?\What is he armed with?\A sword.\You idiot!\Keep pressuring him! That's it! Keep it on!\Yeah! response:	Ow!
context: I see one of them!\Is he on his own?\What is he armed with?\A sword.\You idiot!\Keep pressuring him! That's it! Keep it on!\Yeah!\Ow! response:	Ow!
context: Is he on his own?\What is he armed with?\A sword.\You idiot!\Keep pressuring him! That's it! Keep it on!\Yeah!\Ow!\Ow! response:	All righty then.
context: What is he armed with?\A sword.\You idiot!\Keep pressuring him! That's it! Keep it on!\Yeah!\Ow!\Ow!\All righty then. response:	Damnit!
context: A sword.\You idiot!\Keep pressuring him! That's it! Keep it on!\Yeah!\Ow!\Ow!\All righty then.\Damnit! response:	Oh... I see.
context: You idiot!\Keep pressuring him! That's it! Keep it on!\Yeah!\Ow!\Ow!\All righty then.\Damnit!\Oh... I see. response:	Really?
context: Keep pressuring him! That's it! Keep it on!\Yeah!\Ow!\Ow!\All righty then.\Damnit!\Oh... I see.\Really? response:	Yeah? Okay, then.
context: Yeah!\Ow!\Ow!\All righty then.\Damnit!\Oh... I see.\Really?\Yeah? Okay, then. response:	'Kay.
context: Ow!\Ow!\All righty then.\Damnit!\Oh... I see.\Really?\Yeah? Okay, then.\'Kay. response:	Whatever. Mind your own business.
context: Ow!\All righty then.\Damnit!\Oh... I see.\Really?\Yeah? Okay, then.\'Kay.\Whatever. Mind your own business. response:	See, what did I just say? Every single little thing!
context: All righty then.\Damnit!\Oh... I see.\Really?\Yeah? Okay, then.\'Kay.\Whatever. Mind your own business.\See, what did I just say? Every single little thing! response:	Wha?! Huh? W-Were you that cat?
context: Damnit!\Oh... I see.\Really?\Yeah? Okay, then.\'Kay.\Whatever. Mind your own business.\See, what did I just say? Every single little thing!\Wha?! Huh? W-Were you that cat? response:	What's up?
context: Oh... I see.\Really?\Yeah? Okay, then.\'Kay.\Whatever. Mind your own business.\See, what did I just say? Every single little thing!\Wha?! Huh? W-Were you that cat?\What's up? response:	Not to mention, the girls are there now.
context: Really?\Yeah? Okay, then.\'Kay.\Whatever. Mind your own business.\See, what did I just say? Every single little thing!\Wha?! Huh? W-Were you that cat?\What's up?\Not to mention, the girls are there now. response:	Listen up!
context: Yeah? Okay, then.\'Kay.\Whatever. Mind your own business.\See, what did I just say? Every single little thing!\Wha?! Huh? W-Were you that cat?\What's up?\Not to mention, the girls are there now.\Listen up! response:	You see now? It means I'm crossing a moral boundary today.
