context: Makishima has been arrested. response:	The helmet criminals have been wiped out.
context: Makishima has been arrested.\The helmet criminals have been wiped out. response:	The case is closed. Is it all over now?
context: Makishima has been arrested.\The helmet criminals have been wiped out.\The case is closed. Is it all over now? response:	Kagari is missing.
context: Makishima has been arrested.\The helmet criminals have been wiped out.\The case is closed. Is it all over now?\Kagari is missing. response:	There was an Enforcer from Division 2 who managed to escape during all the confusion.
context: Makishima has been arrested.\The helmet criminals have been wiped out.\The case is closed. Is it all over now?\Kagari is missing.\There was an Enforcer from Division 2 who managed to escape during all the confusion. response:	Inspector... Do you think Kagari would run off?
context: Makishima has been arrested.\The helmet criminals have been wiped out.\The case is closed. Is it all over now?\Kagari is missing.\There was an Enforcer from Division 2 who managed to escape during all the confusion.\Inspector... Do you think Kagari would run off? response:	I would like to show
context: Makishima has been arrested.\The helmet criminals have been wiped out.\The case is closed. Is it all over now?\Kagari is missing.\There was an Enforcer from Division 2 who managed to escape during all the confusion.\Inspector... Do you think Kagari would run off?\I would like to show response:	Cut open my skull
context: Makishima has been arrested.\The helmet criminals have been wiped out.\The case is closed. Is it all over now?\Kagari is missing.\There was an Enforcer from Division 2 who managed to escape during all the confusion.\Inspector... Do you think Kagari would run off?\I would like to show\Cut open my skull response:	Look into my head
context: The helmet criminals have been wiped out.\The case is closed. Is it all over now?\Kagari is missing.\There was an Enforcer from Division 2 who managed to escape during all the confusion.\Inspector... Do you think Kagari would run off?\I would like to show\Cut open my skull\Look into my head response:	I don't know why I'm so harsh
context: The case is closed. Is it all over now?\Kagari is missing.\There was an Enforcer from Division 2 who managed to escape during all the confusion.\Inspector... Do you think Kagari would run off?\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh response:	I can't be so brash
context: Kagari is missing.\There was an Enforcer from Division 2 who managed to escape during all the confusion.\Inspector... Do you think Kagari would run off?\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash response:	I'm going to crash
context: There was an Enforcer from Division 2 who managed to escape during all the confusion.\Inspector... Do you think Kagari would run off?\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash response:	'Cause I feel
context: Inspector... Do you think Kagari would run off?\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel response:	I can always show my everything to you
context: I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you response:	If this moment was for me
context: Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me response:	I try to hear, lend my ear
context: Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear response:	Voices inside, one link to join it all
context: I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all response:	Again
context: I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again response:	'Cause I feel
context: I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel response:	I can always show my everything to you
context: 'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you response:	If this moment was for me
context: I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me response:	I try to hear, lend my ear
context: If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear response:	Voices inside, one link to join it all
context: I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all response:	So it goes
context: Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes response:	Again
context: Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again response:	17: Iron Heart
context: 'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\17: Iron Heart response:	Can we really say that we won?
context: I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\17: Iron Heart\Can we really say that we won? response:	Detective work is, by nature, about treating wounds.
context: If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\17: Iron Heart\Can we really say that we won?\Detective work is, by nature, about treating wounds. response:	Our investigations start after there are victims.
context: I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\17: Iron Heart\Can we really say that we won?\Detective work is, by nature, about treating wounds.\Our investigations start after there are victims. response:	In that sense, we lost before we even started.
context: Voices inside, one link to join it all\So it goes\Again\17: Iron Heart\Can we really say that we won?\Detective work is, by nature, about treating wounds.\Our investigations start after there are victims.\In that sense, we lost before we even started. response:	But at least we were able to end this lost game in a draw.
context: So it goes\Again\17: Iron Heart\Can we really say that we won?\Detective work is, by nature, about treating wounds.\Our investigations start after there are victims.\In that sense, we lost before we even started.\But at least we were able to end this lost game in a draw. response:	We'll just have to settle for that.
context: Again\17: Iron Heart\Can we really say that we won?\Detective work is, by nature, about treating wounds.\Our investigations start after there are victims.\In that sense, we lost before we even started.\But at least we were able to end this lost game in a draw.\We'll just have to settle for that. response:	What was all that talk about the safety of the Sibyl System?
context: 17: Iron Heart\Can we really say that we won?\Detective work is, by nature, about treating wounds.\Our investigations start after there are victims.\In that sense, we lost before we even started.\But at least we were able to end this lost game in a draw.\We'll just have to settle for that.\What was all that talk about the safety of the Sibyl System? response:	Our safe and perfect society is really just an illusion.
context: Can we really say that we won?\Detective work is, by nature, about treating wounds.\Our investigations start after there are victims.\In that sense, we lost before we even started.\But at least we were able to end this lost game in a draw.\We'll just have to settle for that.\What was all that talk about the safety of the Sibyl System?\Our safe and perfect society is really just an illusion. response:	Right now, we still live in a dangerous world.
context: Detective work is, by nature, about treating wounds.\Our investigations start after there are victims.\In that sense, we lost before we even started.\But at least we were able to end this lost game in a draw.\We'll just have to settle for that.\What was all that talk about the safety of the Sibyl System?\Our safe and perfect society is really just an illusion.\Right now, we still live in a dangerous world. response:	Dangerous?
