context: A tall, tall wall looms in front of me. response:	What's the view on the other side?
context: A tall, tall wall looms in front of me.\What's the view on the other side? response:	What does it look like?
context: A tall, tall wall looms in front of me.\What's the view on the other side?\What does it look like? response:	It's a view I could never see on my own.
context: A tall, tall wall looms in front of me.\What's the view on the other side?\What does it look like?\It's a view I could never see on my own. response:	The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno
context: A tall, tall wall looms in front of me.\What's the view on the other side?\What does it look like?\It's a view I could never see on my own.\The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno response:	The View From The Top
context: A tall, tall wall looms in front of me.\What's the view on the other side?\What does it look like?\It's a view I could never see on my own.\The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno\The View From The Top response:	The view from the top...
context: A tall, tall wall looms in front of me.\What's the view on the other side?\What does it look like?\It's a view I could never see on my own.\The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno\The View From The Top\The view from the top... response:	Let's go, Hinata.
context: A tall, tall wall looms in front of me.\What's the view on the other side?\What does it look like?\It's a view I could never see on my own.\The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno\The View From The Top\The view from the top...\Let's go, Hinata. response:	Yeah!
context: What's the view on the other side?\What does it look like?\It's a view I could never see on my own.\The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno\The View From The Top\The view from the top...\Let's go, Hinata.\Yeah! response:	Haikyu!!
context: What does it look like?\It's a view I could never see on my own.\The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno\The View From The Top\The view from the top...\Let's go, Hinata.\Yeah!\Haikyu!! response:	Karasuno High School vs Shiratorizawa Academy
context: It's a view I could never see on my own.\The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno\The View From The Top\The view from the top...\Let's go, Hinata.\Yeah!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy response:	Episode 1: Greetings
context: The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno\The View From The Top\The view from the top...\Let's go, Hinata.\Yeah!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Episode 1: Greetings response:	Sawamura!
context: The View From The Top\The view from the top...\Let's go, Hinata.\Yeah!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Episode 1: Greetings\Sawamura! response:	We came to cheer you on!
context: The view from the top...\Let's go, Hinata.\Yeah!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Episode 1: Greetings\Sawamura!\We came to cheer you on! response:	Michimiya! You really came.
context: Let's go, Hinata.\Yeah!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Episode 1: Greetings\Sawamura!\We came to cheer you on!\Michimiya! You really came. response:	Wow! You're really going to play in the finals!
context: Yeah!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Episode 1: Greetings\Sawamura!\We came to cheer you on!\Michimiya! You really came.\Wow! You're really going to play in the finals! response:	That's amazing! It's so... insane!
context: Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Episode 1: Greetings\Sawamura!\We came to cheer you on!\Michimiya! You really came.\Wow! You're really going to play in the finals!\That's amazing! It's so... insane! response:	All right. Let's go, everyone.
context: Karasuno High School vs Shiratorizawa Academy\Episode 1: Greetings\Sawamura!\We came to cheer you on!\Michimiya! You really came.\Wow! You're really going to play in the finals!\That's amazing! It's so... insane!\All right. Let's go, everyone. response:	Yeah.
context: Episode 1: Greetings\Sawamura!\We came to cheer you on!\Michimiya! You really came.\Wow! You're really going to play in the finals!\That's amazing! It's so... insane!\All right. Let's go, everyone.\Yeah. response:	What's insane is your lack of vocabulary.
context: Sawamura!\We came to cheer you on!\Michimiya! You really came.\Wow! You're really going to play in the finals!\That's amazing! It's so... insane!\All right. Let's go, everyone.\Yeah.\What's insane is your lack of vocabulary. response:	Yui...
context: We came to cheer you on!\Michimiya! You really came.\Wow! You're really going to play in the finals!\That's amazing! It's so... insane!\All right. Let's go, everyone.\Yeah.\What's insane is your lack of vocabulary.\Yui... response:	U-Um...
context: Michimiya! You really came.\Wow! You're really going to play in the finals!\That's amazing! It's so... insane!\All right. Let's go, everyone.\Yeah.\What's insane is your lack of vocabulary.\Yui...\U-Um... response:	So, here!
context: Wow! You're really going to play in the finals!\That's amazing! It's so... insane!\All right. Let's go, everyone.\Yeah.\What's insane is your lack of vocabulary.\Yui...\U-Um...\So, here! response:	Certain Victory Charm
context: That's amazing! It's so... insane!\All right. Let's go, everyone.\Yeah.\What's insane is your lack of vocabulary.\Yui...\U-Um...\So, here!\Certain Victory Charm response:	Well, um, it's not just for you personally.
context: All right. Let's go, everyone.\Yeah.\What's insane is your lack of vocabulary.\Yui...\U-Um...\So, here!\Certain Victory Charm\Well, um, it's not just for you personally. response:	It's for all of you guys, and for us, too... so it's not like...
context: Yeah.\What's insane is your lack of vocabulary.\Yui...\U-Um...\So, here!\Certain Victory Charm\Well, um, it's not just for you personally.\It's for all of you guys, and for us, too... so it's not like... response:	Oh, thanks!
