context: Master, where should we head next? response:	Hair
context: Master, where should we head next?\Hair response:	Let's see... We bought the ingredients for the hot pot, right?
context: Master, where should we head next?\Hair\Let's see... We bought the ingredients for the hot pot, right? response:	That just leaves toilet paper and shampoo...
context: Master, where should we head next?\Hair\Let's see... We bought the ingredients for the hot pot, right?\That just leaves toilet paper and shampoo... response:	Rumble
context: Master, where should we head next?\Hair\Let's see... We bought the ingredients for the hot pot, right?\That just leaves toilet paper and shampoo...\Rumble response:	Rumble
context: Master, where should we head next?\Hair\Let's see... We bought the ingredients for the hot pot, right?\That just leaves toilet paper and shampoo...\Rumble\Rumble response:	Huh...
context: Master, where should we head next?\Hair\Let's see... We bought the ingredients for the hot pot, right?\That just leaves toilet paper and shampoo...\Rumble\Rumble\Huh... response:	I guess you get one of these when you get popular.
context: Master, where should we head next?\Hair\Let's see... We bought the ingredients for the hot pot, right?\That just leaves toilet paper and shampoo...\Rumble\Rumble\Huh...\I guess you get one of these when you get popular. response:	Must be nice... Getting your own figure.
context: Hair\Let's see... We bought the ingredients for the hot pot, right?\That just leaves toilet paper and shampoo...\Rumble\Rumble\Huh...\I guess you get one of these when you get popular.\Must be nice... Getting your own figure. response:	Let's contact the manufacturer.
context: Let's see... We bought the ingredients for the hot pot, right?\That just leaves toilet paper and shampoo...\Rumble\Rumble\Huh...\I guess you get one of these when you get popular.\Must be nice... Getting your own figure.\Let's contact the manufacturer. response:	Nah... You're not supposed to ask them to make one yourself.
context: That just leaves toilet paper and shampoo...\Rumble\Rumble\Huh...\I guess you get one of these when you get popular.\Must be nice... Getting your own figure.\Let's contact the manufacturer.\Nah... You're not supposed to ask them to make one yourself. response:	Let's go.
context: Rumble\Rumble\Huh...\I guess you get one of these when you get popular.\Must be nice... Getting your own figure.\Let's contact the manufacturer.\Nah... You're not supposed to ask them to make one yourself.\Let's go. response:	Yes, sir!
context: Rumble\Huh...\I guess you get one of these when you get popular.\Must be nice... Getting your own figure.\Let's contact the manufacturer.\Nah... You're not supposed to ask them to make one yourself.\Let's go.\Yes, sir! response:	Where should we go, Master?
context: Huh...\I guess you get one of these when you get popular.\Must be nice... Getting your own figure.\Let's contact the manufacturer.\Nah... You're not supposed to ask them to make one yourself.\Let's go.\Yes, sir!\Where should we go, Master? response:	What the heck is that?!
context: I guess you get one of these when you get popular.\Must be nice... Getting your own figure.\Let's contact the manufacturer.\Nah... You're not supposed to ask them to make one yourself.\Let's go.\Yes, sir!\Where should we go, Master?\What the heck is that?! response:	I loved reptiles so much that I turned into one.
context: Must be nice... Getting your own figure.\Let's contact the manufacturer.\Nah... You're not supposed to ask them to make one yourself.\Let's go.\Yes, sir!\Where should we go, Master?\What the heck is that?!\I loved reptiles so much that I turned into one. response:	I'm Tongue-Stretcher!
context: Let's contact the manufacturer.\Nah... You're not supposed to ask them to make one yourself.\Let's go.\Yes, sir!\Where should we go, Master?\What the heck is that?!\I loved reptiles so much that I turned into one.\I'm Tongue-Stretcher! response:	Run away!
context: Nah... You're not supposed to ask them to make one yourself.\Let's go.\Yes, sir!\Where should we go, Master?\What the heck is that?!\I loved reptiles so much that I turned into one.\I'm Tongue-Stretcher!\Run away! response:	I'm not letting any of you girls get away!
context: Let's go.\Yes, sir!\Where should we go, Master?\What the heck is that?!\I loved reptiles so much that I turned into one.\I'm Tongue-Stretcher!\Run away!\I'm not letting any of you girls get away! response:	You're mine! Yummy!
context: Yes, sir!\Where should we go, Master?\What the heck is that?!\I loved reptiles so much that I turned into one.\I'm Tongue-Stretcher!\Run away!\I'm not letting any of you girls get away!\You're mine! Yummy! response:	Licky, licky, licky!
context: Where should we go, Master?\What the heck is that?!\I loved reptiles so much that I turned into one.\I'm Tongue-Stretcher!\Run away!\I'm not letting any of you girls get away!\You're mine! Yummy!\Licky, licky, licky! response:	Jeez, that startled me!
context: What the heck is that?!\I loved reptiles so much that I turned into one.\I'm Tongue-Stretcher!\Run away!\I'm not letting any of you girls get away!\You're mine! Yummy!\Licky, licky, licky!\Jeez, that startled me! response:	Th-This vibe...
context: I loved reptiles so much that I turned into one.\I'm Tongue-Stretcher!\Run away!\I'm not letting any of you girls get away!\You're mine! Yummy!\Licky, licky, licky!\Jeez, that startled me!\Th-This vibe... response:	That face!
context: I'm Tongue-Stretcher!\Run away!\I'm not letting any of you girls get away!\You're mine! Yummy!\Licky, licky, licky!\Jeez, that startled me!\Th-This vibe...\That face! response:	Rumble
context: Run away!\I'm not letting any of you girls get away!\You're mine! Yummy!\Licky, licky, licky!\Jeez, that startled me!\Th-This vibe...\That face!\Rumble response:	H-He's no ordinary guy!
context: I'm not letting any of you girls get away!\You're mine! Yummy!\Licky, licky, licky!\Jeez, that startled me!\Th-This vibe...\That face!\Rumble\H-He's no ordinary guy! response:	Man... I want to quit being a hero.
context: You're mine! Yummy!\Licky, licky, licky!\Jeez, that startled me!\Th-This vibe...\That face!\Rumble\H-He's no ordinary guy!\Man... I want to quit being a hero. response:	That guy's the strongest hero in the world!
context: Licky, licky, licky!\Jeez, that startled me!\Th-This vibe...\That face!\Rumble\H-He's no ordinary guy!\Man... I want to quit being a hero.\That guy's the strongest hero in the world! response:	It's King!
context: Jeez, that startled me!\Th-This vibe...\That face!\Rumble\H-He's no ordinary guy!\Man... I want to quit being a hero.\That guy's the strongest hero in the world!\It's King! response:	I knew I saw you somewhere! You're the legendary...
context: Th-This vibe...\That face!\Rumble\H-He's no ordinary guy!\Man... I want to quit being a hero.\That guy's the strongest hero in the world!\It's King!\I knew I saw you somewhere! You're the legendary... response:	He'll stomp you in a single blow!
context: That face!\Rumble\H-He's no ordinary guy!\Man... I want to quit being a hero.\That guy's the strongest hero in the world!\It's King!\I knew I saw you somewhere! You're the legendary...\He'll stomp you in a single blow! response:	Can I have your autograph?
context: Rumble\H-He's no ordinary guy!\Man... I want to quit being a hero.\That guy's the strongest hero in the world!\It's King!\I knew I saw you somewhere! You're the legendary...\He'll stomp you in a single blow!\Can I have your autograph? response:	King! King!
context: H-He's no ordinary guy!\Man... I want to quit being a hero.\That guy's the strongest hero in the world!\It's King!\I knew I saw you somewhere! You're the legendary...\He'll stomp you in a single blow!\Can I have your autograph?\King! King! response:	King! King! King! King! King! King! King!
context: Man... I want to quit being a hero.\That guy's the strongest hero in the world!\It's King!\I knew I saw you somewhere! You're the legendary...\He'll stomp you in a single blow!\Can I have your autograph?\King! King!\King! King! King! King! King! King! King! response:	I-I-I'm terribly sorry for what I've done!
context: That guy's the strongest hero in the world!\It's King!\I knew I saw you somewhere! You're the legendary...\He'll stomp you in a single blow!\Can I have your autograph?\King! King!\King! King! King! King! King! King! King!\I-I-I'm terribly sorry for what I've done! response:	Three cheers for King!
context: It's King!\I knew I saw you somewhere! You're the legendary...\He'll stomp you in a single blow!\Can I have your autograph?\King! King!\King! King! King! King! King! King! King!\I-I-I'm terribly sorry for what I've done!\Three cheers for King! response:	You pervert!
context: I knew I saw you somewhere! You're the legendary...\He'll stomp you in a single blow!\Can I have your autograph?\King! King!\King! King! King! King! King! King! King!\I-I-I'm terribly sorry for what I've done!\Three cheers for King!\You pervert! response:	You're the worst.
context: He'll stomp you in a single blow!\Can I have your autograph?\King! King!\King! King! King! King! King! King! King!\I-I-I'm terribly sorry for what I've done!\Three cheers for King!\You pervert!\You're the worst. response:	Take care of him, Mr. King!
context: Can I have your autograph?\King! King!\King! King! King! King! King! King! King!\I-I-I'm terribly sorry for what I've done!\Three cheers for King!\You pervert!\You're the worst.\Take care of him, Mr. King! response:	How did it come to this?
context: King! King!\King! King! King! King! King! King! King!\I-I-I'm terribly sorry for what I've done!\Three cheers for King!\You pervert!\You're the worst.\Take care of him, Mr. King!\How did it come to this? response:	King! King! King! King!
