context: Intro response:	Mwahaha.
context: Intro\Mwahaha. response:	How's it feel to be so helpless?
context: Intro\Mwahaha.\How's it feel to be so helpless? response:	To be burnt to a crisp?
context: Intro\Mwahaha.\How's it feel to be so helpless?\To be burnt to a crisp? response:	Milord.
context: Intro\Mwahaha.\How's it feel to be so helpless?\To be burnt to a crisp?\Milord. response:	I will feed on your flesh, guts, and even your very bones,
context: Intro\Mwahaha.\How's it feel to be so helpless?\To be burnt to a crisp?\Milord.\I will feed on your flesh, guts, and even your very bones, response:	and they'll sustain me to further my ambitions!
context: Intro\Mwahaha.\How's it feel to be so helpless?\To be burnt to a crisp?\Milord.\I will feed on your flesh, guts, and even your very bones,\and they'll sustain me to further my ambitions! response:	No.
context: Intro\Mwahaha.\How's it feel to be so helpless?\To be burnt to a crisp?\Milord.\I will feed on your flesh, guts, and even your very bones,\and they'll sustain me to further my ambitions!\No. response:	If you'd just listen, Milord...
context: Mwahaha.\How's it feel to be so helpless?\To be burnt to a crisp?\Milord.\I will feed on your flesh, guts, and even your very bones,\and they'll sustain me to further my ambitions!\No.\If you'd just listen, Milord... response:	It is time for the feast to begin!
context: How's it feel to be so helpless?\To be burnt to a crisp?\Milord.\I will feed on your flesh, guts, and even your very bones,\and they'll sustain me to further my ambitions!\No.\If you'd just listen, Milord...\It is time for the feast to begin! response:	The first one to be offered in sacrifice to me...
context: To be burnt to a crisp?\Milord.\I will feed on your flesh, guts, and even your very bones,\and they'll sustain me to further my ambitions!\No.\If you'd just listen, Milord...\It is time for the feast to begin!\The first one to be offered in sacrifice to me... response:	shall be you!
context: Milord.\I will feed on your flesh, guts, and even your very bones,\and they'll sustain me to further my ambitions!\No.\If you'd just listen, Milord...\It is time for the feast to begin!\The first one to be offered in sacrifice to me...\shall be you! response:	Milord!
context: I will feed on your flesh, guts, and even your very bones,\and they'll sustain me to further my ambitions!\No.\If you'd just listen, Milord...\It is time for the feast to begin!\The first one to be offered in sacrifice to me...\shall be you!\Milord! response:	What do you want, Ashiya?
context: and they'll sustain me to further my ambitions!\No.\If you'd just listen, Milord...\It is time for the feast to begin!\The first one to be offered in sacrifice to me...\shall be you!\Milord!\What do you want, Ashiya? response:	Try not to make such a scene while eating.
context: No.\If you'd just listen, Milord...\It is time for the feast to begin!\The first one to be offered in sacrifice to me...\shall be you!\Milord!\What do you want, Ashiya?\Try not to make such a scene while eating. response:	You're bothering the other customers.
context: If you'd just listen, Milord...\It is time for the feast to begin!\The first one to be offered in sacrifice to me...\shall be you!\Milord!\What do you want, Ashiya?\Try not to make such a scene while eating.\You're bothering the other customers. response:	My bad.
context: It is time for the feast to begin!\The first one to be offered in sacrifice to me...\shall be you!\Milord!\What do you want, Ashiya?\Try not to make such a scene while eating.\You're bothering the other customers.\My bad. response:	I got a bit too excited.
context: The first one to be offered in sacrifice to me...\shall be you!\Milord!\What do you want, Ashiya?\Try not to make such a scene while eating.\You're bothering the other customers.\My bad.\I got a bit too excited. response:	But can you blame me? Offal's delicious.
context: shall be you!\Milord!\What do you want, Ashiya?\Try not to make such a scene while eating.\You're bothering the other customers.\My bad.\I got a bit too excited.\But can you blame me? Offal's delicious. response:	I finally understand what the other demons meant when they said the guts were to die for!
context: Milord!\What do you want, Ashiya?\Try not to make such a scene while eating.\You're bothering the other customers.\My bad.\I got a bit too excited.\But can you blame me? Offal's delicious.\I finally understand what the other demons meant when they said the guts were to die for! response:	Good for you.
context: What do you want, Ashiya?\Try not to make such a scene while eating.\You're bothering the other customers.\My bad.\I got a bit too excited.\But can you blame me? Offal's delicious.\I finally understand what the other demons meant when they said the guts were to die for!\Good for you. response:	But...
context: Try not to make such a scene while eating.\You're bothering the other customers.\My bad.\I got a bit too excited.\But can you blame me? Offal's delicious.\I finally understand what the other demons meant when they said the guts were to die for!\Good for you.\But... response:	Don't just eat meat. Have some vegetables too.
