context: The Master Plan just came in from Army Command. response:	In the six months following the opening of hostilities, ARUS will focus on defense,
context: The Master Plan just came in from Army Command.\In the six months following the opening of hostilities, ARUS will focus on defense, response:	leveraging our national strength and vast territory.
context: The Master Plan just came in from Army Command.\In the six months following the opening of hostilities, ARUS will focus on defense,\leveraging our national strength and vast territory. response:	During that time, we will devote all of ARUS' energies into mass-producing this weapon.
context: The Master Plan just came in from Army Command.\In the six months following the opening of hostilities, ARUS will focus on defense,\leveraging our national strength and vast territory.\During that time, we will devote all of ARUS' energies into mass-producing this weapon. response:	That JIOR weapon?
context: The Master Plan just came in from Army Command.\In the six months following the opening of hostilities, ARUS will focus on defense,\leveraging our national strength and vast territory.\During that time, we will devote all of ARUS' energies into mass-producing this weapon.\That JIOR weapon? response:	They say it defeated an entire Dorssian fleet all by itself.
context: The Master Plan just came in from Army Command.\In the six months following the opening of hostilities, ARUS will focus on defense,\leveraging our national strength and vast territory.\During that time, we will devote all of ARUS' energies into mass-producing this weapon.\That JIOR weapon?\They say it defeated an entire Dorssian fleet all by itself. response:	We can hold out easily enough for six months.
context: The Master Plan just came in from Army Command.\In the six months following the opening of hostilities, ARUS will focus on defense,\leveraging our national strength and vast territory.\During that time, we will devote all of ARUS' energies into mass-producing this weapon.\That JIOR weapon?\They say it defeated an entire Dorssian fleet all by itself.\We can hold out easily enough for six months. response:	To win, we need to fight.
context: The Master Plan just came in from Army Command.\In the six months following the opening of hostilities, ARUS will focus on defense,\leveraging our national strength and vast territory.\During that time, we will devote all of ARUS' energies into mass-producing this weapon.\That JIOR weapon?\They say it defeated an entire Dorssian fleet all by itself.\We can hold out easily enough for six months.\To win, we need to fight. response:	Enter your votes now.
context: In the six months following the opening of hostilities, ARUS will focus on defense,\leveraging our national strength and vast territory.\During that time, we will devote all of ARUS' energies into mass-producing this weapon.\That JIOR weapon?\They say it defeated an entire Dorssian fleet all by itself.\We can hold out easily enough for six months.\To win, we need to fight.\Enter your votes now. response:	Once we have confirmation that the JIOR secret weapon has been taken back,
context: leveraging our national strength and vast territory.\During that time, we will devote all of ARUS' energies into mass-producing this weapon.\That JIOR weapon?\They say it defeated an entire Dorssian fleet all by itself.\We can hold out easily enough for six months.\To win, we need to fight.\Enter your votes now.\Once we have confirmation that the JIOR secret weapon has been taken back, response:	ARUS will enter into an all-out war against Dorssia.
context: During that time, we will devote all of ARUS' energies into mass-producing this weapon.\That JIOR weapon?\They say it defeated an entire Dorssian fleet all by itself.\We can hold out easily enough for six months.\To win, we need to fight.\Enter your votes now.\Once we have confirmation that the JIOR secret weapon has been taken back,\ARUS will enter into an all-out war against Dorssia. response:	We will liberate Dorssia. Only through changing its foundation will the world change.
context: That JIOR weapon?\They say it defeated an entire Dorssian fleet all by itself.\We can hold out easily enough for six months.\To win, we need to fight.\Enter your votes now.\Once we have confirmation that the JIOR secret weapon has been taken back,\ARUS will enter into an all-out war against Dorssia.\We will liberate Dorssia. Only through changing its foundation will the world change. response:	You... But aren't you a Dorssian soldier?!
