context: Forever... Forever... response:	The first day I touched you,
context: Forever... Forever...\The first day I touched you, response:	my heart pounded so hard.
context: Forever... Forever...\The first day I touched you,\my heart pounded so hard. response:	So that's why I decided
context: Forever... Forever...\The first day I touched you,\my heart pounded so hard.\So that's why I decided response:	in my heart to follow you.
context: Forever... Forever...\The first day I touched you,\my heart pounded so hard.\So that's why I decided\in my heart to follow you. response:	The scent of the flowers and wind,
context: Forever... Forever...\The first day I touched you,\my heart pounded so hard.\So that's why I decided\in my heart to follow you.\The scent of the flowers and wind, response:	the smell of this soup...
context: Forever... Forever...\The first day I touched you,\my heart pounded so hard.\So that's why I decided\in my heart to follow you.\The scent of the flowers and wind,\the smell of this soup... response:	It doesn't matter if they disappear,
context: Forever... Forever...\The first day I touched you,\my heart pounded so hard.\So that's why I decided\in my heart to follow you.\The scent of the flowers and wind,\the smell of this soup...\It doesn't matter if they disappear, response:	as long as I can be with you.
context: The first day I touched you,\my heart pounded so hard.\So that's why I decided\in my heart to follow you.\The scent of the flowers and wind,\the smell of this soup...\It doesn't matter if they disappear,\as long as I can be with you. response:	I could hear the sound of this tiny hope growing.
context: my heart pounded so hard.\So that's why I decided\in my heart to follow you.\The scent of the flowers and wind,\the smell of this soup...\It doesn't matter if they disappear,\as long as I can be with you.\I could hear the sound of this tiny hope growing. response:	A New Journey
context: So that's why I decided\in my heart to follow you.\The scent of the flowers and wind,\the smell of this soup...\It doesn't matter if they disappear,\as long as I can be with you.\I could hear the sound of this tiny hope growing.\A New Journey response:	I can hear the song of love...
context: in my heart to follow you.\The scent of the flowers and wind,\the smell of this soup...\It doesn't matter if they disappear,\as long as I can be with you.\I could hear the sound of this tiny hope growing.\A New Journey\I can hear the song of love... response:	I wish Minori could've come.
context: The scent of the flowers and wind,\the smell of this soup...\It doesn't matter if they disappear,\as long as I can be with you.\I could hear the sound of this tiny hope growing.\A New Journey\I can hear the song of love...\I wish Minori could've come. response:	She's working at Karashin's place.
context: the smell of this soup...\It doesn't matter if they disappear,\as long as I can be with you.\I could hear the sound of this tiny hope growing.\A New Journey\I can hear the song of love...\I wish Minori could've come.\She's working at Karashin's place. response:	Miss Minori is a working lady.
