context: Mama? response:	Well, your father always picks you up, right?
context: Mama?\Well, your father always picks you up, right? response:	Daikichi isn't my father.
context: Mama?\Well, your father always picks you up, right?\Daikichi isn't my father. response:	My father is Grandpa.
context: Mama?\Well, your father always picks you up, right?\Daikichi isn't my father.\My father is Grandpa. response:	That's weird!
context: Mama?\Well, your father always picks you up, right?\Daikichi isn't my father.\My father is Grandpa.\That's weird! response:	Everyone has a mother and father.
context: Mama?\Well, your father always picks you up, right?\Daikichi isn't my father.\My father is Grandpa.\That's weird!\Everyone has a mother and father. response:	So what's Daikichi?
context: Mama?\Well, your father always picks you up, right?\Daikichi isn't my father.\My father is Grandpa.\That's weird!\Everyone has a mother and father.\So what's Daikichi? response:	I don't know...
context: Mama?\Well, your father always picks you up, right?\Daikichi isn't my father.\My father is Grandpa.\That's weird!\Everyone has a mother and father.\So what's Daikichi?\I don't know... response:	What's that?!
context: Well, your father always picks you up, right?\Daikichi isn't my father.\My father is Grandpa.\That's weird!\Everyone has a mother and father.\So what's Daikichi?\I don't know...\What's that?! response:	Rin-chan always says strange stuff!
context: Daikichi isn't my father.\My father is Grandpa.\That's weird!\Everyone has a mother and father.\So what's Daikichi?\I don't know...\What's that?!\Rin-chan always says strange stuff! response:	Men can't have babies!
context: My father is Grandpa.\That's weird!\Everyone has a mother and father.\So what's Daikichi?\I don't know...\What's that?!\Rin-chan always says strange stuff!\Men can't have babies! response:	Shut up!
context: That's weird!\Everyone has a mother and father.\So what's Daikichi?\I don't know...\What's that?!\Rin-chan always says strange stuff!\Men can't have babies!\Shut up! response:	You don't need a dad!
context: Everyone has a mother and father.\So what's Daikichi?\I don't know...\What's that?!\Rin-chan always says strange stuff!\Men can't have babies!\Shut up!\You don't need a dad! response:	Dummies!
context: So what's Daikichi?\I don't know...\What's that?!\Rin-chan always says strange stuff!\Men can't have babies!\Shut up!\You don't need a dad!\Dummies! response:	It takes one to know one.
context: I don't know...\What's that?!\Rin-chan always says strange stuff!\Men can't have babies!\Shut up!\You don't need a dad!\Dummies!\It takes one to know one. response:	Dummy, dummy, dummy!
context: What's that?!\Rin-chan always says strange stuff!\Men can't have babies!\Shut up!\You don't need a dad!\Dummies!\It takes one to know one.\Dummy, dummy, dummy! response:	Hiro-sensei!
context: Rin-chan always says strange stuff!\Men can't have babies!\Shut up!\You don't need a dad!\Dummies!\It takes one to know one.\Dummy, dummy, dummy!\Hiro-sensei! response:	Let's go!
context: Men can't have babies!\Shut up!\You don't need a dad!\Dummies!\It takes one to know one.\Dummy, dummy, dummy!\Hiro-sensei!\Let's go! response:	Kouki-kun called me a dummy!
context: Shut up!\You don't need a dad!\Dummies!\It takes one to know one.\Dummy, dummy, dummy!\Hiro-sensei!\Let's go!\Kouki-kun called me a dummy! response:	Kouki-kun kept saying dummy!
context: You don't need a dad!\Dummies!\It takes one to know one.\Dummy, dummy, dummy!\Hiro-sensei!\Let's go!\Kouki-kun called me a dummy!\Kouki-kun kept saying dummy! response:	Hiro-sensei!
context: Dummies!\It takes one to know one.\Dummy, dummy, dummy!\Hiro-sensei!\Let's go!\Kouki-kun called me a dummy!\Kouki-kun kept saying dummy!\Hiro-sensei! response:	Kouki-kun, do you just live with your mother?
context: It takes one to know one.\Dummy, dummy, dummy!\Hiro-sensei!\Let's go!\Kouki-kun called me a dummy!\Kouki-kun kept saying dummy!\Hiro-sensei!\Kouki-kun, do you just live with your mother? response:	My dad went off somewhere, and then they got a divorce.
context: Dummy, dummy, dummy!\Hiro-sensei!\Let's go!\Kouki-kun called me a dummy!\Kouki-kun kept saying dummy!\Hiro-sensei!\Kouki-kun, do you just live with your mother?\My dad went off somewhere, and then they got a divorce. response:	What's a divorce?
context: Hiro-sensei!\Let's go!\Kouki-kun called me a dummy!\Kouki-kun kept saying dummy!\Hiro-sensei!\Kouki-kun, do you just live with your mother?\My dad went off somewhere, and then they got a divorce.\What's a divorce? response:	It's quitting marriage!
context: Let's go!\Kouki-kun called me a dummy!\Kouki-kun kept saying dummy!\Hiro-sensei!\Kouki-kun, do you just live with your mother?\My dad went off somewhere, and then they got a divorce.\What's a divorce?\It's quitting marriage! response:	Maybe my mother is gone because she got a divorce...
context: Kouki-kun called me a dummy!\Kouki-kun kept saying dummy!\Hiro-sensei!\Kouki-kun, do you just live with your mother?\My dad went off somewhere, and then they got a divorce.\What's a divorce?\It's quitting marriage!\Maybe my mother is gone because she got a divorce... response:	I dunno.
context: Kouki-kun kept saying dummy!\Hiro-sensei!\Kouki-kun, do you just live with your mother?\My dad went off somewhere, and then they got a divorce.\What's a divorce?\It's quitting marriage!\Maybe my mother is gone because she got a divorce...\I dunno. response:	If you don't wear your hat, they'll get mad at you.
context: Hiro-sensei!\Kouki-kun, do you just live with your mother?\My dad went off somewhere, and then they got a divorce.\What's a divorce?\It's quitting marriage!\Maybe my mother is gone because she got a divorce...\I dunno.\If you don't wear your hat, they'll get mad at you. response:	What?
context: Kouki-kun, do you just live with your mother?\My dad went off somewhere, and then they got a divorce.\What's a divorce?\It's quitting marriage!\Maybe my mother is gone because she got a divorce...\I dunno.\If you don't wear your hat, they'll get mad at you.\What? response:	Your string is stretched out.
context: My dad went off somewhere, and then they got a divorce.\What's a divorce?\It's quitting marriage!\Maybe my mother is gone because she got a divorce...\I dunno.\If you don't wear your hat, they'll get mad at you.\What?\Your string is stretched out. response:	Rin-chan! You're getting picked up!
context: What's a divorce?\It's quitting marriage!\Maybe my mother is gone because she got a divorce...\I dunno.\If you don't wear your hat, they'll get mad at you.\What?\Your string is stretched out.\Rin-chan! You're getting picked up! response:	Rin-chan!
context: It's quitting marriage!\Maybe my mother is gone because she got a divorce...\I dunno.\If you don't wear your hat, they'll get mad at you.\What?\Your string is stretched out.\Rin-chan! You're getting picked up!\Rin-chan! response:	It's Daikichi!
context: Maybe my mother is gone because she got a divorce...\I dunno.\If you don't wear your hat, they'll get mad at you.\What?\Your string is stretched out.\Rin-chan! You're getting picked up!\Rin-chan!\It's Daikichi! response:	He's here to pick you up!
context: I dunno.\If you don't wear your hat, they'll get mad at you.\What?\Your string is stretched out.\Rin-chan! You're getting picked up!\Rin-chan!\It's Daikichi!\He's here to pick you up! response:	Rintan, pibbup!
context: If you don't wear your hat, they'll get mad at you.\What?\Your string is stretched out.\Rin-chan! You're getting picked up!\Rin-chan!\It's Daikichi!\He's here to pick you up!\Rintan, pibbup! response:	Maa-kun, it's okay!
context: What?\Your string is stretched out.\Rin-chan! You're getting picked up!\Rin-chan!\It's Daikichi!\He's here to pick you up!\Rintan, pibbup!\Maa-kun, it's okay! response:	Thank you.
context: Your string is stretched out.\Rin-chan! You're getting picked up!\Rin-chan!\It's Daikichi!\He's here to pick you up!\Rintan, pibbup!\Maa-kun, it's okay!\Thank you. response:	See you tomorrow, Rin-chan.
context: Rin-chan! You're getting picked up!\Rin-chan!\It's Daikichi!\He's here to pick you up!\Rintan, pibbup!\Maa-kun, it's okay!\Thank you.\See you tomorrow, Rin-chan. response:	Goodbye!
context: Rin-chan!\It's Daikichi!\He's here to pick you up!\Rintan, pibbup!\Maa-kun, it's okay!\Thank you.\See you tomorrow, Rin-chan.\Goodbye! response:	What do you feel like having for dinner?
context: It's Daikichi!\He's here to pick you up!\Rintan, pibbup!\Maa-kun, it's okay!\Thank you.\See you tomorrow, Rin-chan.\Goodbye!\What do you feel like having for dinner? response:	Um, let's see...
context: He's here to pick you up!\Rintan, pibbup!\Maa-kun, it's okay!\Thank you.\See you tomorrow, Rin-chan.\Goodbye!\What do you feel like having for dinner?\Um, let's see... response:	Kouki-kun!
context: Rintan, pibbup!\Maa-kun, it's okay!\Thank you.\See you tomorrow, Rin-chan.\Goodbye!\What do you feel like having for dinner?\Um, let's see...\Kouki-kun! response:	Your mother's here to pick you up!
context: Maa-kun, it's okay!\Thank you.\See you tomorrow, Rin-chan.\Goodbye!\What do you feel like having for dinner?\Um, let's see...\Kouki-kun!\Your mother's here to pick you up! response:	I dunno about tomorrow.
context: Thank you.\See you tomorrow, Rin-chan.\Goodbye!\What do you feel like having for dinner?\Um, let's see...\Kouki-kun!\Your mother's here to pick you up!\I dunno about tomorrow. response:	It's different than a sacrifice. Something's off.
context: See you tomorrow, Rin-chan.\Goodbye!\What do you feel like having for dinner?\Um, let's see...\Kouki-kun!\Your mother's here to pick you up!\I dunno about tomorrow.\It's different than a sacrifice. Something's off. response:	I don't think it's like some penalty game.
context: Goodbye!\What do you feel like having for dinner?\Um, let's see...\Kouki-kun!\Your mother's here to pick you up!\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game. response:	So, why? I don't get it at all.
context: What do you feel like having for dinner?\Um, let's see...\Kouki-kun!\Your mother's here to pick you up!\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all. response:	I'm a little bit unsatisfied, but your presence
