context: FOUR YEARS AGO response:	PORT OF STIMMER, LEIDENSCHAFTLICH
context: FOUR YEARS AGO\PORT OF STIMMER, LEIDENSCHAFTLICH response:	Captain Diethard Bougainvillea.
context: FOUR YEARS AGO\PORT OF STIMMER, LEIDENSCHAFTLICH\Captain Diethard Bougainvillea. response:	Your brother is here to see you.
context: FOUR YEARS AGO\PORT OF STIMMER, LEIDENSCHAFTLICH\Captain Diethard Bougainvillea.\Your brother is here to see you. response:	Hey, Gil!
context: FOUR YEARS AGO\PORT OF STIMMER, LEIDENSCHAFTLICH\Captain Diethard Bougainvillea.\Your brother is here to see you.\Hey, Gil! response:	How have you been? You look depressed, as usual.
context: FOUR YEARS AGO\PORT OF STIMMER, LEIDENSCHAFTLICH\Captain Diethard Bougainvillea.\Your brother is here to see you.\Hey, Gil!\How have you been? You look depressed, as usual. response:	You look just like Father.
context: FOUR YEARS AGO\PORT OF STIMMER, LEIDENSCHAFTLICH\Captain Diethard Bougainvillea.\Your brother is here to see you.\Hey, Gil!\How have you been? You look depressed, as usual.\You look just like Father. response:	You haven't changed either.
context: FOUR YEARS AGO\PORT OF STIMMER, LEIDENSCHAFTLICH\Captain Diethard Bougainvillea.\Your brother is here to see you.\Hey, Gil!\How have you been? You look depressed, as usual.\You look just like Father.\You haven't changed either. response:	Father would not approve of your hair for sure.
context: PORT OF STIMMER, LEIDENSCHAFTLICH\Captain Diethard Bougainvillea.\Your brother is here to see you.\Hey, Gil!\How have you been? You look depressed, as usual.\You look just like Father.\You haven't changed either.\Father would not approve of your hair for sure. response:	I bet he would have cut it off with a saber.
context: Captain Diethard Bougainvillea.\Your brother is here to see you.\Hey, Gil!\How have you been? You look depressed, as usual.\You look just like Father.\You haven't changed either.\Father would not approve of your hair for sure.\I bet he would have cut it off with a saber. response:	I wouldn't let him.
context: Your brother is here to see you.\Hey, Gil!\How have you been? You look depressed, as usual.\You look just like Father.\You haven't changed either.\Father would not approve of your hair for sure.\I bet he would have cut it off with a saber.\I wouldn't let him. response:	You've always been like that.
context: Hey, Gil!\How have you been? You look depressed, as usual.\You look just like Father.\You haven't changed either.\Father would not approve of your hair for sure.\I bet he would have cut it off with a saber.\I wouldn't let him.\You've always been like that. response:	I'm glad he died.
context: How have you been? You look depressed, as usual.\You look just like Father.\You haven't changed either.\Father would not approve of your hair for sure.\I bet he would have cut it off with a saber.\I wouldn't let him.\You've always been like that.\I'm glad he died. response:	Sorry.
context: You look just like Father.\You haven't changed either.\Father would not approve of your hair for sure.\I bet he would have cut it off with a saber.\I wouldn't let him.\You've always been like that.\I'm glad he died.\Sorry. response:	Stop making that face.
context: You haven't changed either.\Father would not approve of your hair for sure.\I bet he would have cut it off with a saber.\I wouldn't let him.\You've always been like that.\I'm glad he died.\Sorry.\Stop making that face. response:	I brought you something nice today to celebrate your promotion.
context: Father would not approve of your hair for sure.\I bet he would have cut it off with a saber.\I wouldn't let him.\You've always been like that.\I'm glad he died.\Sorry.\Stop making that face.\I brought you something nice today to celebrate your promotion. response:	Got it? Only use it as a weapon.
context: I bet he would have cut it off with a saber.\I wouldn't let him.\You've always been like that.\I'm glad he died.\Sorry.\Stop making that face.\I brought you something nice today to celebrate your promotion.\Got it? Only use it as a weapon. response:	Don't get attached.
context: I wouldn't let him.\You've always been like that.\I'm glad he died.\Sorry.\Stop making that face.\I brought you something nice today to celebrate your promotion.\Got it? Only use it as a weapon.\Don't get attached. response:	Open it.
context: You've always been like that.\I'm glad he died.\Sorry.\Stop making that face.\I brought you something nice today to celebrate your promotion.\Got it? Only use it as a weapon.\Don't get attached.\Open it. response:	Hey. Get up.
context: I'm glad he died.\Sorry.\Stop making that face.\I brought you something nice today to celebrate your promotion.\Got it? Only use it as a weapon.\Don't get attached.\Open it.\Hey. Get up. response:	I found her in the northeastern war zone.
context: Sorry.\Stop making that face.\I brought you something nice today to celebrate your promotion.\Got it? Only use it as a weapon.\Don't get attached.\Open it.\Hey. Get up.\I found her in the northeastern war zone. response:	Her name is...
context: Stop making that face.\I brought you something nice today to celebrate your promotion.\Got it? Only use it as a weapon.\Don't get attached.\Open it.\Hey. Get up.\I found her in the northeastern war zone.\Her name is... response:	Violet Evergarden.
context: I brought you something nice today to celebrate your promotion.\Got it? Only use it as a weapon.\Don't get attached.\Open it.\Hey. Get up.\I found her in the northeastern war zone.\Her name is...\Violet Evergarden. response:	She's going to start working today as an Auto Memory Doll apprentice.
context: Got it? Only use it as a weapon.\Don't get attached.\Open it.\Hey. Get up.\I found her in the northeastern war zone.\Her name is...\Violet Evergarden.\She's going to start working today as an Auto Memory Doll apprentice. response:	Please train her on everything.
context: Don't get attached.\Open it.\Hey. Get up.\I found her in the northeastern war zone.\Her name is...\Violet Evergarden.\She's going to start working today as an Auto Memory Doll apprentice.\Please train her on everything. response:	Okay.
context: Open it.\Hey. Get up.\I found her in the northeastern war zone.\Her name is...\Violet Evergarden.\She's going to start working today as an Auto Memory Doll apprentice.\Please train her on everything.\Okay. response:	She didn't have any facial expressions,
context: Hey. Get up.\I found her in the northeastern war zone.\Her name is...\Violet Evergarden.\She's going to start working today as an Auto Memory Doll apprentice.\Please train her on everything.\Okay.\She didn't have any facial expressions, response:	just like a doll.
context: I found her in the northeastern war zone.\Her name is...\Violet Evergarden.\She's going to start working today as an Auto Memory Doll apprentice.\Please train her on everything.\Okay.\She didn't have any facial expressions,\just like a doll. response:	Just like the dolls...
context: Her name is...\Violet Evergarden.\She's going to start working today as an Auto Memory Doll apprentice.\Please train her on everything.\Okay.\She didn't have any facial expressions,\just like a doll.\Just like the dolls... response:	that were named after this industry.
context: Violet Evergarden.\She's going to start working today as an Auto Memory Doll apprentice.\Please train her on everything.\Okay.\She didn't have any facial expressions,\just like a doll.\Just like the dolls...\that were named after this industry. response:	Um, first off...
context: She's going to start working today as an Auto Memory Doll apprentice.\Please train her on everything.\Okay.\She didn't have any facial expressions,\just like a doll.\Just like the dolls...\that were named after this industry.\Um, first off... response:	How much do you know about what Auto Memory Dolls do?
context: Please train her on everything.\Okay.\She didn't have any facial expressions,\just like a doll.\Just like the dolls...\that were named after this industry.\Um, first off...\How much do you know about what Auto Memory Dolls do? response:	They write letters at the request of others.
context: Okay.\She didn't have any facial expressions,\just like a doll.\Just like the dolls...\that were named after this industry.\Um, first off...\How much do you know about what Auto Memory Dolls do?\They write letters at the request of others. response:	Lt. Colonel Hodgins... I mean,
context: She didn't have any facial expressions,\just like a doll.\Just like the dolls...\that were named after this industry.\Um, first off...\How much do you know about what Auto Memory Dolls do?\They write letters at the request of others.\Lt. Colonel Hodgins... I mean, response:	the president told me so.
context: just like a doll.\Just like the dolls...\that were named after this industry.\Um, first off...\How much do you know about what Auto Memory Dolls do?\They write letters at the request of others.\Lt. Colonel Hodgins... I mean,\the president told me so. response:	That's right!
context: Just like the dolls...\that were named after this industry.\Um, first off...\How much do you know about what Auto Memory Dolls do?\They write letters at the request of others.\Lt. Colonel Hodgins... I mean,\the president told me so.\That's right! response:	I can't say that I completely understand, but I think I can perform my duties.
context: that were named after this industry.\Um, first off...\How much do you know about what Auto Memory Dolls do?\They write letters at the request of others.\Lt. Colonel Hodgins... I mean,\the president told me so.\That's right!\I can't say that I completely understand, but I think I can perform my duties. response:	It's not that easy! Duties?! What are you talking about?!
context: Um, first off...\How much do you know about what Auto Memory Dolls do?\They write letters at the request of others.\Lt. Colonel Hodgins... I mean,\the president told me so.\That's right!\I can't say that I completely understand, but I think I can perform my duties.\It's not that easy! Duties?! What are you talking about?! response:	Iris, that's enough. Get back to work.
context: How much do you know about what Auto Memory Dolls do?\They write letters at the request of others.\Lt. Colonel Hodgins... I mean,\the president told me so.\That's right!\I can't say that I completely understand, but I think I can perform my duties.\It's not that easy! Duties?! What are you talking about?!\Iris, that's enough. Get back to work. response:	All right.
context: They write letters at the request of others.\Lt. Colonel Hodgins... I mean,\the president told me so.\That's right!\I can't say that I completely understand, but I think I can perform my duties.\It's not that easy! Duties?! What are you talking about?!\Iris, that's enough. Get back to work.\All right. response:	That reminds me, I haven't introduced the other Dolls to you yet.
context: Lt. Colonel Hodgins... I mean,\the president told me so.\That's right!\I can't say that I completely understand, but I think I can perform my duties.\It's not that easy! Duties?! What are you talking about?!\Iris, that's enough. Get back to work.\All right.\That reminds me, I haven't introduced the other Dolls to you yet. response:	Doll refers to...
context: the president told me so.\That's right!\I can't say that I completely understand, but I think I can perform my duties.\It's not that easy! Duties?! What are you talking about?!\Iris, that's enough. Get back to work.\All right.\That reminds me, I haven't introduced the other Dolls to you yet.\Doll refers to... response:	I understand it's an abbreviation for Auto Memory Doll.
context: That's right!\I can't say that I completely understand, but I think I can perform my duties.\It's not that easy! Duties?! What are you talking about?!\Iris, that's enough. Get back to work.\All right.\That reminds me, I haven't introduced the other Dolls to you yet.\Doll refers to...\I understand it's an abbreviation for Auto Memory Doll. response:	-I figured it out the other day. -That's right.
context: I can't say that I completely understand, but I think I can perform my duties.\It's not that easy! Duties?! What are you talking about?!\Iris, that's enough. Get back to work.\All right.\That reminds me, I haven't introduced the other Dolls to you yet.\Doll refers to...\I understand it's an abbreviation for Auto Memory Doll.\-I figured it out the other day. -That's right. response:	The girl just now... Her name is Iris.
context: It's not that easy! Duties?! What are you talking about?!\Iris, that's enough. Get back to work.\All right.\That reminds me, I haven't introduced the other Dolls to you yet.\Doll refers to...\I understand it's an abbreviation for Auto Memory Doll.\-I figured it out the other day. -That's right.\The girl just now... Her name is Iris. response:	She's a new hire who just completed her training course.
context: Iris, that's enough. Get back to work.\All right.\That reminds me, I haven't introduced the other Dolls to you yet.\Doll refers to...\I understand it's an abbreviation for Auto Memory Doll.\-I figured it out the other day. -That's right.\The girl just now... Her name is Iris.\She's a new hire who just completed her training course. response:	And that's Erica.
context: All right.\That reminds me, I haven't introduced the other Dolls to you yet.\Doll refers to...\I understand it's an abbreviation for Auto Memory Doll.\-I figured it out the other day. -That's right.\The girl just now... Her name is Iris.\She's a new hire who just completed her training course.\And that's Erica. response:	She and I have both been working as Dolls for a while.
context: That reminds me, I haven't introduced the other Dolls to you yet.\Doll refers to...\I understand it's an abbreviation for Auto Memory Doll.\-I figured it out the other day. -That's right.\The girl just now... Her name is Iris.\She's a new hire who just completed her training course.\And that's Erica.\She and I have both been working as Dolls for a while. response:	This company is still pretty young,
context: Doll refers to...\I understand it's an abbreviation for Auto Memory Doll.\-I figured it out the other day. -That's right.\The girl just now... Her name is Iris.\She's a new hire who just completed her training course.\And that's Erica.\She and I have both been working as Dolls for a while.\This company is still pretty young, response:	so, we're all like rookies here.
context: I understand it's an abbreviation for Auto Memory Doll.\-I figured it out the other day. -That's right.\The girl just now... Her name is Iris.\She's a new hire who just completed her training course.\And that's Erica.\She and I have both been working as Dolls for a while.\This company is still pretty young,\so, we're all like rookies here. response:	I don't think so.
context: -I figured it out the other day. -That's right.\The girl just now... Her name is Iris.\She's a new hire who just completed her training course.\And that's Erica.\She and I have both been working as Dolls for a while.\This company is still pretty young,\so, we're all like rookies here.\I don't think so. response:	Violet, do you know how to use a typewriter?
context: The girl just now... Her name is Iris.\She's a new hire who just completed her training course.\And that's Erica.\She and I have both been working as Dolls for a while.\This company is still pretty young,\so, we're all like rookies here.\I don't think so.\Violet, do you know how to use a typewriter? response:	I've never used one before.
context: She's a new hire who just completed her training course.\And that's Erica.\She and I have both been working as Dolls for a while.\This company is still pretty young,\so, we're all like rookies here.\I don't think so.\Violet, do you know how to use a typewriter?\I've never used one before. response:	Then why don't you start off by practicing typing?
context: And that's Erica.\She and I have both been working as Dolls for a while.\This company is still pretty young,\so, we're all like rookies here.\I don't think so.\Violet, do you know how to use a typewriter?\I've never used one before.\Then why don't you start off by practicing typing? response:	It's not that easy to become a Doll.
context: She and I have both been working as Dolls for a while.\This company is still pretty young,\so, we're all like rookies here.\I don't think so.\Violet, do you know how to use a typewriter?\I've never used one before.\Then why don't you start off by practicing typing?\It's not that easy to become a Doll. response:	Iris, can we borrow your manual?
context: This company is still pretty young,\so, we're all like rookies here.\I don't think so.\Violet, do you know how to use a typewriter?\I've never used one before.\Then why don't you start off by practicing typing?\It's not that easy to become a Doll.\Iris, can we borrow your manual? response:	Okay.
context: so, we're all like rookies here.\I don't think so.\Violet, do you know how to use a typewriter?\I've never used one before.\Then why don't you start off by practicing typing?\It's not that easy to become a Doll.\Iris, can we borrow your manual?\Okay. response:	Uh, have a seat.
context: I don't think so.\Violet, do you know how to use a typewriter?\I've never used one before.\Then why don't you start off by practicing typing?\It's not that easy to become a Doll.\Iris, can we borrow your manual?\Okay.\Uh, have a seat. response:	Yes ma'am.
context: Violet, do you know how to use a typewriter?\I've never used one before.\Then why don't you start off by practicing typing?\It's not that easy to become a Doll.\Iris, can we borrow your manual?\Okay.\Uh, have a seat.\Yes ma'am. response:	You should remove your gloves.
context: I've never used one before.\Then why don't you start off by practicing typing?\It's not that easy to become a Doll.\Iris, can we borrow your manual?\Okay.\Uh, have a seat.\Yes ma'am.\You should remove your gloves. response:	Okay.
context: Then why don't you start off by practicing typing?\It's not that easy to become a Doll.\Iris, can we borrow your manual?\Okay.\Uh, have a seat.\Yes ma'am.\You should remove your gloves.\Okay. response:	Are you okay?
context: It's not that easy to become a Doll.\Iris, can we borrow your manual?\Okay.\Uh, have a seat.\Yes ma'am.\You should remove your gloves.\Okay.\Are you okay? response:	It's not a problem.
