context: Alarm response:	My Friend and I
context: Alarm\My Friend and I response:	There are things I don't know about Suna,
context: Alarm\My Friend and I\There are things I don't know about Suna, response:	even though I've known him more than ten years.
context: Alarm\My Friend and I\There are things I don't know about Suna,\even though I've known him more than ten years. response:	Even though I know his birthday,
context: Alarm\My Friend and I\There are things I don't know about Suna,\even though I've known him more than ten years.\Even though I know his birthday, response:	what kind of underwear he wears,
context: Alarm\My Friend and I\There are things I don't know about Suna,\even though I've known him more than ten years.\Even though I know his birthday,\what kind of underwear he wears, response:	and a secret place only the two of us know,
context: Alarm\My Friend and I\There are things I don't know about Suna,\even though I've known him more than ten years.\Even though I know his birthday,\what kind of underwear he wears,\and a secret place only the two of us know, response:	there's still a lot I don't know.
context: Alarm\My Friend and I\There are things I don't know about Suna,\even though I've known him more than ten years.\Even though I know his birthday,\what kind of underwear he wears,\and a secret place only the two of us know,\there's still a lot I don't know. response:	Why won't you get it?
context: My Friend and I\There are things I don't know about Suna,\even though I've known him more than ten years.\Even though I know his birthday,\what kind of underwear he wears,\and a secret place only the two of us know,\there's still a lot I don't know.\Why won't you get it? response:	Even if you scrap the birthday plan you've been looking forward to, and come to the surgery,
context: There are things I don't know about Suna,\even though I've known him more than ten years.\Even though I know his birthday,\what kind of underwear he wears,\and a secret place only the two of us know,\there's still a lot I don't know.\Why won't you get it?\Even if you scrap the birthday plan you've been looking forward to, and come to the surgery, response:	it won't make me feel any better.
context: even though I've known him more than ten years.\Even though I know his birthday,\what kind of underwear he wears,\and a secret place only the two of us know,\there's still a lot I don't know.\Why won't you get it?\Even if you scrap the birthday plan you've been looking forward to, and come to the surgery,\it won't make me feel any better. response:	Today is Yamato's birthday
context: Even though I know his birthday,\what kind of underwear he wears,\and a secret place only the two of us know,\there's still a lot I don't know.\Why won't you get it?\Even if you scrap the birthday plan you've been looking forward to, and come to the surgery,\it won't make me feel any better.\Today is Yamato's birthday response:	and the day Suna's dad undergoes surgery.
context: what kind of underwear he wears,\and a secret place only the two of us know,\there's still a lot I don't know.\Why won't you get it?\Even if you scrap the birthday plan you've been looking forward to, and come to the surgery,\it won't make me feel any better.\Today is Yamato's birthday\and the day Suna's dad undergoes surgery. response:	I thought you were a gatekeeper.
context: and a secret place only the two of us know,\there's still a lot I don't know.\Why won't you get it?\Even if you scrap the birthday plan you've been looking forward to, and come to the surgery,\it won't make me feel any better.\Today is Yamato's birthday\and the day Suna's dad undergoes surgery.\I thought you were a gatekeeper. response:	Suna, when does the surgery start?
context: there's still a lot I don't know.\Why won't you get it?\Even if you scrap the birthday plan you've been looking forward to, and come to the surgery,\it won't make me feel any better.\Today is Yamato's birthday\and the day Suna's dad undergoes surgery.\I thought you were a gatekeeper.\Suna, when does the surgery start? response:	Two o'clock.
context: Why won't you get it?\Even if you scrap the birthday plan you've been looking forward to, and come to the surgery,\it won't make me feel any better.\Today is Yamato's birthday\and the day Suna's dad undergoes surgery.\I thought you were a gatekeeper.\Suna, when does the surgery start?\Two o'clock. response:	Well, I'm off.
context: Even if you scrap the birthday plan you've been looking forward to, and come to the surgery,\it won't make me feel any better.\Today is Yamato's birthday\and the day Suna's dad undergoes surgery.\I thought you were a gatekeeper.\Suna, when does the surgery start?\Two o'clock.\Well, I'm off. response:	Give Yamato-san my regards.
context: it won't make me feel any better.\Today is Yamato's birthday\and the day Suna's dad undergoes surgery.\I thought you were a gatekeeper.\Suna, when does the surgery start?\Two o'clock.\Well, I'm off.\Give Yamato-san my regards. response:	Suna...
context: Today is Yamato's birthday\and the day Suna's dad undergoes surgery.\I thought you were a gatekeeper.\Suna, when does the surgery start?\Two o'clock.\Well, I'm off.\Give Yamato-san my regards.\Suna... response:	I know I've been really critical about your plans,
context: and the day Suna's dad undergoes surgery.\I thought you were a gatekeeper.\Suna, when does the surgery start?\Two o'clock.\Well, I'm off.\Give Yamato-san my regards.\Suna...\I know I've been really critical about your plans, response:	but I think she'll be happy, no matter what you guys end up doing.
context: I thought you were a gatekeeper.\Suna, when does the surgery start?\Two o'clock.\Well, I'm off.\Give Yamato-san my regards.\Suna...\I know I've been really critical about your plans,\but I think she'll be happy, no matter what you guys end up doing. response:	Well, good luck.
context: Suna, when does the surgery start?\Two o'clock.\Well, I'm off.\Give Yamato-san my regards.\Suna...\I know I've been really critical about your plans,\but I think she'll be happy, no matter what you guys end up doing.\Well, good luck. response:	Suna, we spent so much time perfecting the plan for today.
context: Two o'clock.\Well, I'm off.\Give Yamato-san my regards.\Suna...\I know I've been really critical about your plans,\but I think she'll be happy, no matter what you guys end up doing.\Well, good luck.\Suna, we spent so much time perfecting the plan for today. response:	I'll make sure it's a success.
context: Well, I'm off.\Give Yamato-san my regards.\Suna...\I know I've been really critical about your plans,\but I think she'll be happy, no matter what you guys end up doing.\Well, good luck.\Suna, we spent so much time perfecting the plan for today.\I'll make sure it's a success. response:	Takeo-kun!
