context: Yes! response:	Spellamiso. A perennial plant from the Aoshidare family.
context: Yes!\Spellamiso. A perennial plant from the Aoshidare family. response:	If you steam the roots and dry them, it can lower fevers and alleviate pain.
context: Yes!\Spellamiso. A perennial plant from the Aoshidare family.\If you steam the roots and dry them, it can lower fevers and alleviate pain. response:	Oh, no. It's time to open the shop...!
context: Yes!\Spellamiso. A perennial plant from the Aoshidare family.\If you steam the roots and dry them, it can lower fevers and alleviate pain.\Oh, no. It's time to open the shop...! response:	This is...
context: Yes!\Spellamiso. A perennial plant from the Aoshidare family.\If you steam the roots and dry them, it can lower fevers and alleviate pain.\Oh, no. It's time to open the shop...!\This is... response:	If I had my wish,
context: Yes!\Spellamiso. A perennial plant from the Aoshidare family.\If you steam the roots and dry them, it can lower fevers and alleviate pain.\Oh, no. It's time to open the shop...!\This is...\If I had my wish, response:	I would keep writing my own path like this...
context: Yes!\Spellamiso. A perennial plant from the Aoshidare family.\If you steam the roots and dry them, it can lower fevers and alleviate pain.\Oh, no. It's time to open the shop...!\This is...\If I had my wish,\I would keep writing my own path like this... response:	Episode 1: Encounter... Changing the Color of Fate
context: Yes!\Spellamiso. A perennial plant from the Aoshidare family.\If you steam the roots and dry them, it can lower fevers and alleviate pain.\Oh, no. It's time to open the shop...!\This is...\If I had my wish,\I would keep writing my own path like this...\Episode 1: Encounter... Changing the Color of Fate response:	Mirror, Mirror on the wall, who's the fairest girl in the land?
context: Spellamiso. A perennial plant from the Aoshidare family.\If you steam the roots and dry them, it can lower fevers and alleviate pain.\Oh, no. It's time to open the shop...!\This is...\If I had my wish,\I would keep writing my own path like this...\Episode 1: Encounter... Changing the Color of Fate\Mirror, Mirror on the wall, who's the fairest girl in the land? response:	Prince Raj.
context: If you steam the roots and dry them, it can lower fevers and alleviate pain.\Oh, no. It's time to open the shop...!\This is...\If I had my wish,\I would keep writing my own path like this...\Episode 1: Encounter... Changing the Color of Fate\Mirror, Mirror on the wall, who's the fairest girl in the land?\Prince Raj. response:	What is it, Sakaki?
context: Oh, no. It's time to open the shop...!\This is...\If I had my wish,\I would keep writing my own path like this...\Episode 1: Encounter... Changing the Color of Fate\Mirror, Mirror on the wall, who's the fairest girl in the land?\Prince Raj.\What is it, Sakaki? response:	This is not a mirror.
context: This is...\If I had my wish,\I would keep writing my own path like this...\Episode 1: Encounter... Changing the Color of Fate\Mirror, Mirror on the wall, who's the fairest girl in the land?\Prince Raj.\What is it, Sakaki?\This is not a mirror. response:	He is an informant from town.
context: If I had my wish,\I would keep writing my own path like this...\Episode 1: Encounter... Changing the Color of Fate\Mirror, Mirror on the wall, who's the fairest girl in the land?\Prince Raj.\What is it, Sakaki?\This is not a mirror.\He is an informant from town. response:	Ahem.
context: I would keep writing my own path like this...\Episode 1: Encounter... Changing the Color of Fate\Mirror, Mirror on the wall, who's the fairest girl in the land?\Prince Raj.\What is it, Sakaki?\This is not a mirror.\He is an informant from town.\Ahem. response:	He's telling me everything as he sees it, so he might as well be a mirror!
context: Episode 1: Encounter... Changing the Color of Fate\Mirror, Mirror on the wall, who's the fairest girl in the land?\Prince Raj.\What is it, Sakaki?\This is not a mirror.\He is an informant from town.\Ahem.\He's telling me everything as he sees it, so he might as well be a mirror! response:	Well, please do not joke around too much.
context: Mirror, Mirror on the wall, who's the fairest girl in the land?\Prince Raj.\What is it, Sakaki?\This is not a mirror.\He is an informant from town.\Ahem.\He's telling me everything as he sees it, so he might as well be a mirror!\Well, please do not joke around too much. response:	You too! Don't just stand there! Tell me your information!
context: Prince Raj.\What is it, Sakaki?\This is not a mirror.\He is an informant from town.\Ahem.\He's telling me everything as he sees it, so he might as well be a mirror!\Well, please do not joke around too much.\You too! Don't just stand there! Tell me your information! response:	Y-Yes, Highness!
context: What is it, Sakaki?\This is not a mirror.\He is an informant from town.\Ahem.\He's telling me everything as he sees it, so he might as well be a mirror!\Well, please do not joke around too much.\You too! Don't just stand there! Tell me your information!\Y-Yes, Highness! response:	You want to know who the most beautiful girl in the kingdom of Tanbarun is, right?
context: This is not a mirror.\He is an informant from town.\Ahem.\He's telling me everything as he sees it, so he might as well be a mirror!\Well, please do not joke around too much.\You too! Don't just stand there! Tell me your information!\Y-Yes, Highness!\You want to know who the most beautiful girl in the kingdom of Tanbarun is, right? response:	In that case, what about that girl...?
context: He is an informant from town.\Ahem.\He's telling me everything as he sees it, so he might as well be a mirror!\Well, please do not joke around too much.\You too! Don't just stand there! Tell me your information!\Y-Yes, Highness!\You want to know who the most beautiful girl in the kingdom of Tanbarun is, right?\In that case, what about that girl...? response:	That girl?
context: Ahem.\He's telling me everything as he sees it, so he might as well be a mirror!\Well, please do not joke around too much.\You too! Don't just stand there! Tell me your information!\Y-Yes, Highness!\You want to know who the most beautiful girl in the kingdom of Tanbarun is, right?\In that case, what about that girl...?\That girl? response:	Yes, a girl born with exceptionally rare red hair, as red as an apple.
context: He's telling me everything as he sees it, so he might as well be a mirror!\Well, please do not joke around too much.\You too! Don't just stand there! Tell me your information!\Y-Yes, Highness!\You want to know who the most beautiful girl in the kingdom of Tanbarun is, right?\In that case, what about that girl...?\That girl?\Yes, a girl born with exceptionally rare red hair, as red as an apple. response:	Her name is Shirayuki, Highness.
