context: Kiss Him, Not Me response:	I'm at a Disadvantage
context: Kiss Him, Not Me\I'm at a Disadvantage response:	The usual place.
context: Kiss Him, Not Me\I'm at a Disadvantage\The usual place. response:	The usual friends.
context: Kiss Him, Not Me\I'm at a Disadvantage\The usual place.\The usual friends. response:	The usual conversation.
context: Kiss Him, Not Me\I'm at a Disadvantage\The usual place.\The usual friends.\The usual conversation. response:	No, that's not true.
context: Kiss Him, Not Me\I'm at a Disadvantage\The usual place.\The usual friends.\The usual conversation.\No, that's not true. response:	I noticed something's different.
context: Kiss Him, Not Me\I'm at a Disadvantage\The usual place.\The usual friends.\The usual conversation.\No, that's not true.\I noticed something's different. response:	Okay, today's handshake.
context: Kiss Him, Not Me\I'm at a Disadvantage\The usual place.\The usual friends.\The usual conversation.\No, that's not true.\I noticed something's different.\Okay, today's handshake. response:	So you can get used to me.
context: I'm at a Disadvantage\The usual place.\The usual friends.\The usual conversation.\No, that's not true.\I noticed something's different.\Okay, today's handshake.\So you can get used to me. response:	Okay.
context: The usual place.\The usual friends.\The usual conversation.\No, that's not true.\I noticed something's different.\Okay, today's handshake.\So you can get used to me.\Okay. response:	Okay!
context: The usual friends.\The usual conversation.\No, that's not true.\I noticed something's different.\Okay, today's handshake.\So you can get used to me.\Okay.\Okay! response:	Are you a bit more used to it?
context: The usual conversation.\No, that's not true.\I noticed something's different.\Okay, today's handshake.\So you can get used to me.\Okay.\Okay!\Are you a bit more used to it? response:	Well, yeah. It's just a handshake.
context: No, that's not true.\I noticed something's different.\Okay, today's handshake.\So you can get used to me.\Okay.\Okay!\Are you a bit more used to it?\Well, yeah. It's just a handshake. response:	Then, let's turn it up a notch.
context: I noticed something's different.\Okay, today's handshake.\So you can get used to me.\Okay.\Okay!\Are you a bit more used to it?\Well, yeah. It's just a handshake.\Then, let's turn it up a notch. response:	Squeeze
context: Okay, today's handshake.\So you can get used to me.\Okay.\Okay!\Are you a bit more used to it?\Well, yeah. It's just a handshake.\Then, let's turn it up a notch.\Squeeze response:	Oh, sorry. Did I surprise you? It's just a handshake.
context: So you can get used to me.\Okay.\Okay!\Are you a bit more used to it?\Well, yeah. It's just a handshake.\Then, let's turn it up a notch.\Squeeze\Oh, sorry. Did I surprise you? It's just a handshake. response:	Right! Just a handshake!
context: Okay.\Okay!\Are you a bit more used to it?\Well, yeah. It's just a handshake.\Then, let's turn it up a notch.\Squeeze\Oh, sorry. Did I surprise you? It's just a handshake.\Right! Just a handshake! response:	Wha
context: Okay!\Are you a bit more used to it?\Well, yeah. It's just a handshake.\Then, let's turn it up a notch.\Squeeze\Oh, sorry. Did I surprise you? It's just a handshake.\Right! Just a handshake!\Wha response:	Jeez...
context: Are you a bit more used to it?\Well, yeah. It's just a handshake.\Then, let's turn it up a notch.\Squeeze\Oh, sorry. Did I surprise you? It's just a handshake.\Right! Just a handshake!\Wha\Jeez... response:	My lord, you're priceless...
context: Well, yeah. It's just a handshake.\Then, let's turn it up a notch.\Squeeze\Oh, sorry. Did I surprise you? It's just a handshake.\Right! Just a handshake!\Wha\Jeez...\My lord, you're priceless... response:	Akane-chan, you're priceless...
context: Then, let's turn it up a notch.\Squeeze\Oh, sorry. Did I surprise you? It's just a handshake.\Right! Just a handshake!\Wha\Jeez...\My lord, you're priceless...\Akane-chan, you're priceless... response:	Kachu Rabu is so deep.
context: Squeeze\Oh, sorry. Did I surprise you? It's just a handshake.\Right! Just a handshake!\Wha\Jeez...\My lord, you're priceless...\Akane-chan, you're priceless...\Kachu Rabu is so deep. response:	There's so much to it!
context: Oh, sorry. Did I surprise you? It's just a handshake.\Right! Just a handshake!\Wha\Jeez...\My lord, you're priceless...\Akane-chan, you're priceless...\Kachu Rabu is so deep.\There's so much to it! response:	And these two have been getting along real well since their pairing fight.
context: Right! Just a handshake!\Wha\Jeez...\My lord, you're priceless...\Akane-chan, you're priceless...\Kachu Rabu is so deep.\There's so much to it!\And these two have been getting along real well since their pairing fight. response:	They're like, really close.
context: Wha\Jeez...\My lord, you're priceless...\Akane-chan, you're priceless...\Kachu Rabu is so deep.\There's so much to it!\And these two have been getting along real well since their pairing fight.\They're like, really close. response:	Take this!
context: Jeez...\My lord, you're priceless...\Akane-chan, you're priceless...\Kachu Rabu is so deep.\There's so much to it!\And these two have been getting along real well since their pairing fight.\They're like, really close.\Take this! response:	Special skill!
context: My lord, you're priceless...\Akane-chan, you're priceless...\Kachu Rabu is so deep.\There's so much to it!\And these two have been getting along real well since their pairing fight.\They're like, really close.\Take this!\Special skill! response:	Sametora Flame-Horned Slugger!
context: Akane-chan, you're priceless...\Kachu Rabu is so deep.\There's so much to it!\And these two have been getting along real well since their pairing fight.\They're like, really close.\Take this!\Special skill!\Sametora Flame-Horned Slugger! response:	It's the Sametora Flame-Horned Slugger.
context: Kachu Rabu is so deep.\There's so much to it!\And these two have been getting along real well since their pairing fight.\They're like, really close.\Take this!\Special skill!\Sametora Flame-Horned Slugger!\It's the Sametora Flame-Horned Slugger. response:	Senpai.
context: There's so much to it!\And these two have been getting along real well since their pairing fight.\They're like, really close.\Take this!\Special skill!\Sametora Flame-Horned Slugger!\It's the Sametora Flame-Horned Slugger.\Senpai. response:	Whenever I see it, I remember how brave you were.
context: And these two have been getting along real well since their pairing fight.\They're like, really close.\Take this!\Special skill!\Sametora Flame-Horned Slugger!\It's the Sametora Flame-Horned Slugger.\Senpai.\Whenever I see it, I remember how brave you were. response:	Oh, no!
context: They're like, really close.\Take this!\Special skill!\Sametora Flame-Horned Slugger!\It's the Sametora Flame-Horned Slugger.\Senpai.\Whenever I see it, I remember how brave you were.\Oh, no! response:	You were really cool, too, Senpai!
context: Take this!\Special skill!\Sametora Flame-Horned Slugger!\It's the Sametora Flame-Horned Slugger.\Senpai.\Whenever I see it, I remember how brave you were.\Oh, no!\You were really cool, too, Senpai! response:	Are you talking about your battle
context: Special skill!\Sametora Flame-Horned Slugger!\It's the Sametora Flame-Horned Slugger.\Senpai.\Whenever I see it, I remember how brave you were.\Oh, no!\You were really cool, too, Senpai!\Are you talking about your battle response:	against that soldier's ghost during our pilgrimage?
context: Sametora Flame-Horned Slugger!\It's the Sametora Flame-Horned Slugger.\Senpai.\Whenever I see it, I remember how brave you were.\Oh, no!\You were really cool, too, Senpai!\Are you talking about your battle\against that soldier's ghost during our pilgrimage? response:	That's right! Even though I know it was an illusion...
context: It's the Sametora Flame-Horned Slugger.\Senpai.\Whenever I see it, I remember how brave you were.\Oh, no!\You were really cool, too, Senpai!\Are you talking about your battle\against that soldier's ghost during our pilgrimage?\That's right! Even though I know it was an illusion... response:	Serinuma-san! Get a hold of yourself!
context: Senpai.\Whenever I see it, I remember how brave you were.\Oh, no!\You were really cool, too, Senpai!\Are you talking about your battle\against that soldier's ghost during our pilgrimage?\That's right! Even though I know it was an illusion...\Serinuma-san! Get a hold of yourself! response:	Huh? What the... Huh? What was that?
context: Whenever I see it, I remember how brave you were.\Oh, no!\You were really cool, too, Senpai!\Are you talking about your battle\against that soldier's ghost during our pilgrimage?\That's right! Even though I know it was an illusion...\Serinuma-san! Get a hold of yourself!\Huh? What the... Huh? What was that? response:	What's the matter?
context: Oh, no!\You were really cool, too, Senpai!\Are you talking about your battle\against that soldier's ghost during our pilgrimage?\That's right! Even though I know it was an illusion...\Serinuma-san! Get a hold of yourself!\Huh? What the... Huh? What was that?\What's the matter? response:	N-Nothing.
