context: -OP- response:	-ED-
context: -OP-\-ED- response:	Ah, it's so hot...
context: -OP-\-ED-\Ah, it's so hot... response:	I'll fry to death...
context: -OP-\-ED-\Ah, it's so hot...\I'll fry to death... response:	I gotta eat this before it melts.
context: -OP-\-ED-\Ah, it's so hot...\I'll fry to death...\I gotta eat this before it melts. response:	Yeah, there is no summer without this.
context: -OP-\-ED-\Ah, it's so hot...\I'll fry to death...\I gotta eat this before it melts.\Yeah, there is no summer without this. response:	Hey, Blackie.
context: -OP-\-ED-\Ah, it's so hot...\I'll fry to death...\I gotta eat this before it melts.\Yeah, there is no summer without this.\Hey, Blackie. response:	Shift change.
context: -OP-\-ED-\Ah, it's so hot...\I'll fry to death...\I gotta eat this before it melts.\Yeah, there is no summer without this.\Hey, Blackie.\Shift change. response:	Thanks.
context: -ED-\Ah, it's so hot...\I'll fry to death...\I gotta eat this before it melts.\Yeah, there is no summer without this.\Hey, Blackie.\Shift change.\Thanks. response:	He hasn't moved from there lately.
context: Ah, it's so hot...\I'll fry to death...\I gotta eat this before it melts.\Yeah, there is no summer without this.\Hey, Blackie.\Shift change.\Thanks.\He hasn't moved from there lately. response:	Even if I give him food he doesn't even look.
context: I'll fry to death...\I gotta eat this before it melts.\Yeah, there is no summer without this.\Hey, Blackie.\Shift change.\Thanks.\He hasn't moved from there lately.\Even if I give him food he doesn't even look. response:	Yeah... He's smart so he might have realized it already.
context: I gotta eat this before it melts.\Yeah, there is no summer without this.\Hey, Blackie.\Shift change.\Thanks.\He hasn't moved from there lately.\Even if I give him food he doesn't even look.\Yeah... He's smart so he might have realized it already. response:	What happens to familiars when they learn that their master has died?
context: Yeah, there is no summer without this.\Hey, Blackie.\Shift change.\Thanks.\He hasn't moved from there lately.\Even if I give him food he doesn't even look.\Yeah... He's smart so he might have realized it already.\What happens to familiars when they learn that their master has died? response:	Ssh, what if he heard?
context: Hey, Blackie.\Shift change.\Thanks.\He hasn't moved from there lately.\Even if I give him food he doesn't even look.\Yeah... He's smart so he might have realized it already.\What happens to familiars when they learn that their master has died?\Ssh, what if he heard? response:	Sorry... I thought he wouldn't hear from this distance.
context: Shift change.\Thanks.\He hasn't moved from there lately.\Even if I give him food he doesn't even look.\Yeah... He's smart so he might have realized it already.\What happens to familiars when they learn that their master has died?\Ssh, what if he heard?\Sorry... I thought he wouldn't hear from this distance. response:	Probably he'll revert to a demon with the connection gone.
context: Thanks.\He hasn't moved from there lately.\Even if I give him food he doesn't even look.\Yeah... He's smart so he might have realized it already.\What happens to familiars when they learn that their master has died?\Ssh, what if he heard?\Sorry... I thought he wouldn't hear from this distance.\Probably he'll revert to a demon with the connection gone. response:	That wouldn't be nice.
