context: July 15th (Thurs) 4:43 PM response:	It's open. Come in.
context: July 15th (Thurs) 4:43 PM\It's open. Come in. response:	Rohan-sensei?
context: July 15th (Thurs) 4:43 PM\It's open. Come in.\Rohan-sensei? response:	Where...
context: July 15th (Thurs) 4:43 PM\It's open. Come in.\Rohan-sensei?\Where... response:	Over here, Koichi.
context: July 15th (Thurs) 4:43 PM\It's open. Come in.\Rohan-sensei?\Where...\Over here, Koichi. response:	Rohan-sensei!
context: July 15th (Thurs) 4:43 PM\It's open. Come in.\Rohan-sensei?\Where...\Over here, Koichi.\Rohan-sensei! response:	What's wrong? You wouldn't explain anything over the phone...
context: July 15th (Thurs) 4:43 PM\It's open. Come in.\Rohan-sensei?\Where...\Over here, Koichi.\Rohan-sensei!\What's wrong? You wouldn't explain anything over the phone... response:	I'd like you to help me.
context: July 15th (Thurs) 4:43 PM\It's open. Come in.\Rohan-sensei?\Where...\Over here, Koichi.\Rohan-sensei!\What's wrong? You wouldn't explain anything over the phone...\I'd like you to help me. response:	I'm being attacked by an enemy Stand.
context: It's open. Come in.\Rohan-sensei?\Where...\Over here, Koichi.\Rohan-sensei!\What's wrong? You wouldn't explain anything over the phone...\I'd like you to help me.\I'm being attacked by an enemy Stand. response:	What?!
context: Rohan-sensei?\Where...\Over here, Koichi.\Rohan-sensei!\What's wrong? You wouldn't explain anything over the phone...\I'd like you to help me.\I'm being attacked by an enemy Stand.\What?! response:	A S-Stand? Where is it? Where?!
context: Where...\Over here, Koichi.\Rohan-sensei!\What's wrong? You wouldn't explain anything over the phone...\I'd like you to help me.\I'm being attacked by an enemy Stand.\What?!\A S-Stand? Where is it? Where?! response:	It's on my back. It's possessed my back.
context: Over here, Koichi.\Rohan-sensei!\What's wrong? You wouldn't explain anything over the phone...\I'd like you to help me.\I'm being attacked by an enemy Stand.\What?!\A S-Stand? Where is it? Where?!\It's on my back. It's possessed my back. response:	Your back?
context: Rohan-sensei!\What's wrong? You wouldn't explain anything over the phone...\I'd like you to help me.\I'm being attacked by an enemy Stand.\What?!\A S-Stand? Where is it? Where?!\It's on my back. It's possessed my back.\Your back? response:	Um... Your back is being attacked?
context: What's wrong? You wouldn't explain anything over the phone...\I'd like you to help me.\I'm being attacked by an enemy Stand.\What?!\A S-Stand? Where is it? Where?!\It's on my back. It's possessed my back.\Your back?\Um... Your back is being attacked? response:	Yes. It's a very dangerous Stand. I'm not sure what I should do.
context: I'd like you to help me.\I'm being attacked by an enemy Stand.\What?!\A S-Stand? Where is it? Where?!\It's on my back. It's possessed my back.\Your back?\Um... Your back is being attacked?\Yes. It's a very dangerous Stand. I'm not sure what I should do. response:	Could you show it to me?
context: I'm being attacked by an enemy Stand.\What?!\A S-Stand? Where is it? Where?!\It's on my back. It's possessed my back.\Your back?\Um... Your back is being attacked?\Yes. It's a very dangerous Stand. I'm not sure what I should do.\Could you show it to me? response:	I cannot.
context: What?!\A S-Stand? Where is it? Where?!\It's on my back. It's possessed my back.\Your back?\Um... Your back is being attacked?\Yes. It's a very dangerous Stand. I'm not sure what I should do.\Could you show it to me?\I cannot. response:	But if you don't show it to me...
