context: Distant Thunder (Part 2) response:	Isn't that a downer?
context: Distant Thunder (Part 2)\Isn't that a downer? response:	It's like you're going over there to strangle an old, senile dog.
context: Distant Thunder (Part 2)\Isn't that a downer?\It's like you're going over there to strangle an old, senile dog. response:	It kind of makes you worry.
context: Distant Thunder (Part 2)\Isn't that a downer?\It's like you're going over there to strangle an old, senile dog.\It kind of makes you worry. response:	I thought in a situation like this, maybe you're the type to throw the match.
context: Distant Thunder (Part 2)\Isn't that a downer?\It's like you're going over there to strangle an old, senile dog.\It kind of makes you worry.\I thought in a situation like this, maybe you're the type to throw the match. response:	Because you're such a nice guy.
context: Distant Thunder (Part 2)\Isn't that a downer?\It's like you're going over there to strangle an old, senile dog.\It kind of makes you worry.\I thought in a situation like this, maybe you're the type to throw the match.\Because you're such a nice guy. response:	Shouichi Matsunaga, 7th dan.
context: Distant Thunder (Part 2)\Isn't that a downer?\It's like you're going over there to strangle an old, senile dog.\It kind of makes you worry.\I thought in a situation like this, maybe you're the type to throw the match.\Because you're such a nice guy.\Shouichi Matsunaga, 7th dan. response:	65 years old. From Fukushima Prefecture.
context: Distant Thunder (Part 2)\Isn't that a downer?\It's like you're going over there to strangle an old, senile dog.\It kind of makes you worry.\I thought in a situation like this, maybe you're the type to throw the match.\Because you're such a nice guy.\Shouichi Matsunaga, 7th dan.\65 years old. From Fukushima Prefecture. response:	He became a professional at 25 years old, so he has 40 years of experience.
context: Isn't that a downer?\It's like you're going over there to strangle an old, senile dog.\It kind of makes you worry.\I thought in a situation like this, maybe you're the type to throw the match.\Because you're such a nice guy.\Shouichi Matsunaga, 7th dan.\65 years old. From Fukushima Prefecture.\He became a professional at 25 years old, so he has 40 years of experience. response:	At his best, he was in Rank B-1 for one term.
context: It's like you're going over there to strangle an old, senile dog.\It kind of makes you worry.\I thought in a situation like this, maybe you're the type to throw the match.\Because you're such a nice guy.\Shouichi Matsunaga, 7th dan.\65 years old. From Fukushima Prefecture.\He became a professional at 25 years old, so he has 40 years of experience.\At his best, he was in Rank B-1 for one term. response:	I've spotted him many times at the Shogi Hall.
context: It kind of makes you worry.\I thought in a situation like this, maybe you're the type to throw the match.\Because you're such a nice guy.\Shouichi Matsunaga, 7th dan.\65 years old. From Fukushima Prefecture.\He became a professional at 25 years old, so he has 40 years of experience.\At his best, he was in Rank B-1 for one term.\I've spotted him many times at the Shogi Hall. response:	I saw the back of a small statured man who always walked briskly.
