context: The VVV Project? response:	Given their stated position of peace through neutrality, JIOR can't possess a big military.
context: The VVV Project?\Given their stated position of peace through neutrality, JIOR can't possess a big military. response:	And so, they developed weapons that could take on an entire fleet singlehandedly.
context: The VVV Project?\Given their stated position of peace through neutrality, JIOR can't possess a big military.\And so, they developed weapons that could take on an entire fleet singlehandedly. response:	So that's what the Valvraves are...
context: The VVV Project?\Given their stated position of peace through neutrality, JIOR can't possess a big military.\And so, they developed weapons that could take on an entire fleet singlehandedly.\So that's what the Valvraves are... response:	Still, I'm amazed that you managed to develop weapons that fit the bill so perfectly.
context: The VVV Project?\Given their stated position of peace through neutrality, JIOR can't possess a big military.\And so, they developed weapons that could take on an entire fleet singlehandedly.\So that's what the Valvraves are...\Still, I'm amazed that you managed to develop weapons that fit the bill so perfectly. response:	It was because of the runes.
context: The VVV Project?\Given their stated position of peace through neutrality, JIOR can't possess a big military.\And so, they developed weapons that could take on an entire fleet singlehandedly.\So that's what the Valvraves are...\Still, I'm amazed that you managed to develop weapons that fit the bill so perfectly.\It was because of the runes. response:	At the risk of oversimplifying, I suppose you could think of them as information particles.
context: The VVV Project?\Given their stated position of peace through neutrality, JIOR can't possess a big military.\And so, they developed weapons that could take on an entire fleet singlehandedly.\So that's what the Valvraves are...\Still, I'm amazed that you managed to develop weapons that fit the bill so perfectly.\It was because of the runes.\At the risk of oversimplifying, I suppose you could think of them as information particles. response:	All physical matter is composed of atoms.
context: The VVV Project?\Given their stated position of peace through neutrality, JIOR can't possess a big military.\And so, they developed weapons that could take on an entire fleet singlehandedly.\So that's what the Valvraves are...\Still, I'm amazed that you managed to develop weapons that fit the bill so perfectly.\It was because of the runes.\At the risk of oversimplifying, I suppose you could think of them as information particles.\All physical matter is composed of atoms. response:	In a similar vein, information is composed of indivisible units called runes.
context: Given their stated position of peace through neutrality, JIOR can't possess a big military.\And so, they developed weapons that could take on an entire fleet singlehandedly.\So that's what the Valvraves are...\Still, I'm amazed that you managed to develop weapons that fit the bill so perfectly.\It was because of the runes.\At the risk of oversimplifying, I suppose you could think of them as information particles.\All physical matter is composed of atoms.\In a similar vein, information is composed of indivisible units called runes. response:	Or so they tell me.
context: And so, they developed weapons that could take on an entire fleet singlehandedly.\So that's what the Valvraves are...\Still, I'm amazed that you managed to develop weapons that fit the bill so perfectly.\It was because of the runes.\At the risk of oversimplifying, I suppose you could think of them as information particles.\All physical matter is composed of atoms.\In a similar vein, information is composed of indivisible units called runes.\Or so they tell me. response:	So they tell you?
context: So that's what the Valvraves are...\Still, I'm amazed that you managed to develop weapons that fit the bill so perfectly.\It was because of the runes.\At the risk of oversimplifying, I suppose you could think of them as information particles.\All physical matter is composed of atoms.\In a similar vein, information is composed of indivisible units called runes.\Or so they tell me.\So they tell you? response:	Aren't you a member of the development team?
context: Still, I'm amazed that you managed to develop weapons that fit the bill so perfectly.\It was because of the runes.\At the risk of oversimplifying, I suppose you could think of them as information particles.\All physical matter is composed of atoms.\In a similar vein, information is composed of indivisible units called runes.\Or so they tell me.\So they tell you?\Aren't you a member of the development team? response:	Uh, right after I was assigned here, I butted heads with the top brass.
context: It was because of the runes.\At the risk of oversimplifying, I suppose you could think of them as information particles.\All physical matter is composed of atoms.\In a similar vein, information is composed of indivisible units called runes.\Or so they tell me.\So they tell you?\Aren't you a member of the development team?\Uh, right after I was assigned here, I butted heads with the top brass. response:	I was demoted to test subject caretaker.
context: At the risk of oversimplifying, I suppose you could think of them as information particles.\All physical matter is composed of atoms.\In a similar vein, information is composed of indivisible units called runes.\Or so they tell me.\So they tell you?\Aren't you a member of the development team?\Uh, right after I was assigned here, I butted heads with the top brass.\I was demoted to test subject caretaker. response:	Test subject... You mean the students?
context: All physical matter is composed of atoms.\In a similar vein, information is composed of indivisible units called runes.\Or so they tell me.\So they tell you?\Aren't you a member of the development team?\Uh, right after I was assigned here, I butted heads with the top brass.\I was demoted to test subject caretaker.\Test subject... You mean the students? response:	Every last student at this school is being uniquely modified.
context: In a similar vein, information is composed of indivisible units called runes.\Or so they tell me.\So they tell you?\Aren't you a member of the development team?\Uh, right after I was assigned here, I butted heads with the top brass.\I was demoted to test subject caretaker.\Test subject... You mean the students?\Every last student at this school is being uniquely modified. response:	That's why all the teachers were military.
