context: Thank you very much. response:	Fettucine and spinach pasta.
context: Thank you very much.\Fettucine and spinach pasta. response:	Okay! I got done with all my shopping!
context: Thank you very much.\Fettucine and spinach pasta.\Okay! I got done with all my shopping! response:	I'm back!
context: Thank you very much.\Fettucine and spinach pasta.\Okay! I got done with all my shopping!\I'm back! response:	Yukito?
context: Thank you very much.\Fettucine and spinach pasta.\Okay! I got done with all my shopping!\I'm back!\Yukito? response:	Touya, what are you doing?
context: Thank you very much.\Fettucine and spinach pasta.\Okay! I got done with all my shopping!\I'm back!\Yukito?\Touya, what are you doing? response:	Can't you tell?
context: Thank you very much.\Fettucine and spinach pasta.\Okay! I got done with all my shopping!\I'm back!\Yukito?\Touya, what are you doing?\Can't you tell? response:	I'm getting a haircut.
context: Thank you very much.\Fettucine and spinach pasta.\Okay! I got done with all my shopping!\I'm back!\Yukito?\Touya, what are you doing?\Can't you tell?\I'm getting a haircut. response:	I just happened to stop by.
context: Fettucine and spinach pasta.\Okay! I got done with all my shopping!\I'm back!\Yukito?\Touya, what are you doing?\Can't you tell?\I'm getting a haircut.\I just happened to stop by. response:	With this, I don't have to pay.
context: Okay! I got done with all my shopping!\I'm back!\Yukito?\Touya, what are you doing?\Can't you tell?\I'm getting a haircut.\I just happened to stop by.\With this, I don't have to pay. response:	Must be nice! Getting a haircut from Yukito.
context: I'm back!\Yukito?\Touya, what are you doing?\Can't you tell?\I'm getting a haircut.\I just happened to stop by.\With this, I don't have to pay.\Must be nice! Getting a haircut from Yukito. response:	Sakura, you want a cut too?
context: Yukito?\Touya, what are you doing?\Can't you tell?\I'm getting a haircut.\I just happened to stop by.\With this, I don't have to pay.\Must be nice! Getting a haircut from Yukito.\Sakura, you want a cut too? response:	Eh?
context: Touya, what are you doing?\Can't you tell?\I'm getting a haircut.\I just happened to stop by.\With this, I don't have to pay.\Must be nice! Getting a haircut from Yukito.\Sakura, you want a cut too?\Eh? response:	But maybe you want go to a salon for a proper cut'
context: Can't you tell?\I'm getting a haircut.\I just happened to stop by.\With this, I don't have to pay.\Must be nice! Getting a haircut from Yukito.\Sakura, you want a cut too?\Eh?\But maybe you want go to a salon for a proper cut' response:	Because you're a girl'
context: I'm getting a haircut.\I just happened to stop by.\With this, I don't have to pay.\Must be nice! Getting a haircut from Yukito.\Sakura, you want a cut too?\Eh?\But maybe you want go to a salon for a proper cut'\Because you're a girl' response:	Please!
context: I just happened to stop by.\With this, I don't have to pay.\Must be nice! Getting a haircut from Yukito.\Sakura, you want a cut too?\Eh?\But maybe you want go to a salon for a proper cut'\Because you're a girl'\Please! response:	I'll just trim a little for you, okay?
context: With this, I don't have to pay.\Must be nice! Getting a haircut from Yukito.\Sakura, you want a cut too?\Eh?\But maybe you want go to a salon for a proper cut'\Because you're a girl'\Please!\I'll just trim a little for you, okay? response:	Ye' Yes.
context: Must be nice! Getting a haircut from Yukito.\Sakura, you want a cut too?\Eh?\But maybe you want go to a salon for a proper cut'\Because you're a girl'\Please!\I'll just trim a little for you, okay?\Ye' Yes. response:	Clean up after you're done.
context: Sakura, you want a cut too?\Eh?\But maybe you want go to a salon for a proper cut'\Because you're a girl'\Please!\I'll just trim a little for you, okay?\Ye' Yes.\Clean up after you're done. response:	I'll help too.
context: Eh?\But maybe you want go to a salon for a proper cut'\Because you're a girl'\Please!\I'll just trim a little for you, okay?\Ye' Yes.\Clean up after you're done.\I'll help too. response:	I'll do anything!
context: But maybe you want go to a salon for a proper cut'\Because you're a girl'\Please!\I'll just trim a little for you, okay?\Ye' Yes.\Clean up after you're done.\I'll help too.\I'll do anything! response:	Someday, I'm gonna wear one of these too.
context: Because you're a girl'\Please!\I'll just trim a little for you, okay?\Ye' Yes.\Clean up after you're done.\I'll help too.\I'll do anything!\Someday, I'm gonna wear one of these too. response:	Hey, Shao Lan, wait!
context: Please!\I'll just trim a little for you, okay?\Ye' Yes.\Clean up after you're done.\I'll help too.\I'll do anything!\Someday, I'm gonna wear one of these too.\Hey, Shao Lan, wait! response:	Eh!
context: I'll just trim a little for you, okay?\Ye' Yes.\Clean up after you're done.\I'll help too.\I'll do anything!\Someday, I'm gonna wear one of these too.\Hey, Shao Lan, wait!\Eh! response:	What's wrong?
context: Ye' Yes.\Clean up after you're done.\I'll help too.\I'll do anything!\Someday, I'm gonna wear one of these too.\Hey, Shao Lan, wait!\Eh!\What's wrong? response:	Kinomoto!
context: Clean up after you're done.\I'll help too.\I'll do anything!\Someday, I'm gonna wear one of these too.\Hey, Shao Lan, wait!\Eh!\What's wrong?\Kinomoto! response:	Could she be running away because she knew she did something bad?
context: I'll help too.\I'll do anything!\Someday, I'm gonna wear one of these too.\Hey, Shao Lan, wait!\Eh!\What's wrong?\Kinomoto!\Could she be running away because she knew she did something bad? response:	This pencil case is cute too.
context: I'll do anything!\Someday, I'm gonna wear one of these too.\Hey, Shao Lan, wait!\Eh!\What's wrong?\Kinomoto!\Could she be running away because she knew she did something bad?\This pencil case is cute too. response:	I'll get this one.
context: Someday, I'm gonna wear one of these too.\Hey, Shao Lan, wait!\Eh!\What's wrong?\Kinomoto!\Could she be running away because she knew she did something bad?\This pencil case is cute too.\I'll get this one. response:	Which one should I get'
context: Hey, Shao Lan, wait!\Eh!\What's wrong?\Kinomoto!\Could she be running away because she knew she did something bad?\This pencil case is cute too.\I'll get this one.\Which one should I get' response:	Sakura?
context: Eh!\What's wrong?\Kinomoto!\Could she be running away because she knew she did something bad?\This pencil case is cute too.\I'll get this one.\Which one should I get'\Sakura? response:	What is it'
context: What's wrong?\Kinomoto!\Could she be running away because she knew she did something bad?\This pencil case is cute too.\I'll get this one.\Which one should I get'\Sakura?\What is it' response:	Whoa! Who did this?!
context: Kinomoto!\Could she be running away because she knew she did something bad?\This pencil case is cute too.\I'll get this one.\Which one should I get'\Sakura?\What is it'\Whoa! Who did this?! response:	What is it? You look happy, Sakura.
context: Could she be running away because she knew she did something bad?\This pencil case is cute too.\I'll get this one.\Which one should I get'\Sakura?\What is it'\Whoa! Who did this?!\What is it? You look happy, Sakura. response:	How is it? Yukito cut my hair.
context: This pencil case is cute too.\I'll get this one.\Which one should I get'\Sakura?\What is it'\Whoa! Who did this?!\What is it? You look happy, Sakura.\How is it? Yukito cut my hair. response:	You didn't look any different at all.
context: I'll get this one.\Which one should I get'\Sakura?\What is it'\Whoa! Who did this?!\What is it? You look happy, Sakura.\How is it? Yukito cut my hair.\You didn't look any different at all. response:	After all, Yukito can really do anything.
context: Which one should I get'\Sakura?\What is it'\Whoa! Who did this?!\What is it? You look happy, Sakura.\How is it? Yukito cut my hair.\You didn't look any different at all.\After all, Yukito can really do anything. response:	Besides, he's so nice and he's good at sports. Schweeet.
