context: Jack response:	ED
context: Jack\ED response:	Reversi
context: Jack\ED\Reversi response:	Ashirogi
context: Jack\ED\Reversi\Ashirogi response:	Eiji Ltd
context: Jack\ED\Reversi\Ashirogi\Eiji Ltd response:	Azuki Miho
context: Jack\ED\Reversi\Ashirogi\Eiji Ltd\Azuki Miho response:	Mon
context: Jack\ED\Reversi\Ashirogi\Eiji Ltd\Azuki Miho\Mon response:	I've gotten a new role
context: Jack\ED\Reversi\Ashirogi\Eiji Ltd\Azuki Miho\Mon\I've gotten a new role response:	I got the main female role
context: ED\Reversi\Ashirogi\Eiji Ltd\Azuki Miho\Mon\I've gotten a new role\I got the main female role response:	of Young Kick's Impromptu 12.
context: Reversi\Ashirogi\Eiji Ltd\Azuki Miho\Mon\I've gotten a new role\I got the main female role\of Young Kick's Impromptu 12. response:	It's the soccer club
context: Ashirogi\Eiji Ltd\Azuki Miho\Mon\I've gotten a new role\I got the main female role\of Young Kick's Impromptu 12.\It's the soccer club response:	manager, Ai!
context: Eiji Ltd\Azuki Miho\Mon\I've gotten a new role\I got the main female role\of Young Kick's Impromptu 12.\It's the soccer club\manager, Ai! response:	Mashiro Moritaka
context: Azuki Miho\Mon\I've gotten a new role\I got the main female role\of Young Kick's Impromptu 12.\It's the soccer club\manager, Ai!\Mashiro Moritaka response:	Re: I've gotten a new role
context: Mon\I've gotten a new role\I got the main female role\of Young Kick's Impromptu 12.\It's the soccer club\manager, Ai!\Mashiro Moritaka\Re: I've gotten a new role response:	Congratulations!
context: I've gotten a new role\I got the main female role\of Young Kick's Impromptu 12.\It's the soccer club\manager, Ai!\Mashiro Moritaka\Re: I've gotten a new role\Congratulations! response:	I'm even more motivated now.
context: I got the main female role\of Young Kick's Impromptu 12.\It's the soccer club\manager, Ai!\Mashiro Moritaka\Re: I've gotten a new role\Congratulations!\I'm even more motivated now. response:	I'll definitely catch up with you
context: of Young Kick's Impromptu 12.\It's the soccer club\manager, Ai!\Mashiro Moritaka\Re: I've gotten a new role\Congratulations!\I'm even more motivated now.\I'll definitely catch up with you response:	and make our dream come true!
context: It's the soccer club\manager, Ai!\Mashiro Moritaka\Re: I've gotten a new role\Congratulations!\I'm even more motivated now.\I'll definitely catch up with you\and make our dream come true! response:	Mashiro Moritaka
