context: A journey from which you can never return. response:	Treasures that you can never again acquire.
context: A journey from which you can never return.\Treasures that you can never again acquire. response:	Your very life, which once lost will never be restored.
context: A journey from which you can never return.\Treasures that you can never again acquire.\Your very life, which once lost will never be restored. response:	Nearly all things in this world will never go back to the way they once were.
context: A journey from which you can never return.\Treasures that you can never again acquire.\Your very life, which once lost will never be restored.\Nearly all things in this world will never go back to the way they once were. response:	Understanding that,
context: A journey from which you can never return.\Treasures that you can never again acquire.\Your very life, which once lost will never be restored.\Nearly all things in this world will never go back to the way they once were.\Understanding that, response:	people still continue, even today, to get up and take another step forward.
context: A journey from which you can never return.\Treasures that you can never again acquire.\Your very life, which once lost will never be restored.\Nearly all things in this world will never go back to the way they once were.\Understanding that,\people still continue, even today, to get up and take another step forward. response:	Spurred on by the thought of viewing a landscape they've never seen before,
context: A journey from which you can never return.\Treasures that you can never again acquire.\Your very life, which once lost will never be restored.\Nearly all things in this world will never go back to the way they once were.\Understanding that,\people still continue, even today, to get up and take another step forward.\Spurred on by the thought of viewing a landscape they've never seen before, response:	they keep on walking...
context: A journey from which you can never return.\Treasures that you can never again acquire.\Your very life, which once lost will never be restored.\Nearly all things in this world will never go back to the way they once were.\Understanding that,\people still continue, even today, to get up and take another step forward.\Spurred on by the thought of viewing a landscape they've never seen before,\they keep on walking... response:	A longing for the unknown, you see, is something not a single soul is capable of stopping.
context: Treasures that you can never again acquire.\Your very life, which once lost will never be restored.\Nearly all things in this world will never go back to the way they once were.\Understanding that,\people still continue, even today, to get up and take another step forward.\Spurred on by the thought of viewing a landscape they've never seen before,\they keep on walking...\A longing for the unknown, you see, is something not a single soul is capable of stopping. response:	In any case, that was pretty amazing, Nanachi!
context: Your very life, which once lost will never be restored.\Nearly all things in this world will never go back to the way they once were.\Understanding that,\people still continue, even today, to get up and take another step forward.\Spurred on by the thought of viewing a landscape they've never seen before,\they keep on walking...\A longing for the unknown, you see, is something not a single soul is capable of stopping.\In any case, that was pretty amazing, Nanachi! response:	Using the opponent's own special ability against it like that was a brilliant strategy!
context: Nearly all things in this world will never go back to the way they once were.\Understanding that,\people still continue, even today, to get up and take another step forward.\Spurred on by the thought of viewing a landscape they've never seen before,\they keep on walking...\A longing for the unknown, you see, is something not a single soul is capable of stopping.\In any case, that was pretty amazing, Nanachi!\Using the opponent's own special ability against it like that was a brilliant strategy! response:	I wish you'd come with us to the bottom of the netherworld!
context: Understanding that,\people still continue, even today, to get up and take another step forward.\Spurred on by the thought of viewing a landscape they've never seen before,\they keep on walking...\A longing for the unknown, you see, is something not a single soul is capable of stopping.\In any case, that was pretty amazing, Nanachi!\Using the opponent's own special ability against it like that was a brilliant strategy!\I wish you'd come with us to the bottom of the netherworld! response:	W-well, actually...
context: people still continue, even today, to get up and take another step forward.\Spurred on by the thought of viewing a landscape they've never seen before,\they keep on walking...\A longing for the unknown, you see, is something not a single soul is capable of stopping.\In any case, that was pretty amazing, Nanachi!\Using the opponent's own special ability against it like that was a brilliant strategy!\I wish you'd come with us to the bottom of the netherworld!\W-well, actually... response:	I have something to ask of you...
context: Spurred on by the thought of viewing a landscape they've never seen before,\they keep on walking...\A longing for the unknown, you see, is something not a single soul is capable of stopping.\In any case, that was pretty amazing, Nanachi!\Using the opponent's own special ability against it like that was a brilliant strategy!\I wish you'd come with us to the bottom of the netherworld!\W-well, actually...\I have something to ask of you... response:	Oh! What is it?!
context: they keep on walking...\A longing for the unknown, you see, is something not a single soul is capable of stopping.\In any case, that was pretty amazing, Nanachi!\Using the opponent's own special ability against it like that was a brilliant strategy!\I wish you'd come with us to the bottom of the netherworld!\W-well, actually...\I have something to ask of you...\Oh! What is it?! response:	You can ask anything of me!
context: A longing for the unknown, you see, is something not a single soul is capable of stopping.\In any case, that was pretty amazing, Nanachi!\Using the opponent's own special ability against it like that was a brilliant strategy!\I wish you'd come with us to the bottom of the netherworld!\W-well, actually...\I have something to ask of you...\Oh! What is it?!\You can ask anything of me! response:	Well...
context: In any case, that was pretty amazing, Nanachi!\Using the opponent's own special ability against it like that was a brilliant strategy!\I wish you'd come with us to the bottom of the netherworld!\W-well, actually...\I have something to ask of you...\Oh! What is it?!\You can ask anything of me!\Well... response:	I knew it would be, but it truly is a hard thing to ask...
context: Using the opponent's own special ability against it like that was a brilliant strategy!\I wish you'd come with us to the bottom of the netherworld!\W-well, actually...\I have something to ask of you...\Oh! What is it?!\You can ask anything of me!\Well...\I knew it would be, but it truly is a hard thing to ask... response:	Don't hold back!
context: I wish you'd come with us to the bottom of the netherworld!\W-well, actually...\I have something to ask of you...\Oh! What is it?!\You can ask anything of me!\Well...\I knew it would be, but it truly is a hard thing to ask...\Don't hold back! response:	Alright, here it goes.
context: W-well, actually...\I have something to ask of you...\Oh! What is it?!\You can ask anything of me!\Well...\I knew it would be, but it truly is a hard thing to ask...\Don't hold back!\Alright, here it goes. response:	'Kay.
context: I have something to ask of you...\Oh! What is it?!\You can ask anything of me!\Well...\I knew it would be, but it truly is a hard thing to ask...\Don't hold back!\Alright, here it goes.\'Kay. response:	Please kill Mitty for me.
context: Oh! What is it?!\You can ask anything of me!\Well...\I knew it would be, but it truly is a hard thing to ask...\Don't hold back!\Alright, here it goes.\'Kay.\Please kill Mitty for me. response:	Huh?
context: You can ask anything of me!\Well...\I knew it would be, but it truly is a hard thing to ask...\Don't hold back!\Alright, here it goes.\'Kay.\Please kill Mitty for me.\Huh? response:	Everyone, unable to resist, goes down in
context: Well...\I knew it would be, but it truly is a hard thing to ask...\Don't hold back!\Alright, here it goes.\'Kay.\Please kill Mitty for me.\Huh?\Everyone, unable to resist, goes down in response:	Make those eyes shine brighter than a torch
context: I knew it would be, but it truly is a hard thing to ask...\Don't hold back!\Alright, here it goes.\'Kay.\Please kill Mitty for me.\Huh?\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch response:	The destination we are aiming for is deep
context: Don't hold back!\Alright, here it goes.\'Kay.\Please kill Mitty for me.\Huh?\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep response:	We squarely lose our way
context: Alright, here it goes.\'Kay.\Please kill Mitty for me.\Huh?\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way response:	The trap of the open-mouthed netherworld
context: 'Kay.\Please kill Mitty for me.\Huh?\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld response:	Let's chase the traces of truth
context: Please kill Mitty for me.\Huh?\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth response:	If an answer can be found now, we don't mind losing it all
context: Huh?\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all response:	The echo is still reverberating
context: Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating response:	So that we do not part with that voice
context: Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice response:	The compass is always
context: The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always response:	Pointed to the darkness
context: We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness response:	Where there is no escape
