context: In those hectic days when we barely had time to sleep, response:	I had not realized the flaw in my plan.
context: In those hectic days when we barely had time to sleep,\I had not realized the flaw in my plan. response:	Yeah, yeah Yeah, yeah
context: In those hectic days when we barely had time to sleep,\I had not realized the flaw in my plan.\Yeah, yeah Yeah, yeah response:	Yeah, yeah, keep going on
context: In those hectic days when we barely had time to sleep,\I had not realized the flaw in my plan.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on response:	Baby I'm standing alone
context: In those hectic days when we barely had time to sleep,\I had not realized the flaw in my plan.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone response:	An unforgettable rainy day
context: In those hectic days when we barely had time to sleep,\I had not realized the flaw in my plan.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day response:	Chasing after your shadow
context: In those hectic days when we barely had time to sleep,\I had not realized the flaw in my plan.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow response:	And it's over, it's like sand now
context: In those hectic days when we barely had time to sleep,\I had not realized the flaw in my plan.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now response:	I sigh every night
context: I had not realized the flaw in my plan.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night response:	I scream like a child and cried
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried response:	It hangs there quietly, my sorrow
context: Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow response:	Please, please God, forgive my sins
context: Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins response:	I don't need to hide no more
context: An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more response:	Flowing toward the turquoise light
context: Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light response:	Just keep going on
context: And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on response:	You've got the chance now
context: I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now response:	You've got the power
context: I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power response:	Know you gotta be so true to yourself
context: It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself response:	I show you my life now
context: Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now response:	I show you my love now
context: I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now response:	I show you my everything yeah yeah
context: Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah response:	You'd better change now You'd better catch now
context: Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now response:	Don't ever change so be yourself
context: You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself response:	I'll show you my strength now
context: You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now response:	I'll show you my love now
context: Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now response:	I'll show you my everything yeah yeah
context: I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah response:	Baby don't be afraid
context: I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid response:	Yeah, yeah Yeah, yeah
