context: Wh-what?! response:	That's my secret technique, the Sweets Canyon!
context: Wh-what?!\That's my secret technique, the Sweets Canyon! response:	Sh-she let one box of candy slide so it would take down that whole mountain of them!
context: Wh-what?!\That's my secret technique, the Sweets Canyon!\Sh-she let one box of candy slide so it would take down that whole mountain of them! response:	UMR stuck it to us again!
context: Wh-what?!\That's my secret technique, the Sweets Canyon!\Sh-she let one box of candy slide so it would take down that whole mountain of them!\UMR stuck it to us again! response:	Wow!
context: Wh-what?!\That's my secret technique, the Sweets Canyon!\Sh-she let one box of candy slide so it would take down that whole mountain of them!\UMR stuck it to us again!\Wow! response:	Her techniques are as Godlike as ever!
context: Wh-what?!\That's my secret technique, the Sweets Canyon!\Sh-she let one box of candy slide so it would take down that whole mountain of them!\UMR stuck it to us again!\Wow!\Her techniques are as Godlike as ever! response:	UMR, that was a fine play, indeed!
context: Wh-what?!\That's my secret technique, the Sweets Canyon!\Sh-she let one box of candy slide so it would take down that whole mountain of them!\UMR stuck it to us again!\Wow!\Her techniques are as Godlike as ever!\UMR, that was a fine play, indeed! response:	You think?
context: Wh-what?!\That's my secret technique, the Sweets Canyon!\Sh-she let one box of candy slide so it would take down that whole mountain of them!\UMR stuck it to us again!\Wow!\Her techniques are as Godlike as ever!\UMR, that was a fine play, indeed!\You think? response:	How about we go somewhere and eat these?
context: That's my secret technique, the Sweets Canyon!\Sh-she let one box of candy slide so it would take down that whole mountain of them!\UMR stuck it to us again!\Wow!\Her techniques are as Godlike as ever!\UMR, that was a fine play, indeed!\You think?\How about we go somewhere and eat these? response:	U-um, in that case...
context: Sh-she let one box of candy slide so it would take down that whole mountain of them!\UMR stuck it to us again!\Wow!\Her techniques are as Godlike as ever!\UMR, that was a fine play, indeed!\You think?\How about we go somewhere and eat these?\U-um, in that case... response:	Hm? Do you know someplace good?
context: UMR stuck it to us again!\Wow!\Her techniques are as Godlike as ever!\UMR, that was a fine play, indeed!\You think?\How about we go somewhere and eat these?\U-um, in that case...\Hm? Do you know someplace good? response:	How about coming to my house?!
context: Wow!\Her techniques are as Godlike as ever!\UMR, that was a fine play, indeed!\You think?\How about we go somewhere and eat these?\U-um, in that case...\Hm? Do you know someplace good?\How about coming to my house?! response:	Huh? To your house?
context: Her techniques are as Godlike as ever!\UMR, that was a fine play, indeed!\You think?\How about we go somewhere and eat these?\U-um, in that case...\Hm? Do you know someplace good?\How about coming to my house?!\Huh? To your house? response:	What do you say?
context: UMR, that was a fine play, indeed!\You think?\How about we go somewhere and eat these?\U-um, in that case...\Hm? Do you know someplace good?\How about coming to my house?!\Huh? To your house?\What do you say? response:	Come to think of it...
context: You think?\How about we go somewhere and eat these?\U-um, in that case...\Hm? Do you know someplace good?\How about coming to my house?!\Huh? To your house?\What do you say?\Come to think of it... response:	all I've seen is her living room and the study.
context: How about we go somewhere and eat these?\U-um, in that case...\Hm? Do you know someplace good?\How about coming to my house?!\Huh? To your house?\What do you say?\Come to think of it...\all I've seen is her living room and the study. response:	Sure, I'd be glad to!
context: U-um, in that case...\Hm? Do you know someplace good?\How about coming to my house?!\Huh? To your house?\What do you say?\Come to think of it...\all I've seen is her living room and the study.\Sure, I'd be glad to! response:	Okay!
context: Hm? Do you know someplace good?\How about coming to my house?!\Huh? To your house?\What do you say?\Come to think of it...\all I've seen is her living room and the study.\Sure, I'd be glad to!\Okay! response:	Huh... so this is your room, TSF? It's really big.
context: How about coming to my house?!\Huh? To your house?\What do you say?\Come to think of it...\all I've seen is her living room and the study.\Sure, I'd be glad to!\Okay!\Huh... so this is your room, TSF? It's really big. response:	If you keep eyeing it like that, you'll make me embarrassed, indeed!
context: Huh? To your house?\What do you say?\Come to think of it...\all I've seen is her living room and the study.\Sure, I'd be glad to!\Okay!\Huh... so this is your room, TSF? It's really big.\If you keep eyeing it like that, you'll make me embarrassed, indeed! response:	So many trophies...
context: What do you say?\Come to think of it...\all I've seen is her living room and the study.\Sure, I'd be glad to!\Okay!\Huh... so this is your room, TSF? It's really big.\If you keep eyeing it like that, you'll make me embarrassed, indeed!\So many trophies... response:	Oh! And look at those goods from Anumate!
context: Come to think of it...\all I've seen is her living room and the study.\Sure, I'd be glad to!\Okay!\Huh... so this is your room, TSF? It's really big.\If you keep eyeing it like that, you'll make me embarrassed, indeed!\So many trophies...\Oh! And look at those goods from Anumate! response:	She even put up the photos from when we went to the amusement park...
context: all I've seen is her living room and the study.\Sure, I'd be glad to!\Okay!\Huh... so this is your room, TSF? It's really big.\If you keep eyeing it like that, you'll make me embarrassed, indeed!\So many trophies...\Oh! And look at those goods from Anumate!\She even put up the photos from when we went to the amusement park... response:	Being in a friend's room is fun because it brings back memories, huh?
context: Sure, I'd be glad to!\Okay!\Huh... so this is your room, TSF? It's really big.\If you keep eyeing it like that, you'll make me embarrassed, indeed!\So many trophies...\Oh! And look at those goods from Anumate!\She even put up the photos from when we went to the amusement park...\Being in a friend's room is fun because it brings back memories, huh? response:	Sbrite is the perfect accompaniment for snacks, UMR!
context: Okay!\Huh... so this is your room, TSF? It's really big.\If you keep eyeing it like that, you'll make me embarrassed, indeed!\So many trophies...\Oh! And look at those goods from Anumate!\She even put up the photos from when we went to the amusement park...\Being in a friend's room is fun because it brings back memories, huh?\Sbrite is the perfect accompaniment for snacks, UMR! response:	Wh-what?!
context: Huh... so this is your room, TSF? It's really big.\If you keep eyeing it like that, you'll make me embarrassed, indeed!\So many trophies...\Oh! And look at those goods from Anumate!\She even put up the photos from when we went to the amusement park...\Being in a friend's room is fun because it brings back memories, huh?\Sbrite is the perfect accompaniment for snacks, UMR!\Wh-what?! response:	I like to watch anime while enjoying snacks and drinking Sbrite!
context: If you keep eyeing it like that, you'll make me embarrassed, indeed!\So many trophies...\Oh! And look at those goods from Anumate!\She even put up the photos from when we went to the amusement park...\Being in a friend's room is fun because it brings back memories, huh?\Sbrite is the perfect accompaniment for snacks, UMR!\Wh-what?!\I like to watch anime while enjoying snacks and drinking Sbrite! response:	She's just like me!
context: So many trophies...\Oh! And look at those goods from Anumate!\She even put up the photos from when we went to the amusement park...\Being in a friend's room is fun because it brings back memories, huh?\Sbrite is the perfect accompaniment for snacks, UMR!\Wh-what?!\I like to watch anime while enjoying snacks and drinking Sbrite!\She's just like me! response:	So, Sylphin has been having feasts of her own.
context: Oh! And look at those goods from Anumate!\She even put up the photos from when we went to the amusement park...\Being in a friend's room is fun because it brings back memories, huh?\Sbrite is the perfect accompaniment for snacks, UMR!\Wh-what?!\I like to watch anime while enjoying snacks and drinking Sbrite!\She's just like me!\So, Sylphin has been having feasts of her own. response:	Actually, I'm pretty particular about that sort of thing myself.
context: She even put up the photos from when we went to the amusement park...\Being in a friend's room is fun because it brings back memories, huh?\Sbrite is the perfect accompaniment for snacks, UMR!\Wh-what?!\I like to watch anime while enjoying snacks and drinking Sbrite!\She's just like me!\So, Sylphin has been having feasts of her own.\Actually, I'm pretty particular about that sort of thing myself. response:	Why don't you show me how it's done?
context: Being in a friend's room is fun because it brings back memories, huh?\Sbrite is the perfect accompaniment for snacks, UMR!\Wh-what?!\I like to watch anime while enjoying snacks and drinking Sbrite!\She's just like me!\So, Sylphin has been having feasts of her own.\Actually, I'm pretty particular about that sort of thing myself.\Why don't you show me how it's done? response:	Really? I suppose everyone does this!
context: Sbrite is the perfect accompaniment for snacks, UMR!\Wh-what?!\I like to watch anime while enjoying snacks and drinking Sbrite!\She's just like me!\So, Sylphin has been having feasts of her own.\Actually, I'm pretty particular about that sort of thing myself.\Why don't you show me how it's done?\Really? I suppose everyone does this! response:	Did you know? Switching between chocolate and potato chips makes them extra delicious.
context: Wh-what?!\I like to watch anime while enjoying snacks and drinking Sbrite!\She's just like me!\So, Sylphin has been having feasts of her own.\Actually, I'm pretty particular about that sort of thing myself.\Why don't you show me how it's done?\Really? I suppose everyone does this!\Did you know? Switching between chocolate and potato chips makes them extra delicious. response:	Oh, really? Indeed, I have never tried that!
context: I like to watch anime while enjoying snacks and drinking Sbrite!\She's just like me!\So, Sylphin has been having feasts of her own.\Actually, I'm pretty particular about that sort of thing myself.\Why don't you show me how it's done?\Really? I suppose everyone does this!\Did you know? Switching between chocolate and potato chips makes them extra delicious.\Oh, really? Indeed, I have never tried that! response:	So, Bamboo Shoot Mountains are the only ones you like?
context: She's just like me!\So, Sylphin has been having feasts of her own.\Actually, I'm pretty particular about that sort of thing myself.\Why don't you show me how it's done?\Really? I suppose everyone does this!\Did you know? Switching between chocolate and potato chips makes them extra delicious.\Oh, really? Indeed, I have never tried that!\So, Bamboo Shoot Mountains are the only ones you like? response:	Hmm... Bamboo Shoot Mountains are the best, but... Ah! Pokee can be good, too.
context: So, Sylphin has been having feasts of her own.\Actually, I'm pretty particular about that sort of thing myself.\Why don't you show me how it's done?\Really? I suppose everyone does this!\Did you know? Switching between chocolate and potato chips makes them extra delicious.\Oh, really? Indeed, I have never tried that!\So, Bamboo Shoot Mountains are the only ones you like?\Hmm... Bamboo Shoot Mountains are the best, but... Ah! Pokee can be good, too. response:	Pokee, you say?
context: Actually, I'm pretty particular about that sort of thing myself.\Why don't you show me how it's done?\Really? I suppose everyone does this!\Did you know? Switching between chocolate and potato chips makes them extra delicious.\Oh, really? Indeed, I have never tried that!\So, Bamboo Shoot Mountains are the only ones you like?\Hmm... Bamboo Shoot Mountains are the best, but... Ah! Pokee can be good, too.\Pokee, you say? response:	They're the standard when it comes to snacks. They're just so crunchy and delicious!
context: Why don't you show me how it's done?\Really? I suppose everyone does this!\Did you know? Switching between chocolate and potato chips makes them extra delicious.\Oh, really? Indeed, I have never tried that!\So, Bamboo Shoot Mountains are the only ones you like?\Hmm... Bamboo Shoot Mountains are the best, but... Ah! Pokee can be good, too.\Pokee, you say?\They're the standard when it comes to snacks. They're just so crunchy and delicious! response:	I know of them! I've heard that in Japan, friends will engage in a Pokee game!
context: Really? I suppose everyone does this!\Did you know? Switching between chocolate and potato chips makes them extra delicious.\Oh, really? Indeed, I have never tried that!\So, Bamboo Shoot Mountains are the only ones you like?\Hmm... Bamboo Shoot Mountains are the best, but... Ah! Pokee can be good, too.\Pokee, you say?\They're the standard when it comes to snacks. They're just so crunchy and delicious!\I know of them! I've heard that in Japan, friends will engage in a Pokee game! response:	Huh? A Pokee game...?
context: Did you know? Switching between chocolate and potato chips makes them extra delicious.\Oh, really? Indeed, I have never tried that!\So, Bamboo Shoot Mountains are the only ones you like?\Hmm... Bamboo Shoot Mountains are the best, but... Ah! Pokee can be good, too.\Pokee, you say?\They're the standard when it comes to snacks. They're just so crunchy and delicious!\I know of them! I've heard that in Japan, friends will engage in a Pokee game!\Huh? A Pokee game...? response:	Do you know what sort of game it is, UMR?
context: Oh, really? Indeed, I have never tried that!\So, Bamboo Shoot Mountains are the only ones you like?\Hmm... Bamboo Shoot Mountains are the best, but... Ah! Pokee can be good, too.\Pokee, you say?\They're the standard when it comes to snacks. They're just so crunchy and delicious!\I know of them! I've heard that in Japan, friends will engage in a Pokee game!\Huh? A Pokee game...?\Do you know what sort of game it is, UMR? response:	Huh?! Uh, I think so...
context: So, Bamboo Shoot Mountains are the only ones you like?\Hmm... Bamboo Shoot Mountains are the best, but... Ah! Pokee can be good, too.\Pokee, you say?\They're the standard when it comes to snacks. They're just so crunchy and delicious!\I know of them! I've heard that in Japan, friends will engage in a Pokee game!\Huh? A Pokee game...?\Do you know what sort of game it is, UMR?\Huh?! Uh, I think so... response:	Impressive, indeed!
context: Hmm... Bamboo Shoot Mountains are the best, but... Ah! Pokee can be good, too.\Pokee, you say?\They're the standard when it comes to snacks. They're just so crunchy and delicious!\I know of them! I've heard that in Japan, friends will engage in a Pokee game!\Huh? A Pokee game...?\Do you know what sort of game it is, UMR?\Huh?! Uh, I think so...\Impressive, indeed! response:	In that case, I would like to do it with you, this so-called Pokee game!
context: Pokee, you say?\They're the standard when it comes to snacks. They're just so crunchy and delicious!\I know of them! I've heard that in Japan, friends will engage in a Pokee game!\Huh? A Pokee game...?\Do you know what sort of game it is, UMR?\Huh?! Uh, I think so...\Impressive, indeed!\In that case, I would like to do it with you, this so-called Pokee game! response:	What?!
context: They're the standard when it comes to snacks. They're just so crunchy and delicious!\I know of them! I've heard that in Japan, friends will engage in a Pokee game!\Huh? A Pokee game...?\Do you know what sort of game it is, UMR?\Huh?! Uh, I think so...\Impressive, indeed!\In that case, I would like to do it with you, this so-called Pokee game!\What?! response:	U-uh, no, no way! That's not a game that we would play.
context: I know of them! I've heard that in Japan, friends will engage in a Pokee game!\Huh? A Pokee game...?\Do you know what sort of game it is, UMR?\Huh?! Uh, I think so...\Impressive, indeed!\In that case, I would like to do it with you, this so-called Pokee game!\What?!\U-uh, no, no way! That's not a game that we would play. response:	Why not?! I wish to do it with you, indeed!
context: Huh? A Pokee game...?\Do you know what sort of game it is, UMR?\Huh?! Uh, I think so...\Impressive, indeed!\In that case, I would like to do it with you, this so-called Pokee game!\What?!\U-uh, no, no way! That's not a game that we would play.\Why not?! I wish to do it with you, indeed! response:	The thing about the Pokee game, is, um...
context: Do you know what sort of game it is, UMR?\Huh?! Uh, I think so...\Impressive, indeed!\In that case, I would like to do it with you, this so-called Pokee game!\What?!\U-uh, no, no way! That's not a game that we would play.\Why not?! I wish to do it with you, indeed!\The thing about the Pokee game, is, um... response:	Ah! You have to do it with someone who's really SPECIAL to you.
