context: The Third Plate response:	Sixteen
context: The Third Plate\Sixteen response:	Hayama-kun?
context: The Third Plate\Sixteen\Hayama-kun? response:	Hey, Hayama.
context: The Third Plate\Sixteen\Hayama-kun?\Hey, Hayama. response:	You have a weird badge on your blazer.
context: The Third Plate\Sixteen\Hayama-kun?\Hey, Hayama.\You have a weird badge on your blazer. response:	You sure you didn't grab someone else's by mistake?
context: The Third Plate\Sixteen\Hayama-kun?\Hey, Hayama.\You have a weird badge on your blazer.\You sure you didn't grab someone else's by mistake? response:	There's no mistake here, Yukihira.
context: The Third Plate\Sixteen\Hayama-kun?\Hey, Hayama.\You have a weird badge on your blazer.\You sure you didn't grab someone else's by mistake?\There's no mistake here, Yukihira. response:	He is Hayama Akira, the newest member of the Totsuki Elite Ten and Central.
context: The Third Plate\Sixteen\Hayama-kun?\Hey, Hayama.\You have a weird badge on your blazer.\You sure you didn't grab someone else's by mistake?\There's no mistake here, Yukihira.\He is Hayama Akira, the newest member of the Totsuki Elite Ten and Central. response:	He is the ninth seat, on a provisional basis.
context: Sixteen\Hayama-kun?\Hey, Hayama.\You have a weird badge on your blazer.\You sure you didn't grab someone else's by mistake?\There's no mistake here, Yukihira.\He is Hayama Akira, the newest member of the Totsuki Elite Ten and Central.\He is the ninth seat, on a provisional basis. response:	So that's how it is, Yukihira.
context: Hayama-kun?\Hey, Hayama.\You have a weird badge on your blazer.\You sure you didn't grab someone else's by mistake?\There's no mistake here, Yukihira.\He is Hayama Akira, the newest member of the Totsuki Elite Ten and Central.\He is the ninth seat, on a provisional basis.\So that's how it is, Yukihira. response:	We're no longer on the same playing field.
context: Hey, Hayama.\You have a weird badge on your blazer.\You sure you didn't grab someone else's by mistake?\There's no mistake here, Yukihira.\He is Hayama Akira, the newest member of the Totsuki Elite Ten and Central.\He is the ninth seat, on a provisional basis.\So that's how it is, Yukihira.\We're no longer on the same playing field. response:	I'm in a position where I can test you.
context: You have a weird badge on your blazer.\You sure you didn't grab someone else's by mistake?\There's no mistake here, Yukihira.\He is Hayama Akira, the newest member of the Totsuki Elite Ten and Central.\He is the ninth seat, on a provisional basis.\So that's how it is, Yukihira.\We're no longer on the same playing field.\I'm in a position where I can test you. response:	Acting all high and mighty now that you're finally showing your mug again?
context: You sure you didn't grab someone else's by mistake?\There's no mistake here, Yukihira.\He is Hayama Akira, the newest member of the Totsuki Elite Ten and Central.\He is the ninth seat, on a provisional basis.\So that's how it is, Yukihira.\We're no longer on the same playing field.\I'm in a position where I can test you.\Acting all high and mighty now that you're finally showing your mug again? response:	Erina-sama!
context: There's no mistake here, Yukihira.\He is Hayama Akira, the newest member of the Totsuki Elite Ten and Central.\He is the ninth seat, on a provisional basis.\So that's how it is, Yukihira.\We're no longer on the same playing field.\I'm in a position where I can test you.\Acting all high and mighty now that you're finally showing your mug again?\Erina-sama! response:	Your exam hall is that way, Erina-sama!
context: He is Hayama Akira, the newest member of the Totsuki Elite Ten and Central.\He is the ninth seat, on a provisional basis.\So that's how it is, Yukihira.\We're no longer on the same playing field.\I'm in a position where I can test you.\Acting all high and mighty now that you're finally showing your mug again?\Erina-sama!\Your exam hall is that way, Erina-sama! response:	What? Let me go!
context: He is the ninth seat, on a provisional basis.\So that's how it is, Yukihira.\We're no longer on the same playing field.\I'm in a position where I can test you.\Acting all high and mighty now that you're finally showing your mug again?\Erina-sama!\Your exam hall is that way, Erina-sama!\What? Let me go! response:	How rude!
context: So that's how it is, Yukihira.\We're no longer on the same playing field.\I'm in a position where I can test you.\Acting all high and mighty now that you're finally showing your mug again?\Erina-sama!\Your exam hall is that way, Erina-sama!\What? Let me go!\How rude! response:	This is necessary.
context: We're no longer on the same playing field.\I'm in a position where I can test you.\Acting all high and mighty now that you're finally showing your mug again?\Erina-sama!\Your exam hall is that way, Erina-sama!\What? Let me go!\How rude!\This is necessary. response:	You're taking the same exam as the other students, Nakiri-chan.
context: I'm in a position where I can test you.\Acting all high and mighty now that you're finally showing your mug again?\Erina-sama!\Your exam hall is that way, Erina-sama!\What? Let me go!\How rude!\This is necessary.\You're taking the same exam as the other students, Nakiri-chan. response:	Tadokoro-chan, Aldini, you're coming over here.
context: Acting all high and mighty now that you're finally showing your mug again?\Erina-sama!\Your exam hall is that way, Erina-sama!\What? Let me go!\How rude!\This is necessary.\You're taking the same exam as the other students, Nakiri-chan.\Tadokoro-chan, Aldini, you're coming over here. response:	I'll explain what your exam will be.
context: Erina-sama!\Your exam hall is that way, Erina-sama!\What? Let me go!\How rude!\This is necessary.\You're taking the same exam as the other students, Nakiri-chan.\Tadokoro-chan, Aldini, you're coming over here.\I'll explain what your exam will be. response:	W-Wait, Rindo-senpai!
context: Your exam hall is that way, Erina-sama!\What? Let me go!\How rude!\This is necessary.\You're taking the same exam as the other students, Nakiri-chan.\Tadokoro-chan, Aldini, you're coming over here.\I'll explain what your exam will be.\W-Wait, Rindo-senpai! response:	Yukihira...
context: What? Let me go!\How rude!\This is necessary.\You're taking the same exam as the other students, Nakiri-chan.\Tadokoro-chan, Aldini, you're coming over here.\I'll explain what your exam will be.\W-Wait, Rindo-senpai!\Yukihira... response:	Soma-kun...
context: How rude!\This is necessary.\You're taking the same exam as the other students, Nakiri-chan.\Tadokoro-chan, Aldini, you're coming over here.\I'll explain what your exam will be.\W-Wait, Rindo-senpai!\Yukihira...\Soma-kun... response:	Come at me, Yukihira!
context: This is necessary.\You're taking the same exam as the other students, Nakiri-chan.\Tadokoro-chan, Aldini, you're coming over here.\I'll explain what your exam will be.\W-Wait, Rindo-senpai!\Yukihira...\Soma-kun...\Come at me, Yukihira! response:	It's time for the test that'll decide whether you leave or stay!
context: You're taking the same exam as the other students, Nakiri-chan.\Tadokoro-chan, Aldini, you're coming over here.\I'll explain what your exam will be.\W-Wait, Rindo-senpai!\Yukihira...\Soma-kun...\Come at me, Yukihira!\It's time for the test that'll decide whether you leave or stay! response:	Food Wars
context: Tadokoro-chan, Aldini, you're coming over here.\I'll explain what your exam will be.\W-Wait, Rindo-senpai!\Yukihira...\Soma-kun...\Come at me, Yukihira!\It's time for the test that'll decide whether you leave or stay!\Food Wars response:	The Third Plate
context: I'll explain what your exam will be.\W-Wait, Rindo-senpai!\Yukihira...\Soma-kun...\Come at me, Yukihira!\It's time for the test that'll decide whether you leave or stay!\Food Wars\The Third Plate response:	Totsuki Train Arc
context: W-Wait, Rindo-senpai!\Yukihira...\Soma-kun...\Come at me, Yukihira!\It's time for the test that'll decide whether you leave or stay!\Food Wars\The Third Plate\Totsuki Train Arc response:	Revenge Match
context: Yukihira...\Soma-kun...\Come at me, Yukihira!\It's time for the test that'll decide whether you leave or stay!\Food Wars\The Third Plate\Totsuki Train Arc\Revenge Match response:	Hayama, I haven't seen you around in a while.
context: Soma-kun...\Come at me, Yukihira!\It's time for the test that'll decide whether you leave or stay!\Food Wars\The Third Plate\Totsuki Train Arc\Revenge Match\Hayama, I haven't seen you around in a while. response:	I had no idea this is where you'd ended up.
context: Come at me, Yukihira!\It's time for the test that'll decide whether you leave or stay!\Food Wars\The Third Plate\Totsuki Train Arc\Revenge Match\Hayama, I haven't seen you around in a while.\I had no idea this is where you'd ended up. response:	I have a ton of questions for you, you know?
context: It's time for the test that'll decide whether you leave or stay!\Food Wars\The Third Plate\Totsuki Train Arc\Revenge Match\Hayama, I haven't seen you around in a while.\I had no idea this is where you'd ended up.\I have a ton of questions for you, you know? response:	What happened to the Shiomi Research Group, anyway?!
context: Food Wars\The Third Plate\Totsuki Train Arc\Revenge Match\Hayama, I haven't seen you around in a while.\I had no idea this is where you'd ended up.\I have a ton of questions for you, you know?\What happened to the Shiomi Research Group, anyway?! response:	Yeah, it's gone.
context: The Third Plate\Totsuki Train Arc\Revenge Match\Hayama, I haven't seen you around in a while.\I had no idea this is where you'd ended up.\I have a ton of questions for you, you know?\What happened to the Shiomi Research Group, anyway?!\Yeah, it's gone. response:	There is no need for autonomous groups outside of Central.
context: Totsuki Train Arc\Revenge Match\Hayama, I haven't seen you around in a while.\I had no idea this is where you'd ended up.\I have a ton of questions for you, you know?\What happened to the Shiomi Research Group, anyway?!\Yeah, it's gone.\There is no need for autonomous groups outside of Central. response:	That's Director Azami's philosophy,
context: Revenge Match\Hayama, I haven't seen you around in a while.\I had no idea this is where you'd ended up.\I have a ton of questions for you, you know?\What happened to the Shiomi Research Group, anyway?!\Yeah, it's gone.\There is no need for autonomous groups outside of Central.\That's Director Azami's philosophy, response:	so what else is there to say?
