context: Have you lost sight of your pride as a Saiyan, response:	the mightiest warriors in the universe, Kakarrot!?
context: Have you lost sight of your pride as a Saiyan,\the mightiest warriors in the universe, Kakarrot!? response:	Kakarrot!?
context: Have you lost sight of your pride as a Saiyan,\the mightiest warriors in the universe, Kakarrot!?\Kakarrot!? response:	Good afternoon!
context: Have you lost sight of your pride as a Saiyan,\the mightiest warriors in the universe, Kakarrot!?\Kakarrot!?\Good afternoon! response:	It's been so long!
context: Have you lost sight of your pride as a Saiyan,\the mightiest warriors in the universe, Kakarrot!?\Kakarrot!?\Good afternoon!\It's been so long! response:	Bulma- san!
context: Have you lost sight of your pride as a Saiyan,\the mightiest warriors in the universe, Kakarrot!?\Kakarrot!?\Good afternoon!\It's been so long!\Bulma- san! response:	You said to come visit you, so I came.
context: Have you lost sight of your pride as a Saiyan,\the mightiest warriors in the universe, Kakarrot!?\Kakarrot!?\Good afternoon!\It's been so long!\Bulma- san!\You said to come visit you, so I came. response:	Wow, it really has been a long time!
context: Have you lost sight of your pride as a Saiyan,\the mightiest warriors in the universe, Kakarrot!?\Kakarrot!?\Good afternoon!\It's been so long!\Bulma- san!\You said to come visit you, so I came.\Wow, it really has been a long time! response:	This house hasn't changed at all in the meantime, huh?
context: the mightiest warriors in the universe, Kakarrot!?\Kakarrot!?\Good afternoon!\It's been so long!\Bulma- san!\You said to come visit you, so I came.\Wow, it really has been a long time!\This house hasn't changed at all in the meantime, huh? response:	You sure have been cold to us, huh?
context: Kakarrot!?\Good afternoon!\It's been so long!\Bulma- san!\You said to come visit you, so I came.\Wow, it really has been a long time!\This house hasn't changed at all in the meantime, huh?\You sure have been cold to us, huh? response:	Unless someone tells you to come over, you never come, after all.
context: Good afternoon!\It's been so long!\Bulma- san!\You said to come visit you, so I came.\Wow, it really has been a long time!\This house hasn't changed at all in the meantime, huh?\You sure have been cold to us, huh?\Unless someone tells you to come over, you never come, after all. response:	Here!
context: It's been so long!\Bulma- san!\You said to come visit you, so I came.\Wow, it really has been a long time!\This house hasn't changed at all in the meantime, huh?\You sure have been cold to us, huh?\Unless someone tells you to come over, you never come, after all.\Here! response:	I brought some manju buns as a present.
context: Bulma- san!\You said to come visit you, so I came.\Wow, it really has been a long time!\This house hasn't changed at all in the meantime, huh?\You sure have been cold to us, huh?\Unless someone tells you to come over, you never come, after all.\Here!\I brought some manju buns as a present. response:	You didn't need to go to that trouble.
context: You said to come visit you, so I came.\Wow, it really has been a long time!\This house hasn't changed at all in the meantime, huh?\You sure have been cold to us, huh?\Unless someone tells you to come over, you never come, after all.\Here!\I brought some manju buns as a present.\You didn't need to go to that trouble. response:	If you'd just let me touch your boobs a little bit, I'd-
context: Wow, it really has been a long time!\This house hasn't changed at all in the meantime, huh?\You sure have been cold to us, huh?\Unless someone tells you to come over, you never come, after all.\Here!\I brought some manju buns as a present.\You didn't need to go to that trouble.\If you'd just let me touch your boobs a little bit, I'd- response:	You just don't appreciate my gags, the same as always!
context: This house hasn't changed at all in the meantime, huh?\You sure have been cold to us, huh?\Unless someone tells you to come over, you never come, after all.\Here!\I brought some manju buns as a present.\You didn't need to go to that trouble.\If you'd just let me touch your boobs a little bit, I'd-\You just don't appreciate my gags, the same as always! response:	You're just a lecherous jerk, the same as always!
context: You sure have been cold to us, huh?\Unless someone tells you to come over, you never come, after all.\Here!\I brought some manju buns as a present.\You didn't need to go to that trouble.\If you'd just let me touch your boobs a little bit, I'd-\You just don't appreciate my gags, the same as always!\You're just a lecherous jerk, the same as always! response:	By the way, Bulma- san, what's happening with Yamucha- san?
context: Unless someone tells you to come over, you never come, after all.\Here!\I brought some manju buns as a present.\You didn't need to go to that trouble.\If you'd just let me touch your boobs a little bit, I'd-\You just don't appreciate my gags, the same as always!\You're just a lecherous jerk, the same as always!\By the way, Bulma- san, what's happening with Yamucha- san? response:	Yamucha? That idiot?
context: Here!\I brought some manju buns as a present.\You didn't need to go to that trouble.\If you'd just let me touch your boobs a little bit, I'd-\You just don't appreciate my gags, the same as always!\You're just a lecherous jerk, the same as always!\By the way, Bulma- san, what's happening with Yamucha- san?\Yamucha? That idiot? response:	How should I know about that guy? I'm so mad at him,
context: I brought some manju buns as a present.\You didn't need to go to that trouble.\If you'd just let me touch your boobs a little bit, I'd-\You just don't appreciate my gags, the same as always!\You're just a lecherous jerk, the same as always!\By the way, Bulma- san, what's happening with Yamucha- san?\Yamucha? That idiot?\How should I know about that guy? I'm so mad at him, response:	I didn't tell him that everyone was getting together here today!
context: You didn't need to go to that trouble.\If you'd just let me touch your boobs a little bit, I'd-\You just don't appreciate my gags, the same as always!\You're just a lecherous jerk, the same as always!\By the way, Bulma- san, what's happening with Yamucha- san?\Yamucha? That idiot?\How should I know about that guy? I'm so mad at him,\I didn't tell him that everyone was getting together here today! response:	Let's have ourselves a blast without him being here!
context: If you'd just let me touch your boobs a little bit, I'd-\You just don't appreciate my gags, the same as always!\You're just a lecherous jerk, the same as always!\By the way, Bulma- san, what's happening with Yamucha- san?\Yamucha? That idiot?\How should I know about that guy? I'm so mad at him,\I didn't tell him that everyone was getting together here today!\Let's have ourselves a blast without him being here! response:	You guys sure do fight a lot.
context: You just don't appreciate my gags, the same as always!\You're just a lecherous jerk, the same as always!\By the way, Bulma- san, what's happening with Yamucha- san?\Yamucha? That idiot?\How should I know about that guy? I'm so mad at him,\I didn't tell him that everyone was getting together here today!\Let's have ourselves a blast without him being here!\You guys sure do fight a lot. response:	They sure do.
context: You're just a lecherous jerk, the same as always!\By the way, Bulma- san, what's happening with Yamucha- san?\Yamucha? That idiot?\How should I know about that guy? I'm so mad at him,\I didn't tell him that everyone was getting together here today!\Let's have ourselves a blast without him being here!\You guys sure do fight a lot.\They sure do. response:	So then, where's Lunch- san?
context: By the way, Bulma- san, what's happening with Yamucha- san?\Yamucha? That idiot?\How should I know about that guy? I'm so mad at him,\I didn't tell him that everyone was getting together here today!\Let's have ourselves a blast without him being here!\You guys sure do fight a lot.\They sure do.\So then, where's Lunch- san? response:	She went out somewhere, chasing after Tenshinhan- san, five years ago.
context: Yamucha? That idiot?\How should I know about that guy? I'm so mad at him,\I didn't tell him that everyone was getting together here today!\Let's have ourselves a blast without him being here!\You guys sure do fight a lot.\They sure do.\So then, where's Lunch- san?\She went out somewhere, chasing after Tenshinhan- san, five years ago. response:	The position of this power is moving at considerable speed.
context: How should I know about that guy? I'm so mad at him,\I didn't tell him that everyone was getting together here today!\Let's have ourselves a blast without him being here!\You guys sure do fight a lot.\They sure do.\So then, where's Lunch- san?\She went out somewhere, chasing after Tenshinhan- san, five years ago.\The position of this power is moving at considerable speed. response:	There! That's Muten Roshi- sama's house!
context: I didn't tell him that everyone was getting together here today!\Let's have ourselves a blast without him being here!\You guys sure do fight a lot.\They sure do.\So then, where's Lunch- san?\She went out somewhere, chasing after Tenshinhan- san, five years ago.\The position of this power is moving at considerable speed.\There! That's Muten Roshi- sama's house! response:	Miserable Kakarrot! You're not getting away from me!
