context: The Rising of the Shield Hero response:	The Savior of the Heavenly Fowl
context: The Rising of the Shield Hero\The Savior of the Heavenly Fowl response:	I've received an order for herbicide, Shield Hero.
context: The Rising of the Shield Hero\The Savior of the Heavenly Fowl\I've received an order for herbicide, Shield Hero. response:	A village to the south needs a lot of it, and immediately.
context: The Rising of the Shield Hero\The Savior of the Heavenly Fowl\I've received an order for herbicide, Shield Hero.\A village to the south needs a lot of it, and immediately. response:	You're the only one I can ask. You have the Heavenly Fowl.
context: The Rising of the Shield Hero\The Savior of the Heavenly Fowl\I've received an order for herbicide, Shield Hero.\A village to the south needs a lot of it, and immediately.\You're the only one I can ask. You have the Heavenly Fowl. response:	Why would they need herbicide so quickly, and so much of it?
context: The Rising of the Shield Hero\The Savior of the Heavenly Fowl\I've received an order for herbicide, Shield Hero.\A village to the south needs a lot of it, and immediately.\You're the only one I can ask. You have the Heavenly Fowl.\Why would they need herbicide so quickly, and so much of it? response:	Master, the plants here are amazing.
context: The Rising of the Shield Hero\The Savior of the Heavenly Fowl\I've received an order for herbicide, Shield Hero.\A village to the south needs a lot of it, and immediately.\You're the only one I can ask. You have the Heavenly Fowl.\Why would they need herbicide so quickly, and so much of it?\Master, the plants here are amazing. response:	Yeah, you'd definitely need herbicide for this.
context: The Rising of the Shield Hero\The Savior of the Heavenly Fowl\I've received an order for herbicide, Shield Hero.\A village to the south needs a lot of it, and immediately.\You're the only one I can ask. You have the Heavenly Fowl.\Why would they need herbicide so quickly, and so much of it?\Master, the plants here are amazing.\Yeah, you'd definitely need herbicide for this. response:	Look, Naofumi-sama.
context: The Savior of the Heavenly Fowl\I've received an order for herbicide, Shield Hero.\A village to the south needs a lot of it, and immediately.\You're the only one I can ask. You have the Heavenly Fowl.\Why would they need herbicide so quickly, and so much of it?\Master, the plants here are amazing.\Yeah, you'd definitely need herbicide for this.\Look, Naofumi-sama. response:	Take us there, Filo.
context: I've received an order for herbicide, Shield Hero.\A village to the south needs a lot of it, and immediately.\You're the only one I can ask. You have the Heavenly Fowl.\Why would they need herbicide so quickly, and so much of it?\Master, the plants here are amazing.\Yeah, you'd definitely need herbicide for this.\Look, Naofumi-sama.\Take us there, Filo. response:	Okay!
context: A village to the south needs a lot of it, and immediately.\You're the only one I can ask. You have the Heavenly Fowl.\Why would they need herbicide so quickly, and so much of it?\Master, the plants here are amazing.\Yeah, you'd definitely need herbicide for this.\Look, Naofumi-sama.\Take us there, Filo.\Okay! response:	Thank you so much.
context: You're the only one I can ask. You have the Heavenly Fowl.\Why would they need herbicide so quickly, and so much of it?\Master, the plants here are amazing.\Yeah, you'd definitely need herbicide for this.\Look, Naofumi-sama.\Take us there, Filo.\Okay!\Thank you so much. response:	This place was about to fall to the vines, too.
context: Why would they need herbicide so quickly, and so much of it?\Master, the plants here are amazing.\Yeah, you'd definitely need herbicide for this.\Look, Naofumi-sama.\Take us there, Filo.\Okay!\Thank you so much.\This place was about to fall to the vines, too. response:	Couldn't you have burned them?
context: Master, the plants here are amazing.\Yeah, you'd definitely need herbicide for this.\Look, Naofumi-sama.\Take us there, Filo.\Okay!\Thank you so much.\This place was about to fall to the vines, too.\Couldn't you have burned them? response:	We tried everything we could think of.
context: Yeah, you'd definitely need herbicide for this.\Look, Naofumi-sama.\Take us there, Filo.\Okay!\Thank you so much.\This place was about to fall to the vines, too.\Couldn't you have burned them?\We tried everything we could think of. response:	We even summoned adventurers, but the situation remains grave.
context: Look, Naofumi-sama.\Take us there, Filo.\Okay!\Thank you so much.\This place was about to fall to the vines, too.\Couldn't you have burned them?\We tried everything we could think of.\We even summoned adventurers, but the situation remains grave. response:	Our village was already overrun by vines.
context: Take us there, Filo.\Okay!\Thank you so much.\This place was about to fall to the vines, too.\Couldn't you have burned them?\We tried everything we could think of.\We even summoned adventurers, but the situation remains grave.\Our village was already overrun by vines. response:	What's worse, the plants turned into monsters and attacked us.
context: Okay!\Thank you so much.\This place was about to fall to the vines, too.\Couldn't you have burned them?\We tried everything we could think of.\We even summoned adventurers, but the situation remains grave.\Our village was already overrun by vines.\What's worse, the plants turned into monsters and attacked us. response:	Turned into monsters?
context: Thank you so much.\This place was about to fall to the vines, too.\Couldn't you have burned them?\We tried everything we could think of.\We even summoned adventurers, but the situation remains grave.\Our village was already overrun by vines.\What's worse, the plants turned into monsters and attacked us.\Turned into monsters? response:	Some adventurers set out for the village to level up.
context: This place was about to fall to the vines, too.\Couldn't you have burned them?\We tried everything we could think of.\We even summoned adventurers, but the situation remains grave.\Our village was already overrun by vines.\What's worse, the plants turned into monsters and attacked us.\Turned into monsters?\Some adventurers set out for the village to level up. response:	I tried to stop them, but to no avail.
context: Couldn't you have burned them?\We tried everything we could think of.\We even summoned adventurers, but the situation remains grave.\Our village was already overrun by vines.\What's worse, the plants turned into monsters and attacked us.\Turned into monsters?\Some adventurers set out for the village to level up.\I tried to stop them, but to no avail. response:	Filo, grab the adventurers and bring them back here.
context: We tried everything we could think of.\We even summoned adventurers, but the situation remains grave.\Our village was already overrun by vines.\What's worse, the plants turned into monsters and attacked us.\Turned into monsters?\Some adventurers set out for the village to level up.\I tried to stop them, but to no avail.\Filo, grab the adventurers and bring them back here. response:	Okay. Be wighd bag.
context: We even summoned adventurers, but the situation remains grave.\Our village was already overrun by vines.\What's worse, the plants turned into monsters and attacked us.\Turned into monsters?\Some adventurers set out for the village to level up.\I tried to stop them, but to no avail.\Filo, grab the adventurers and bring them back here.\Okay. Be wighd bag. response:	Plant monsters were all over the place.
context: Our village was already overrun by vines.\What's worse, the plants turned into monsters and attacked us.\Turned into monsters?\Some adventurers set out for the village to level up.\I tried to stop them, but to no avail.\Filo, grab the adventurers and bring them back here.\Okay. Be wighd bag.\Plant monsters were all over the place. response:	Some even spat poison or acid.
context: What's worse, the plants turned into monsters and attacked us.\Turned into monsters?\Some adventurers set out for the village to level up.\I tried to stop them, but to no avail.\Filo, grab the adventurers and bring them back here.\Okay. Be wighd bag.\Plant monsters were all over the place.\Some even spat poison or acid. response:	Why would these guys go there when they're so weak?
context: Turned into monsters?\Some adventurers set out for the village to level up.\I tried to stop them, but to no avail.\Filo, grab the adventurers and bring them back here.\Okay. Be wighd bag.\Plant monsters were all over the place.\Some even spat poison or acid.\Why would these guys go there when they're so weak? response:	They must be stupid.
context: Some adventurers set out for the village to level up.\I tried to stop them, but to no avail.\Filo, grab the adventurers and bring them back here.\Okay. Be wighd bag.\Plant monsters were all over the place.\Some even spat poison or acid.\Why would these guys go there when they're so weak?\They must be stupid. response:	You didn't have to say that last part.
context: I tried to stop them, but to no avail.\Filo, grab the adventurers and bring them back here.\Okay. Be wighd bag.\Plant monsters were all over the place.\Some even spat poison or acid.\Why would these guys go there when they're so weak?\They must be stupid.\You didn't have to say that last part. response:	Huh?
context: Filo, grab the adventurers and bring them back here.\Okay. Be wighd bag.\Plant monsters were all over the place.\Some even spat poison or acid.\Why would these guys go there when they're so weak?\They must be stupid.\You didn't have to say that last part.\Huh? response:	Don't huh me.
context: Okay. Be wighd bag.\Plant monsters were all over the place.\Some even spat poison or acid.\Why would these guys go there when they're so weak?\They must be stupid.\You didn't have to say that last part.\Huh?\Don't huh me. response:	Ugh...
context: Plant monsters were all over the place.\Some even spat poison or acid.\Why would these guys go there when they're so weak?\They must be stupid.\You didn't have to say that last part.\Huh?\Don't huh me.\Ugh... response:	Hey, that bird that talked.
context: Some even spat poison or acid.\Why would these guys go there when they're so weak?\They must be stupid.\You didn't have to say that last part.\Huh?\Don't huh me.\Ugh...\Hey, that bird that talked. response:	Don't ugh me either.
context: Why would these guys go there when they're so weak?\They must be stupid.\You didn't have to say that last part.\Huh?\Don't huh me.\Ugh...\Hey, that bird that talked.\Don't ugh me either. response:	Tch.
context: They must be stupid.\You didn't have to say that last part.\Huh?\Don't huh me.\Ugh...\Hey, that bird that talked.\Don't ugh me either.\Tch. response:	Could it be...
context: You didn't have to say that last part.\Huh?\Don't huh me.\Ugh...\Hey, that bird that talked.\Don't ugh me either.\Tch.\Could it be... response:	That has to be the Heavenly Fowl!
context: Huh?\Don't huh me.\Ugh...\Hey, that bird that talked.\Don't ugh me either.\Tch.\Could it be...\That has to be the Heavenly Fowl! response:	The Savior of the Heavenly Fowl has come to our village, too!
context: Don't huh me.\Ugh...\Hey, that bird that talked.\Don't ugh me either.\Tch.\Could it be...\That has to be the Heavenly Fowl!\The Savior of the Heavenly Fowl has come to our village, too! response:	Are you the savior who travels in a carriage drawn by a heavenly fowl?
context: Ugh...\Hey, that bird that talked.\Don't ugh me either.\Tch.\Could it be...\That has to be the Heavenly Fowl!\The Savior of the Heavenly Fowl has come to our village, too!\Are you the savior who travels in a carriage drawn by a heavenly fowl? response:	You've got the wrong guy.
context: Hey, that bird that talked.\Don't ugh me either.\Tch.\Could it be...\That has to be the Heavenly Fowl!\The Savior of the Heavenly Fowl has come to our village, too!\Are you the savior who travels in a carriage drawn by a heavenly fowl?\You've got the wrong guy. response:	Naofumi-sama...
context: Don't ugh me either.\Tch.\Could it be...\That has to be the Heavenly Fowl!\The Savior of the Heavenly Fowl has come to our village, too!\Are you the savior who travels in a carriage drawn by a heavenly fowl?\You've got the wrong guy.\Naofumi-sama... response:	We beg you!
context: Tch.\Could it be...\That has to be the Heavenly Fowl!\The Savior of the Heavenly Fowl has come to our village, too!\Are you the savior who travels in a carriage drawn by a heavenly fowl?\You've got the wrong guy.\Naofumi-sama...\We beg you! response:	Could you please heal our sick using your powers?
context: Could it be...\That has to be the Heavenly Fowl!\The Savior of the Heavenly Fowl has come to our village, too!\Are you the savior who travels in a carriage drawn by a heavenly fowl?\You've got the wrong guy.\Naofumi-sama...\We beg you!\Could you please heal our sick using your powers? response:	Wait, some of you are sick?
context: That has to be the Heavenly Fowl!\The Savior of the Heavenly Fowl has come to our village, too!\Are you the savior who travels in a carriage drawn by a heavenly fowl?\You've got the wrong guy.\Naofumi-sama...\We beg you!\Could you please heal our sick using your powers?\Wait, some of you are sick? response:	As you can see, the plants are devouring their bodies.
context: The Savior of the Heavenly Fowl has come to our village, too!\Are you the savior who travels in a carriage drawn by a heavenly fowl?\You've got the wrong guy.\Naofumi-sama...\We beg you!\Could you please heal our sick using your powers?\Wait, some of you are sick?\As you can see, the plants are devouring their bodies. response:	They're even parasitic?
context: Are you the savior who travels in a carriage drawn by a heavenly fowl?\You've got the wrong guy.\Naofumi-sama...\We beg you!\Could you please heal our sick using your powers?\Wait, some of you are sick?\As you can see, the plants are devouring their bodies.\They're even parasitic? response:	Please, Savior! Help them with your powers!
context: You've got the wrong guy.\Naofumi-sama...\We beg you!\Could you please heal our sick using your powers?\Wait, some of you are sick?\As you can see, the plants are devouring their bodies.\They're even parasitic?\Please, Savior! Help them with your powers! response:	I can't say for sure that I'll be able to heal them.
context: Naofumi-sama...\We beg you!\Could you please heal our sick using your powers?\Wait, some of you are sick?\As you can see, the plants are devouring their bodies.\They're even parasitic?\Please, Savior! Help them with your powers!\I can't say for sure that I'll be able to heal them. response:	Potion Enhance
context: We beg you!\Could you please heal our sick using your powers?\Wait, some of you are sick?\As you can see, the plants are devouring their bodies.\They're even parasitic?\Please, Savior! Help them with your powers!\I can't say for sure that I'll be able to heal them.\Potion Enhance response:	Next.
context: Could you please heal our sick using your powers?\Wait, some of you are sick?\As you can see, the plants are devouring their bodies.\They're even parasitic?\Please, Savior! Help them with your powers!\I can't say for sure that I'll be able to heal them.\Potion Enhance\Next. response:	Yeah.
context: Wait, some of you are sick?\As you can see, the plants are devouring their bodies.\They're even parasitic?\Please, Savior! Help them with your powers!\I can't say for sure that I'll be able to heal them.\Potion Enhance\Next.\Yeah. response:	I'm glad it went well.
context: As you can see, the plants are devouring their bodies.\They're even parasitic?\Please, Savior! Help them with your powers!\I can't say for sure that I'll be able to heal them.\Potion Enhance\Next.\Yeah.\I'm glad it went well. response:	Yeah.
context: They're even parasitic?\Please, Savior! Help them with your powers!\I can't say for sure that I'll be able to heal them.\Potion Enhance\Next.\Yeah.\I'm glad it went well.\Yeah. response:	But we're leaving as soon as we get paid for the treatment.
context: Please, Savior! Help them with your powers!\I can't say for sure that I'll be able to heal them.\Potion Enhance\Next.\Yeah.\I'm glad it went well.\Yeah.\But we're leaving as soon as we get paid for the treatment. response:	I don't want to be dragged any further into this mess.
context: I can't say for sure that I'll be able to heal them.\Potion Enhance\Next.\Yeah.\I'm glad it went well.\Yeah.\But we're leaving as soon as we get paid for the treatment.\I don't want to be dragged any further into this mess. response:	I daresay that might be difficult.
context: Potion Enhance\Next.\Yeah.\I'm glad it went well.\Yeah.\But we're leaving as soon as we get paid for the treatment.\I don't want to be dragged any further into this mess.\I daresay that might be difficult. response:	Our Savior of the Heavenly Fowl!
context: Next.\Yeah.\I'm glad it went well.\Yeah.\But we're leaving as soon as we get paid for the treatment.\I don't want to be dragged any further into this mess.\I daresay that might be difficult.\Our Savior of the Heavenly Fowl! response:	Please save our village!
context: Yeah.\I'm glad it went well.\Yeah.\But we're leaving as soon as we get paid for the treatment.\I don't want to be dragged any further into this mess.\I daresay that might be difficult.\Our Savior of the Heavenly Fowl!\Please save our village! response:	Our village was being ravaged by famine when the Spear Hero visited.
context: I'm glad it went well.\Yeah.\But we're leaving as soon as we get paid for the treatment.\I don't want to be dragged any further into this mess.\I daresay that might be difficult.\Our Savior of the Heavenly Fowl!\Please save our village!\Our village was being ravaged by famine when the Spear Hero visited. response:	When he heard of our plight,
context: Yeah.\But we're leaving as soon as we get paid for the treatment.\I don't want to be dragged any further into this mess.\I daresay that might be difficult.\Our Savior of the Heavenly Fowl!\Please save our village!\Our village was being ravaged by famine when the Spear Hero visited.\When he heard of our plight, response:	he went to some nearby ruins and brought back a seed that had been sealed there.
