context: What could be the cause of the massive mosquito outbreak this year? response:	We ask Mr. Kafetch,
context: What could be the cause of the massive mosquito outbreak this year?\We ask Mr. Kafetch, response:	a mosquito expert who has written several books on the subject.
context: What could be the cause of the massive mosquito outbreak this year?\We ask Mr. Kafetch,\a mosquito expert who has written several books on the subject. response:	Thank you for having me.
context: What could be the cause of the massive mosquito outbreak this year?\We ask Mr. Kafetch,\a mosquito expert who has written several books on the subject.\Thank you for having me. response:	Well, let me come right to the point.
context: What could be the cause of the massive mosquito outbreak this year?\We ask Mr. Kafetch,\a mosquito expert who has written several books on the subject.\Thank you for having me.\Well, let me come right to the point. response:	These mosquitos belong to an entirely new species.
context: What could be the cause of the massive mosquito outbreak this year?\We ask Mr. Kafetch,\a mosquito expert who has written several books on the subject.\Thank you for having me.\Well, let me come right to the point.\These mosquitos belong to an entirely new species. response:	Therefore, I know nothing about them.
context: What could be the cause of the massive mosquito outbreak this year?\We ask Mr. Kafetch,\a mosquito expert who has written several books on the subject.\Thank you for having me.\Well, let me come right to the point.\These mosquitos belong to an entirely new species.\Therefore, I know nothing about them. response:	Get out!
context: What could be the cause of the massive mosquito outbreak this year?\We ask Mr. Kafetch,\a mosquito expert who has written several books on the subject.\Thank you for having me.\Well, let me come right to the point.\These mosquitos belong to an entirely new species.\Therefore, I know nothing about them.\Get out! response:	Ah, excuse me.
context: We ask Mr. Kafetch,\a mosquito expert who has written several books on the subject.\Thank you for having me.\Well, let me come right to the point.\These mosquitos belong to an entirely new species.\Therefore, I know nothing about them.\Get out!\Ah, excuse me. response:	Now, let's take a look at the areas
context: a mosquito expert who has written several books on the subject.\Thank you for having me.\Well, let me come right to the point.\These mosquitos belong to an entirely new species.\Therefore, I know nothing about them.\Get out!\Ah, excuse me.\Now, let's take a look at the areas response:	Man, City Z's in their path. likely to be hit hardest by the outbreak.
context: Thank you for having me.\Well, let me come right to the point.\These mosquitos belong to an entirely new species.\Therefore, I know nothing about them.\Get out!\Ah, excuse me.\Now, let's take a look at the areas\Man, City Z's in their path. likely to be hit hardest by the outbreak. response:	Now we've got a mosquito outbreak?
context: Well, let me come right to the point.\These mosquitos belong to an entirely new species.\Therefore, I know nothing about them.\Get out!\Ah, excuse me.\Now, let's take a look at the areas\Man, City Z's in their path. likely to be hit hardest by the outbreak.\Now we've got a mosquito outbreak? response:	We interrupt this program for breaking news.
context: These mosquitos belong to an entirely new species.\Therefore, I know nothing about them.\Get out!\Ah, excuse me.\Now, let's take a look at the areas\Man, City Z's in their path. likely to be hit hardest by the outbreak.\Now we've got a mosquito outbreak?\We interrupt this program for breaking news. response:	A large swarm of mosquitos has been sighted in City Z.
context: Therefore, I know nothing about them.\Get out!\Ah, excuse me.\Now, let's take a look at the areas\Man, City Z's in their path. likely to be hit hardest by the outbreak.\Now we've got a mosquito outbreak?\We interrupt this program for breaking news.\A large swarm of mosquitos has been sighted in City Z. response:	Mummified remains of attacked farm animals have also been found.
context: Get out!\Ah, excuse me.\Now, let's take a look at the areas\Man, City Z's in their path. likely to be hit hardest by the outbreak.\Now we've got a mosquito outbreak?\We interrupt this program for breaking news.\A large swarm of mosquitos has been sighted in City Z.\Mummified remains of attacked farm animals have also been found. response:	If you encounter a swarm of mosquitos, flee immediately.
context: Ah, excuse me.\Now, let's take a look at the areas\Man, City Z's in their path. likely to be hit hardest by the outbreak.\Now we've got a mosquito outbreak?\We interrupt this program for breaking news.\A large swarm of mosquitos has been sighted in City Z.\Mummified remains of attacked farm animals have also been found.\If you encounter a swarm of mosquitos, flee immediately. response:	This is an emergency evacuation warning. Threat level: Demon.
context: Now, let's take a look at the areas\Man, City Z's in their path. likely to be hit hardest by the outbreak.\Now we've got a mosquito outbreak?\We interrupt this program for breaking news.\A large swarm of mosquitos has been sighted in City Z.\Mummified remains of attacked farm animals have also been found.\If you encounter a swarm of mosquitos, flee immediately.\This is an emergency evacuation warning. Threat level: Demon. response:	No resident is to go outside under any circumstances.
context: Man, City Z's in their path. likely to be hit hardest by the outbreak.\Now we've got a mosquito outbreak?\We interrupt this program for breaking news.\A large swarm of mosquitos has been sighted in City Z.\Mummified remains of attacked farm animals have also been found.\If you encounter a swarm of mosquitos, flee immediately.\This is an emergency evacuation warning. Threat level: Demon.\No resident is to go outside under any circumstances. response:	I repeat, no City Z resident is to go outside
context: Now we've got a mosquito outbreak?\We interrupt this program for breaking news.\A large swarm of mosquitos has been sighted in City Z.\Mummified remains of attacked farm animals have also been found.\If you encounter a swarm of mosquitos, flee immediately.\This is an emergency evacuation warning. Threat level: Demon.\No resident is to go outside under any circumstances.\I repeat, no City Z resident is to go outside response:	Acquiring target.
