context: We've cleared Warning Line One. response:	I didn't think she'd still be alive.
context: We've cleared Warning Line One.\I didn't think she'd still be alive. response:	I thought we'd lost Vivian and Ange.
context: We've cleared Warning Line One.\I didn't think she'd still be alive.\I thought we'd lost Vivian and Ange. response:	Where were they all this time?
context: We've cleared Warning Line One.\I didn't think she'd still be alive.\I thought we'd lost Vivian and Ange.\Where were they all this time? response:	On the other side of the Singular, apparently.
context: We've cleared Warning Line One.\I didn't think she'd still be alive.\I thought we'd lost Vivian and Ange.\Where were they all this time?\On the other side of the Singular, apparently. response:	No way.
context: We've cleared Warning Line One.\I didn't think she'd still be alive.\I thought we'd lost Vivian and Ange.\Where were they all this time?\On the other side of the Singular, apparently.\No way. response:	A parallel universe and another Earth...
context: We've cleared Warning Line One.\I didn't think she'd still be alive.\I thought we'd lost Vivian and Ange.\Where were they all this time?\On the other side of the Singular, apparently.\No way.\A parallel universe and another Earth... response:	A world of DRAGONsno, of genetically modified humans.
context: We've cleared Warning Line One.\I didn't think she'd still be alive.\I thought we'd lost Vivian and Ange.\Where were they all this time?\On the other side of the Singular, apparently.\No way.\A parallel universe and another Earth...\A world of DRAGONsno, of genetically modified humans. response:	They can be reasoned with, unlike our humans.
context: I didn't think she'd still be alive.\I thought we'd lost Vivian and Ange.\Where were they all this time?\On the other side of the Singular, apparently.\No way.\A parallel universe and another Earth...\A world of DRAGONsno, of genetically modified humans.\They can be reasoned with, unlike our humans. response:	Maybe we should ally with them.
context: I thought we'd lost Vivian and Ange.\Where were they all this time?\On the other side of the Singular, apparently.\No way.\A parallel universe and another Earth...\A world of DRAGONsno, of genetically modified humans.\They can be reasoned with, unlike our humans.\Maybe we should ally with them. response:	With the DRAGONs.
context: Where were they all this time?\On the other side of the Singular, apparently.\No way.\A parallel universe and another Earth...\A world of DRAGONsno, of genetically modified humans.\They can be reasoned with, unlike our humans.\Maybe we should ally with them.\With the DRAGONs. response:	The DRAGONs' objective is to take back Aura.
context: On the other side of the Singular, apparently.\No way.\A parallel universe and another Earth...\A world of DRAGONsno, of genetically modified humans.\They can be reasoned with, unlike our humans.\Maybe we should ally with them.\With the DRAGONs.\The DRAGONs' objective is to take back Aura. response:	The Sea of Parting
context: No way.\A parallel universe and another Earth...\A world of DRAGONsno, of genetically modified humans.\They can be reasoned with, unlike our humans.\Maybe we should ally with them.\With the DRAGONs.\The DRAGONs' objective is to take back Aura.\The Sea of Parting response:	I was told that if they succeed, all energy will be cut off,
context: A parallel universe and another Earth...\A world of DRAGONsno, of genetically modified humans.\They can be reasoned with, unlike our humans.\Maybe we should ally with them.\With the DRAGONs.\The DRAGONs' objective is to take back Aura.\The Sea of Parting\I was told that if they succeed, all energy will be cut off, response:	The humans' flow of Mana will stop, along with the entire world.
context: A world of DRAGONsno, of genetically modified humans.\They can be reasoned with, unlike our humans.\Maybe we should ally with them.\With the DRAGONs.\The DRAGONs' objective is to take back Aura.\The Sea of Parting\I was told that if they succeed, all energy will be cut off,\The humans' flow of Mana will stop, along with the entire world. response:	They won't be able to open singularities, and there won't be any need for Para-mails.
