context: Let's skip training today. response:	You were hurt pretty badly.
context: Let's skip training today.\You were hurt pretty badly. response:	No, my injuries pose no problem.
context: Let's skip training today.\You were hurt pretty badly.\No, my injuries pose no problem. response:	I am more concerned about you, Shirou. Are you all right?
context: Let's skip training today.\You were hurt pretty badly.\No, my injuries pose no problem.\I am more concerned about you, Shirou. Are you all right? response:	Yeah, I'm okay.
context: Let's skip training today.\You were hurt pretty badly.\No, my injuries pose no problem.\I am more concerned about you, Shirou. Are you all right?\Yeah, I'm okay. response:	If you are in pain, do not hesitate to speak up.
context: Let's skip training today.\You were hurt pretty badly.\No, my injuries pose no problem.\I am more concerned about you, Shirou. Are you all right?\Yeah, I'm okay.\If you are in pain, do not hesitate to speak up. response:	Sure.
context: Let's skip training today.\You were hurt pretty badly.\No, my injuries pose no problem.\I am more concerned about you, Shirou. Are you all right?\Yeah, I'm okay.\If you are in pain, do not hesitate to speak up.\Sure. response:	That's a relief... The pain is gone.
context: Let's skip training today.\You were hurt pretty badly.\No, my injuries pose no problem.\I am more concerned about you, Shirou. Are you all right?\Yeah, I'm okay.\If you are in pain, do not hesitate to speak up.\Sure.\That's a relief... The pain is gone. response:	Yesterday was pretty rough, I guess.
context: You were hurt pretty badly.\No, my injuries pose no problem.\I am more concerned about you, Shirou. Are you all right?\Yeah, I'm okay.\If you are in pain, do not hesitate to speak up.\Sure.\That's a relief... The pain is gone.\Yesterday was pretty rough, I guess. response:	I think I'll make breakfast as thanks.
context: No, my injuries pose no problem.\I am more concerned about you, Shirou. Are you all right?\Yeah, I'm okay.\If you are in pain, do not hesitate to speak up.\Sure.\That's a relief... The pain is gone.\Yesterday was pretty rough, I guess.\I think I'll make breakfast as thanks. response:	Shirou?
context: I am more concerned about you, Shirou. Are you all right?\Yeah, I'm okay.\If you are in pain, do not hesitate to speak up.\Sure.\That's a relief... The pain is gone.\Yesterday was pretty rough, I guess.\I think I'll make breakfast as thanks.\Shirou? response:	Kuzuki-sensei has called in sick today.
context: Yeah, I'm okay.\If you are in pain, do not hesitate to speak up.\Sure.\That's a relief... The pain is gone.\Yesterday was pretty rough, I guess.\I think I'll make breakfast as thanks.\Shirou?\Kuzuki-sensei has called in sick today. response:	Seriously? Kuzuki-sensei did?
context: If you are in pain, do not hesitate to speak up.\Sure.\That's a relief... The pain is gone.\Yesterday was pretty rough, I guess.\I think I'll make breakfast as thanks.\Shirou?\Kuzuki-sensei has called in sick today.\Seriously? Kuzuki-sensei did? response:	Isn't it supposed to snow today?
context: Sure.\That's a relief... The pain is gone.\Yesterday was pretty rough, I guess.\I think I'll make breakfast as thanks.\Shirou?\Kuzuki-sensei has called in sick today.\Seriously? Kuzuki-sensei did?\Isn't it supposed to snow today? response:	Sweet! Study hall!
context: That's a relief... The pain is gone.\Yesterday was pretty rough, I guess.\I think I'll make breakfast as thanks.\Shirou?\Kuzuki-sensei has called in sick today.\Seriously? Kuzuki-sensei did?\Isn't it supposed to snow today?\Sweet! Study hall! response:	Settle down, everyone...
context: Yesterday was pretty rough, I guess.\I think I'll make breakfast as thanks.\Shirou?\Kuzuki-sensei has called in sick today.\Seriously? Kuzuki-sensei did?\Isn't it supposed to snow today?\Sweet! Study hall!\Settle down, everyone... response:	I know that normally, this is your World History class,
context: I think I'll make breakfast as thanks.\Shirou?\Kuzuki-sensei has called in sick today.\Seriously? Kuzuki-sensei did?\Isn't it supposed to snow today?\Sweet! Study hall!\Settle down, everyone...\I know that normally, this is your World History class, response:	but since I'm here, let's have an English pop quiz!
context: Shirou?\Kuzuki-sensei has called in sick today.\Seriously? Kuzuki-sensei did?\Isn't it supposed to snow today?\Sweet! Study hall!\Settle down, everyone...\I know that normally, this is your World History class,\but since I'm here, let's have an English pop quiz! response:	No quizzes!
context: Kuzuki-sensei has called in sick today.\Seriously? Kuzuki-sensei did?\Isn't it supposed to snow today?\Sweet! Study hall!\Settle down, everyone...\I know that normally, this is your World History class,\but since I'm here, let's have an English pop quiz!\No quizzes! response:	Tyrant!
context: Seriously? Kuzuki-sensei did?\Isn't it supposed to snow today?\Sweet! Study hall!\Settle down, everyone...\I know that normally, this is your World History class,\but since I'm here, let's have an English pop quiz!\No quizzes!\Tyrant! response:	Taiga!
context: Isn't it supposed to snow today?\Sweet! Study hall!\Settle down, everyone...\I know that normally, this is your World History class,\but since I'm here, let's have an English pop quiz!\No quizzes!\Tyrant!\Taiga! response:	Shut up!
context: Sweet! Study hall!\Settle down, everyone...\I know that normally, this is your World History class,\but since I'm here, let's have an English pop quiz!\No quizzes!\Tyrant!\Taiga!\Shut up! response:	If I make last period on Saturday study hall, it'll just turn into playtime!
context: Settle down, everyone...\I know that normally, this is your World History class,\but since I'm here, let's have an English pop quiz!\No quizzes!\Tyrant!\Taiga!\Shut up!\If I make last period on Saturday study hall, it'll just turn into playtime! response:	So graciously accept your teacher's kindness!
context: I know that normally, this is your World History class,\but since I'm here, let's have an English pop quiz!\No quizzes!\Tyrant!\Taiga!\Shut up!\If I make last period on Saturday study hall, it'll just turn into playtime!\So graciously accept your teacher's kindness! response:	School has now ended.
context: but since I'm here, let's have an English pop quiz!\No quizzes!\Tyrant!\Taiga!\Shut up!\If I make last period on Saturday study hall, it'll just turn into playtime!\So graciously accept your teacher's kindness!\School has now ended. response:	Students are not permitted to remain on campus after school hours.
context: No quizzes!\Tyrant!\Taiga!\Shut up!\If I make last period on Saturday study hall, it'll just turn into playtime!\So graciously accept your teacher's kindness!\School has now ended.\Students are not permitted to remain on campus after school hours. response:	Please leave immediately.
context: Tyrant!\Taiga!\Shut up!\If I make last period on Saturday study hall, it'll just turn into playtime!\So graciously accept your teacher's kindness!\School has now ended.\Students are not permitted to remain on campus after school hours.\Please leave immediately. response:	Should I be worried?
context: Taiga!\Shut up!\If I make last period on Saturday study hall, it'll just turn into playtime!\So graciously accept your teacher's kindness!\School has now ended.\Students are not permitted to remain on campus after school hours.\Please leave immediately.\Should I be worried? response:	My arm's numb, but somehow, it feels heavier.
context: Shut up!\If I make last period on Saturday study hall, it'll just turn into playtime!\So graciously accept your teacher's kindness!\School has now ended.\Students are not permitted to remain on campus after school hours.\Please leave immediately.\Should I be worried?\My arm's numb, but somehow, it feels heavier. response:	I forgot to talk to Tohsaka.
context: If I make last period on Saturday study hall, it'll just turn into playtime!\So graciously accept your teacher's kindness!\School has now ended.\Students are not permitted to remain on campus after school hours.\Please leave immediately.\Should I be worried?\My arm's numb, but somehow, it feels heavier.\I forgot to talk to Tohsaka. response:	Well, if she didn't come to me, I doubt there were any major developments.
context: So graciously accept your teacher's kindness!\School has now ended.\Students are not permitted to remain on campus after school hours.\Please leave immediately.\Should I be worried?\My arm's numb, but somehow, it feels heavier.\I forgot to talk to Tohsaka.\Well, if she didn't come to me, I doubt there were any major developments. response:	Sorry I'm home late.
context: School has now ended.\Students are not permitted to remain on campus after school hours.\Please leave immediately.\Should I be worried?\My arm's numb, but somehow, it feels heavier.\I forgot to talk to Tohsaka.\Well, if she didn't come to me, I doubt there were any major developments.\Sorry I'm home late. response:	I'll have lunch ready in a minute.
context: Students are not permitted to remain on campus after school hours.\Please leave immediately.\Should I be worried?\My arm's numb, but somehow, it feels heavier.\I forgot to talk to Tohsaka.\Well, if she didn't come to me, I doubt there were any major developments.\Sorry I'm home late.\I'll have lunch ready in a minute. response:	Shirou?
context: Please leave immediately.\Should I be worried?\My arm's numb, but somehow, it feels heavier.\I forgot to talk to Tohsaka.\Well, if she didn't come to me, I doubt there were any major developments.\Sorry I'm home late.\I'll have lunch ready in a minute.\Shirou? response:	That's the first time I've ever broken a dish.
context: Should I be worried?\My arm's numb, but somehow, it feels heavier.\I forgot to talk to Tohsaka.\Well, if she didn't come to me, I doubt there were any major developments.\Sorry I'm home late.\I'll have lunch ready in a minute.\Shirou?\That's the first time I've ever broken a dish. response:	Sorry. I'll clean it up right away.
context: My arm's numb, but somehow, it feels heavier.\I forgot to talk to Tohsaka.\Well, if she didn't come to me, I doubt there were any major developments.\Sorry I'm home late.\I'll have lunch ready in a minute.\Shirou?\That's the first time I've ever broken a dish.\Sorry. I'll clean it up right away. response:	Don't worry about it. Just sit at the table.
context: I forgot to talk to Tohsaka.\Well, if she didn't come to me, I doubt there were any major developments.\Sorry I'm home late.\I'll have lunch ready in a minute.\Shirou?\That's the first time I've ever broken a dish.\Sorry. I'll clean it up right away.\Don't worry about it. Just sit at the table. response:	You must be fatigued, Shirou.
context: Well, if she didn't come to me, I doubt there were any major developments.\Sorry I'm home late.\I'll have lunch ready in a minute.\Shirou?\That's the first time I've ever broken a dish.\Sorry. I'll clean it up right away.\Don't worry about it. Just sit at the table.\You must be fatigued, Shirou. response:	It's all right. I will clean it up.
context: Sorry I'm home late.\I'll have lunch ready in a minute.\Shirou?\That's the first time I've ever broken a dish.\Sorry. I'll clean it up right away.\Don't worry about it. Just sit at the table.\You must be fatigued, Shirou.\It's all right. I will clean it up. response:	Maybe I am tired... Thanks.
context: I'll have lunch ready in a minute.\Shirou?\That's the first time I've ever broken a dish.\Sorry. I'll clean it up right away.\Don't worry about it. Just sit at the table.\You must be fatigued, Shirou.\It's all right. I will clean it up.\Maybe I am tired... Thanks. response:	Coming!
context: Shirou?\That's the first time I've ever broken a dish.\Sorry. I'll clean it up right away.\Don't worry about it. Just sit at the table.\You must be fatigued, Shirou.\It's all right. I will clean it up.\Maybe I am tired... Thanks.\Coming! response:	T-Tohsaka? What are you doing here?
context: That's the first time I've ever broken a dish.\Sorry. I'll clean it up right away.\Don't worry about it. Just sit at the table.\You must be fatigued, Shirou.\It's all right. I will clean it up.\Maybe I am tired... Thanks.\Coming!\T-Tohsaka? What are you doing here? response:	I'm here because you stood me up at our regular check-in.
context: Sorry. I'll clean it up right away.\Don't worry about it. Just sit at the table.\You must be fatigued, Shirou.\It's all right. I will clean it up.\Maybe I am tired... Thanks.\Coming!\T-Tohsaka? What are you doing here?\I'm here because you stood me up at our regular check-in. response:	Stood you up?
context: Don't worry about it. Just sit at the table.\You must be fatigued, Shirou.\It's all right. I will clean it up.\Maybe I am tired... Thanks.\Coming!\T-Tohsaka? What are you doing here?\I'm here because you stood me up at our regular check-in.\Stood you up? response:	Okay, I admit that I forgot to meet you...
context: You must be fatigued, Shirou.\It's all right. I will clean it up.\Maybe I am tired... Thanks.\Coming!\T-Tohsaka? What are you doing here?\I'm here because you stood me up at our regular check-in.\Stood you up?\Okay, I admit that I forgot to meet you... response:	But did we agree on regular check-ins?
context: It's all right. I will clean it up.\Maybe I am tired... Thanks.\Coming!\T-Tohsaka? What are you doing here?\I'm here because you stood me up at our regular check-in.\Stood you up?\Okay, I admit that I forgot to meet you...\But did we agree on regular check-ins? response:	Sorry! I apologize for forgetting.
context: Maybe I am tired... Thanks.\Coming!\T-Tohsaka? What are you doing here?\I'm here because you stood me up at our regular check-in.\Stood you up?\Okay, I admit that I forgot to meet you...\But did we agree on regular check-ins?\Sorry! I apologize for forgetting. response:	As your partner, I should check in with you regularly.
context: Coming!\T-Tohsaka? What are you doing here?\I'm here because you stood me up at our regular check-in.\Stood you up?\Okay, I admit that I forgot to meet you...\But did we agree on regular check-ins?\Sorry! I apologize for forgetting.\As your partner, I should check in with you regularly. response:	Let's use this opportunity to hold our meeting here today.
context: T-Tohsaka? What are you doing here?\I'm here because you stood me up at our regular check-in.\Stood you up?\Okay, I admit that I forgot to meet you...\But did we agree on regular check-ins?\Sorry! I apologize for forgetting.\As your partner, I should check in with you regularly.\Let's use this opportunity to hold our meeting here today. response:	Hang on, we were just about to have lunch!
context: I'm here because you stood me up at our regular check-in.\Stood you up?\Okay, I admit that I forgot to meet you...\But did we agree on regular check-ins?\Sorry! I apologize for forgetting.\As your partner, I should check in with you regularly.\Let's use this opportunity to hold our meeting here today.\Hang on, we were just about to have lunch! response:	That's perfect.
context: Stood you up?\Okay, I admit that I forgot to meet you...\But did we agree on regular check-ins?\Sorry! I apologize for forgetting.\As your partner, I should check in with you regularly.\Let's use this opportunity to hold our meeting here today.\Hang on, we were just about to have lunch!\That's perfect. response:	I haven't had lunch yet,
context: Okay, I admit that I forgot to meet you...\But did we agree on regular check-ins?\Sorry! I apologize for forgetting.\As your partner, I should check in with you regularly.\Let's use this opportunity to hold our meeting here today.\Hang on, we were just about to have lunch!\That's perfect.\I haven't had lunch yet, response:	so I'll join you.
context: But did we agree on regular check-ins?\Sorry! I apologize for forgetting.\As your partner, I should check in with you regularly.\Let's use this opportunity to hold our meeting here today.\Hang on, we were just about to have lunch!\That's perfect.\I haven't had lunch yet,\so I'll join you. response:	Hey, not so fast!
context: Sorry! I apologize for forgetting.\As your partner, I should check in with you regularly.\Let's use this opportunity to hold our meeting here today.\Hang on, we were just about to have lunch!\That's perfect.\I haven't had lunch yet,\so I'll join you.\Hey, not so fast! response:	So in the end, our only option against Caster is to resort to using force.
