context: Space-time fluctuation confirmed. response:	Bearing 012, distance 4,500.
context: Space-time fluctuation confirmed.\Bearing 012, distance 4,500. response:	It's coming.
context: Space-time fluctuation confirmed.\Bearing 012, distance 4,500.\It's coming. response:	It's big.
context: Space-time fluctuation confirmed.\Bearing 012, distance 4,500.\It's coming.\It's big. response:	Dragons have emerged. One Brig-class, 30 Scuna-class.
context: Space-time fluctuation confirmed.\Bearing 012, distance 4,500.\It's coming.\It's big.\Dragons have emerged. One Brig-class, 30 Scuna-class. response:	Brig-class? What about Galleon-class?
context: Space-time fluctuation confirmed.\Bearing 012, distance 4,500.\It's coming.\It's big.\Dragons have emerged. One Brig-class, 30 Scuna-class.\Brig-class? What about Galleon-class? response:	There are lots of small ones...
context: Space-time fluctuation confirmed.\Bearing 012, distance 4,500.\It's coming.\It's big.\Dragons have emerged. One Brig-class, 30 Scuna-class.\Brig-class? What about Galleon-class?\There are lots of small ones... response:	No whining.
context: Space-time fluctuation confirmed.\Bearing 012, distance 4,500.\It's coming.\It's big.\Dragons have emerged. One Brig-class, 30 Scuna-class.\Brig-class? What about Galleon-class?\There are lots of small ones...\No whining. response:	Captain to all units.
context: Bearing 012, distance 4,500.\It's coming.\It's big.\Dragons have emerged. One Brig-class, 30 Scuna-class.\Brig-class? What about Galleon-class?\There are lots of small ones...\No whining.\Captain to all units. response:	Open fire and destroy all enemies.
context: It's coming.\It's big.\Dragons have emerged. One Brig-class, 30 Scuna-class.\Brig-class? What about Galleon-class?\There are lots of small ones...\No whining.\Captain to all units.\Open fire and destroy all enemies. response:	Safeties open.
context: It's big.\Dragons have emerged. One Brig-class, 30 Scuna-class.\Brig-class? What about Galleon-class?\There are lots of small ones...\No whining.\Captain to all units.\Open fire and destroy all enemies.\Safeties open. response:	Yes, ma'am!
context: Dragons have emerged. One Brig-class, 30 Scuna-class.\Brig-class? What about Galleon-class?\There are lots of small ones...\No whining.\Captain to all units.\Open fire and destroy all enemies.\Safeties open.\Yes, ma'am! response:	Update data confirmed, sight line type G.
context: Brig-class? What about Galleon-class?\There are lots of small ones...\No whining.\Captain to all units.\Open fire and destroy all enemies.\Safeties open.\Yes, ma'am!\Update data confirmed, sight line type G. response:	Parallax compensation, sight line type G.
context: There are lots of small ones...\No whining.\Captain to all units.\Open fire and destroy all enemies.\Safeties open.\Yes, ma'am!\Update data confirmed, sight line type G.\Parallax compensation, sight line type G. response:	Fire.
