context: It's finally the second semester... response:	I'm not too sure if I feel happy or empty... it's a complicated feeling.
context: It's finally the second semester...\I'm not too sure if I feel happy or empty... it's a complicated feeling. response:	Hey, Tsukune.
context: It's finally the second semester...\I'm not too sure if I feel happy or empty... it's a complicated feeling.\Hey, Tsukune. response:	When you went to the human world, you didn't stop by your home; was that all right?
context: It's finally the second semester...\I'm not too sure if I feel happy or empty... it's a complicated feeling.\Hey, Tsukune.\When you went to the human world, you didn't stop by your home; was that all right? response:	Hello? This is the Aono Residence.
context: It's finally the second semester...\I'm not too sure if I feel happy or empty... it's a complicated feeling.\Hey, Tsukune.\When you went to the human world, you didn't stop by your home; was that all right?\Hello? This is the Aono Residence. response:	Ah, Mom?
context: It's finally the second semester...\I'm not too sure if I feel happy or empty... it's a complicated feeling.\Hey, Tsukune.\When you went to the human world, you didn't stop by your home; was that all right?\Hello? This is the Aono Residence.\Ah, Mom? response:	Oh, if it isn't Tsukune! I heard you're on summer vacation, but when are you coming back?
context: It's finally the second semester...\I'm not too sure if I feel happy or empty... it's a complicated feeling.\Hey, Tsukune.\When you went to the human world, you didn't stop by your home; was that all right?\Hello? This is the Aono Residence.\Ah, Mom?\Oh, if it isn't Tsukune! I heard you're on summer vacation, but when are you coming back? response:	About that...
context: It's finally the second semester...\I'm not too sure if I feel happy or empty... it's a complicated feeling.\Hey, Tsukune.\When you went to the human world, you didn't stop by your home; was that all right?\Hello? This is the Aono Residence.\Ah, Mom?\Oh, if it isn't Tsukune! I heard you're on summer vacation, but when are you coming back?\About that... response:	I was nearby, but I decided not to come visit.
context: I'm not too sure if I feel happy or empty... it's a complicated feeling.\Hey, Tsukune.\When you went to the human world, you didn't stop by your home; was that all right?\Hello? This is the Aono Residence.\Ah, Mom?\Oh, if it isn't Tsukune! I heard you're on summer vacation, but when are you coming back?\About that...\I was nearby, but I decided not to come visit. response:	Oh my! Well, if you're doing fine that's good...
context: Hey, Tsukune.\When you went to the human world, you didn't stop by your home; was that all right?\Hello? This is the Aono Residence.\Ah, Mom?\Oh, if it isn't Tsukune! I heard you're on summer vacation, but when are you coming back?\About that...\I was nearby, but I decided not to come visit.\Oh my! Well, if you're doing fine that's good... response:	Of course I'm doing fine.
context: When you went to the human world, you didn't stop by your home; was that all right?\Hello? This is the Aono Residence.\Ah, Mom?\Oh, if it isn't Tsukune! I heard you're on summer vacation, but when are you coming back?\About that...\I was nearby, but I decided not to come visit.\Oh my! Well, if you're doing fine that's good...\Of course I'm doing fine. response:	I've made lots of friends, entered the Newspaper Club, and cheerfully make newspapers with everybody...
context: Hello? This is the Aono Residence.\Ah, Mom?\Oh, if it isn't Tsukune! I heard you're on summer vacation, but when are you coming back?\About that...\I was nearby, but I decided not to come visit.\Oh my! Well, if you're doing fine that's good...\Of course I'm doing fine.\I've made lots of friends, entered the Newspaper Club, and cheerfully make newspapers with everybody... response:	It's very fun!
context: Ah, Mom?\Oh, if it isn't Tsukune! I heard you're on summer vacation, but when are you coming back?\About that...\I was nearby, but I decided not to come visit.\Oh my! Well, if you're doing fine that's good...\Of course I'm doing fine.\I've made lots of friends, entered the Newspaper Club, and cheerfully make newspapers with everybody...\It's very fun! response:	Why were you spacing out?
context: Oh, if it isn't Tsukune! I heard you're on summer vacation, but when are you coming back?\About that...\I was nearby, but I decided not to come visit.\Oh my! Well, if you're doing fine that's good...\Of course I'm doing fine.\I've made lots of friends, entered the Newspaper Club, and cheerfully make newspapers with everybody...\It's very fun!\Why were you spacing out? response:	Ah, it's nothing!
context: About that...\I was nearby, but I decided not to come visit.\Oh my! Well, if you're doing fine that's good...\Of course I'm doing fine.\I've made lots of friends, entered the Newspaper Club, and cheerfully make newspapers with everybody...\It's very fun!\Why were you spacing out?\Ah, it's nothing! response:	That's fine then...
context: I was nearby, but I decided not to come visit.\Oh my! Well, if you're doing fine that's good...\Of course I'm doing fine.\I've made lots of friends, entered the Newspaper Club, and cheerfully make newspapers with everybody...\It's very fun!\Why were you spacing out?\Ah, it's nothing!\That's fine then... response:	When I see your face...
context: Oh my! Well, if you're doing fine that's good...\Of course I'm doing fine.\I've made lots of friends, entered the Newspaper Club, and cheerfully make newspapers with everybody...\It's very fun!\Why were you spacing out?\Ah, it's nothing!\That's fine then...\When I see your face... response:	You're not going to-
context: Of course I'm doing fine.\I've made lots of friends, entered the Newspaper Club, and cheerfully make newspapers with everybody...\It's very fun!\Why were you spacing out?\Ah, it's nothing!\That's fine then...\When I see your face...\You're not going to- response:	Sorry, Tsukune!
context: I've made lots of friends, entered the Newspaper Club, and cheerfully make newspapers with everybody...\It's very fun!\Why were you spacing out?\Ah, it's nothing!\That's fine then...\When I see your face...\You're not going to-\Sorry, Tsukune! response:	Right from the start of the semester?!
context: It's very fun!\Why were you spacing out?\Ah, it's nothing!\That's fine then...\When I see your face...\You're not going to-\Sorry, Tsukune!\Right from the start of the semester?! response:	Someday, Moka and I will graduate from this academy.
context: Why were you spacing out?\Ah, it's nothing!\That's fine then...\When I see your face...\You're not going to-\Sorry, Tsukune!\Right from the start of the semester?!\Someday, Moka and I will graduate from this academy. response:	It's also possible that the human and monster worlds will become separated.
context: Ah, it's nothing!\That's fine then...\When I see your face...\You're not going to-\Sorry, Tsukune!\Right from the start of the semester?!\Someday, Moka and I will graduate from this academy.\It's also possible that the human and monster worlds will become separated. response:	That's why I decided to make as many happy memories as I can while I'm still here!
