context: Hang in there! response:	Reach out your hand!
context: Hang in there!\Reach out your hand! response:	Trouble in the Netherworld.
context: Hang in there!\Reach out your hand!\Trouble in the Netherworld. response:	You tell me your name too!
context: Hang in there!\Reach out your hand!\Trouble in the Netherworld.\You tell me your name too! response:	What's a human doing in the world of the dead?
context: Hang in there!\Reach out your hand!\Trouble in the Netherworld.\You tell me your name too!\What's a human doing in the world of the dead? response:	I'm Kirihito.
context: Hang in there!\Reach out your hand!\Trouble in the Netherworld.\You tell me your name too!\What's a human doing in the world of the dead?\I'm Kirihito. response:	Cool name.
context: Hang in there!\Reach out your hand!\Trouble in the Netherworld.\You tell me your name too!\What's a human doing in the world of the dead?\I'm Kirihito.\Cool name. response:	We have been waiting for you.
context: Hang in there!\Reach out your hand!\Trouble in the Netherworld.\You tell me your name too!\What's a human doing in the world of the dead?\I'm Kirihito.\Cool name.\We have been waiting for you. response:	Our lady and mistress, the presiding goddess of the Netherworld, Lady Izanami...
context: Reach out your hand!\Trouble in the Netherworld.\You tell me your name too!\What's a human doing in the world of the dead?\I'm Kirihito.\Cool name.\We have been waiting for you.\Our lady and mistress, the presiding goddess of the Netherworld, Lady Izanami... response:	I got a bad feeling about this.
context: Trouble in the Netherworld.\You tell me your name too!\What's a human doing in the world of the dead?\I'm Kirihito.\Cool name.\We have been waiting for you.\Our lady and mistress, the presiding goddess of the Netherworld, Lady Izanami...\I got a bad feeling about this. response:	I wonder what's happening on this world
context: You tell me your name too!\What's a human doing in the world of the dead?\I'm Kirihito.\Cool name.\We have been waiting for you.\Our lady and mistress, the presiding goddess of the Netherworld, Lady Izanami...\I got a bad feeling about this.\I wonder what's happening on this world response:	I wonder what's happening on this world
context: What's a human doing in the world of the dead?\I'm Kirihito.\Cool name.\We have been waiting for you.\Our lady and mistress, the presiding goddess of the Netherworld, Lady Izanami...\I got a bad feeling about this.\I wonder what's happening on this world\I wonder what's happening on this world response:	I fly through the sky into space
context: I'm Kirihito.\Cool name.\We have been waiting for you.\Our lady and mistress, the presiding goddess of the Netherworld, Lady Izanami...\I got a bad feeling about this.\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space response:	I fly through the sky into space
context: Cool name.\We have been waiting for you.\Our lady and mistress, the presiding goddess of the Netherworld, Lady Izanami...\I got a bad feeling about this.\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space response:	and circle the world
context: We have been waiting for you.\Our lady and mistress, the presiding goddess of the Netherworld, Lady Izanami...\I got a bad feeling about this.\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world response:	and circle the world
context: Our lady and mistress, the presiding goddess of the Netherworld, Lady Izanami...\I got a bad feeling about this.\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world response:	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
context: I got a bad feeling about this.\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday response:	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
context: I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday response:	With my periodic biorhythm
context: I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm response:	With my periodic biorhythm
context: I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm response:	I'm like a washing machine
