context: We're dividing up into two? response:	Yeah. The waterway is a big place.
context: We're dividing up into two?\Yeah. The waterway is a big place. response:	The rabbit and number 745-
context: We're dividing up into two?\Yeah. The waterway is a big place.\The rabbit and number 745- response:	Nothing would be better than disposing of the both of them.
context: We're dividing up into two?\Yeah. The waterway is a big place.\The rabbit and number 745-\Nothing would be better than disposing of the both of them. response:	Are you sure they'll show up?
context: We're dividing up into two?\Yeah. The waterway is a big place.\The rabbit and number 745-\Nothing would be better than disposing of the both of them.\Are you sure they'll show up? response:	My instinct says yes.
context: We're dividing up into two?\Yeah. The waterway is a big place.\The rabbit and number 745-\Nothing would be better than disposing of the both of them.\Are you sure they'll show up?\My instinct says yes. response:	Very well.
context: We're dividing up into two?\Yeah. The waterway is a big place.\The rabbit and number 745-\Nothing would be better than disposing of the both of them.\Are you sure they'll show up?\My instinct says yes.\Very well. response:	All right, let's go.
context: We're dividing up into two?\Yeah. The waterway is a big place.\The rabbit and number 745-\Nothing would be better than disposing of the both of them.\Are you sure they'll show up?\My instinct says yes.\Very well.\All right, let's go. response:	Mr. Mado, what are those?
context: Yeah. The waterway is a big place.\The rabbit and number 745-\Nothing would be better than disposing of the both of them.\Are you sure they'll show up?\My instinct says yes.\Very well.\All right, let's go.\Mr. Mado, what are those? response:	Better that you don't know.
context: The rabbit and number 745-\Nothing would be better than disposing of the both of them.\Are you sure they'll show up?\My instinct says yes.\Very well.\All right, let's go.\Mr. Mado, what are those?\Better that you don't know. response:	Mom?
context: Nothing would be better than disposing of the both of them.\Are you sure they'll show up?\My instinct says yes.\Very well.\All right, let's go.\Mr. Mado, what are those?\Better that you don't know.\Mom? response:	Touka...
context: Are you sure they'll show up?\My instinct says yes.\Very well.\All right, let's go.\Mr. Mado, what are those?\Better that you don't know.\Mom?\Touka... response:	Where have you been?
context: My instinct says yes.\Very well.\All right, let's go.\Mr. Mado, what are those?\Better that you don't know.\Mom?\Touka...\Where have you been? response:	None of your business.
context: Very well.\All right, let's go.\Mr. Mado, what are those?\Better that you don't know.\Mom?\Touka...\Where have you been?\None of your business. response:	If there's anything that I can do...
context: All right, let's go.\Mr. Mado, what are those?\Better that you don't know.\Mom?\Touka...\Where have you been?\None of your business.\If there's anything that I can do... response:	There probably isn't anything that you can do now.
context: Mr. Mado, what are those?\Better that you don't know.\Mom?\Touka...\Where have you been?\None of your business.\If there's anything that I can do...\There probably isn't anything that you can do now. response:	Hinami?
context: Better that you don't know.\Mom?\Touka...\Where have you been?\None of your business.\If there's anything that I can do...\There probably isn't anything that you can do now.\Hinami? response:	Hinami!
context: Mom?\Touka...\Where have you been?\None of your business.\If there's anything that I can do...\There probably isn't anything that you can do now.\Hinami?\Hinami! response:	Why?
context: Touka...\Where have you been?\None of your business.\If there's anything that I can do...\There probably isn't anything that you can do now.\Hinami?\Hinami!\Why? response:	Tell me, oh tell me, the way it works
context: Where have you been?\None of your business.\If there's anything that I can do...\There probably isn't anything that you can do now.\Hinami?\Hinami!\Why?\Tell me, oh tell me, the way it works response:	Who is that inside of me?
context: None of your business.\If there's anything that I can do...\There probably isn't anything that you can do now.\Hinami?\Hinami!\Why?\Tell me, oh tell me, the way it works\Who is that inside of me? response:	Here in this broken-down, broken-down world,
context: If there's anything that I can do...\There probably isn't anything that you can do now.\Hinami?\Hinami!\Why?\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world, response:	you laugh, without seeing a thing
context: There probably isn't anything that you can do now.\Hinami?\Hinami!\Why?\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing response:	I'm just so damaged, I hold my breath and freeze
context: Hinami?\Hinami!\Why?\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze response:	Breakable, unbreakable; shakable, unshakable
context: Hinami!\Why?\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable response:	When I found you, it shook me
context: Why?\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me response:	In this twisted world, I'm gradually growing transparent and vanishing
context: Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing response:	Don't look for me; don't look at me
context: Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me response:	I don't wish to hurt you in a world
context: Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world response:	of someone else's imagining
context: you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining response:	Remember who I am
context: I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am response:	Hinami...
context: Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\Hinami... response:	Touka!
context: When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\Hinami...\Touka! response:	No good! She's not here, either! How about you?
context: In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\Hinami...\Touka!\No good! She's not here, either! How about you? response:	Where is she?
context: Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\Hinami...\Touka!\No good! She's not here, either! How about you?\Where is she? response:	You don't suppose...
context: I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\Hinami...\Touka!\No good! She's not here, either! How about you?\Where is she?\You don't suppose... response:	Where is this?
context: of someone else's imagining\Remember who I am\Hinami...\Touka!\No good! She's not here, either! How about you?\Where is she?\You don't suppose...\Where is this? response:	Th-This is where Mrs. Ryoko...
context: Remember who I am\Hinami...\Touka!\No good! She's not here, either! How about you?\Where is she?\You don't suppose...\Where is this?\Th-This is where Mrs. Ryoko... response:	Hinami...
context: Hinami...\Touka!\No good! She's not here, either! How about you?\Where is she?\You don't suppose...\Where is this?\Th-This is where Mrs. Ryoko...\Hinami... response:	Nobody else...
context: Touka!\No good! She's not here, either! How about you?\Where is she?\You don't suppose...\Where is this?\Th-This is where Mrs. Ryoko...\Hinami...\Nobody else... response:	That's close!
context: No good! She's not here, either! How about you?\Where is she?\You don't suppose...\Where is this?\Th-This is where Mrs. Ryoko...\Hinami...\Nobody else...\That's close! response:	Where is she?
context: Where is she?\You don't suppose...\Where is this?\Th-This is where Mrs. Ryoko...\Hinami...\Nobody else...\That's close!\Where is she? response:	Touka?
context: You don't suppose...\Where is this?\Th-This is where Mrs. Ryoko...\Hinami...\Nobody else...\That's close!\Where is she?\Touka? response:	Is that...?
context: Where is this?\Th-This is where Mrs. Ryoko...\Hinami...\Nobody else...\That's close!\Where is she?\Touka?\Is that...? response:	The man from before! This is bad!
context: Th-This is where Mrs. Ryoko...\Hinami...\Nobody else...\That's close!\Where is she?\Touka?\Is that...?\The man from before! This is bad! response:	Hinami!
context: Hinami...\Nobody else...\That's close!\Where is she?\Touka?\Is that...?\The man from before! This is bad!\Hinami! response:	That agility! It's the rabbit, all right!
context: Nobody else...\That's close!\Where is she?\Touka?\Is that...?\The man from before! This is bad!\Hinami!\That agility! It's the rabbit, all right! response:	Who are you?
context: That's close!\Where is she?\Touka?\Is that...?\The man from before! This is bad!\Hinami!\That agility! It's the rabbit, all right!\Who are you? response:	Hinami...
context: Where is she?\Touka?\Is that...?\The man from before! This is bad!\Hinami!\That agility! It's the rabbit, all right!\Who are you?\Hinami... response:	Hinami, what is that?
context: Touka?\Is that...?\The man from before! This is bad!\Hinami!\That agility! It's the rabbit, all right!\Who are you?\Hinami...\Hinami, what is that? response:	It's... Mom...
context: Is that...?\The man from before! This is bad!\Hinami!\That agility! It's the rabbit, all right!\Who are you?\Hinami...\Hinami, what is that?\It's... Mom... response:	Let's go, Hinami!
context: The man from before! This is bad!\Hinami!\That agility! It's the rabbit, all right!\Who are you?\Hinami...\Hinami, what is that?\It's... Mom...\Let's go, Hinami! response:	It's too dangerous here.
context: Hinami!\That agility! It's the rabbit, all right!\Who are you?\Hinami...\Hinami, what is that?\It's... Mom...\Let's go, Hinami!\It's too dangerous here. response:	No!
context: That agility! It's the rabbit, all right!\Who are you?\Hinami...\Hinami, what is that?\It's... Mom...\Let's go, Hinami!\It's too dangerous here.\No! response:	Is it wrong for ghouls to live?
context: Who are you?\Hinami...\Hinami, what is that?\It's... Mom...\Let's go, Hinami!\It's too dangerous here.\No!\Is it wrong for ghouls to live? response:	I want to go be with Mom.
context: Hinami...\Hinami, what is that?\It's... Mom...\Let's go, Hinami!\It's too dangerous here.\No!\Is it wrong for ghouls to live?\I want to go be with Mom. response:	Take me there. Take me where Mom is.
context: Hinami, what is that?\It's... Mom...\Let's go, Hinami!\It's too dangerous here.\No!\Is it wrong for ghouls to live?\I want to go be with Mom.\Take me there. Take me where Mom is. response:	I'm begging you.
context: It's... Mom...\Let's go, Hinami!\It's too dangerous here.\No!\Is it wrong for ghouls to live?\I want to go be with Mom.\Take me there. Take me where Mom is.\I'm begging you. response:	Hinami...
context: Let's go, Hinami!\It's too dangerous here.\No!\Is it wrong for ghouls to live?\I want to go be with Mom.\Take me there. Take me where Mom is.\I'm begging you.\Hinami... response:	I miss... Mom.
context: It's too dangerous here.\No!\Is it wrong for ghouls to live?\I want to go be with Mom.\Take me there. Take me where Mom is.\I'm begging you.\Hinami...\I miss... Mom. response:	One of the rabbit's friends?
context: No!\Is it wrong for ghouls to live?\I want to go be with Mom.\Take me there. Take me where Mom is.\I'm begging you.\Hinami...\I miss... Mom.\One of the rabbit's friends? response:	I don't have time to waste with you. Why don't you step aside?
context: Is it wrong for ghouls to live?\I want to go be with Mom.\Take me there. Take me where Mom is.\I'm begging you.\Hinami...\I miss... Mom.\One of the rabbit's friends?\I don't have time to waste with you. Why don't you step aside? response:	You're not going anywhere!
context: I want to go be with Mom.\Take me there. Take me where Mom is.\I'm begging you.\Hinami...\I miss... Mom.\One of the rabbit's friends?\I don't have time to waste with you. Why don't you step aside?\You're not going anywhere! response:	Has your wound healed yet, rabbit?
context: Take me there. Take me where Mom is.\I'm begging you.\Hinami...\I miss... Mom.\One of the rabbit's friends?\I don't have time to waste with you. Why don't you step aside?\You're not going anywhere!\Has your wound healed yet, rabbit? response:	Trying to lure us out here with false stories
context: I'm begging you.\Hinami...\I miss... Mom.\One of the rabbit's friends?\I don't have time to waste with you. Why don't you step aside?\You're not going anywhere!\Has your wound healed yet, rabbit?\Trying to lure us out here with false stories response:	is a ploy so cheap as to be pitiful.
context: Hinami...\I miss... Mom.\One of the rabbit's friends?\I don't have time to waste with you. Why don't you step aside?\You're not going anywhere!\Has your wound healed yet, rabbit?\Trying to lure us out here with false stories\is a ploy so cheap as to be pitiful. response:	Childish, childish.
