context: Otani-kun. response:	Good morning!
context: Otani-kun.\Good morning! response:	Gross!
context: Otani-kun.\Good morning!\Gross! response:	What do you mean, gross?
context: Otani-kun.\Good morning!\Gross!\What do you mean, gross? response:	Is that the kind of attitude you should have towards your girlfriend?
context: Otani-kun.\Good morning!\Gross!\What do you mean, gross?\Is that the kind of attitude you should have towards your girlfriend? response:	Don't you think your attitude is a little arrogant?
context: Otani-kun.\Good morning!\Gross!\What do you mean, gross?\Is that the kind of attitude you should have towards your girlfriend?\Don't you think your attitude is a little arrogant? response:	I've suffered a lot up till now.
context: Otani-kun.\Good morning!\Gross!\What do you mean, gross?\Is that the kind of attitude you should have towards your girlfriend?\Don't you think your attitude is a little arrogant?\I've suffered a lot up till now. response:	I need compensation.
context: Otani-kun.\Good morning!\Gross!\What do you mean, gross?\Is that the kind of attitude you should have towards your girlfriend?\Don't you think your attitude is a little arrogant?\I've suffered a lot up till now.\I need compensation. response:	What do you mean, compensation?
context: Good morning!\Gross!\What do you mean, gross?\Is that the kind of attitude you should have towards your girlfriend?\Don't you think your attitude is a little arrogant?\I've suffered a lot up till now.\I need compensation.\What do you mean, compensation? response:	A-chan!
context: Gross!\What do you mean, gross?\Is that the kind of attitude you should have towards your girlfriend?\Don't you think your attitude is a little arrogant?\I've suffered a lot up till now.\I need compensation.\What do you mean, compensation?\A-chan! response:	Good morning.
context: What do you mean, gross?\Is that the kind of attitude you should have towards your girlfriend?\Don't you think your attitude is a little arrogant?\I've suffered a lot up till now.\I need compensation.\What do you mean, compensation?\A-chan!\Good morning. response:	Ah, this girl is...
context: Is that the kind of attitude you should have towards your girlfriend?\Don't you think your attitude is a little arrogant?\I've suffered a lot up till now.\I need compensation.\What do you mean, compensation?\A-chan!\Good morning.\Ah, this girl is... response:	Meimei-chan!
context: Don't you think your attitude is a little arrogant?\I've suffered a lot up till now.\I need compensation.\What do you mean, compensation?\A-chan!\Good morning.\Ah, this girl is...\Meimei-chan! response:	It's Mimi!
context: I've suffered a lot up till now.\I need compensation.\What do you mean, compensation?\A-chan!\Good morning.\Ah, this girl is...\Meimei-chan!\It's Mimi! response:	Your girlfriend sure is funny.
context: I need compensation.\What do you mean, compensation?\A-chan!\Good morning.\Ah, this girl is...\Meimei-chan!\It's Mimi!\Your girlfriend sure is funny. response:	Oh no! We're gonna be late!
context: What do you mean, compensation?\A-chan!\Good morning.\Ah, this girl is...\Meimei-chan!\It's Mimi!\Your girlfriend sure is funny.\Oh no! We're gonna be late! response:	That's because you took so long.
context: A-chan!\Good morning.\Ah, this girl is...\Meimei-chan!\It's Mimi!\Your girlfriend sure is funny.\Oh no! We're gonna be late!\That's because you took so long. response:	That's because you were being stupid.
