context: OP response:	ED
context: OP\ED response:	Log on to www.ruri-subs.com or visit us at
context: OP\ED\Log on to www.ruri-subs.com or visit us at response:	Fansubbed by Ruri Subs
context: OP\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs response:	The Princess Recovery Battle has ended peacefully!
context: OP\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\The Princess Recovery Battle has ended peacefully! response:	That's worth a celebration.
context: OP\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\The Princess Recovery Battle has ended peacefully!\That's worth a celebration. response:	The most important thing is that the princess's concert went smoothly.
context: OP\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\The Princess Recovery Battle has ended peacefully!\That's worth a celebration.\The most important thing is that the princess's concert went smoothly. response:	From here on, it'll be happily ever after. At least, I'd love it if that happened.
context: OP\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\The Princess Recovery Battle has ended peacefully!\That's worth a celebration.\The most important thing is that the princess's concert went smoothly.\From here on, it'll be happily ever after. At least, I'd love it if that happened. response:	Right.
context: ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\The Princess Recovery Battle has ended peacefully!\That's worth a celebration.\The most important thing is that the princess's concert went smoothly.\From here on, it'll be happily ever after. At least, I'd love it if that happened.\Right. response:	Star Reading Princess
context: Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\The Princess Recovery Battle has ended peacefully!\That's worth a celebration.\The most important thing is that the princess's concert went smoothly.\From here on, it'll be happily ever after. At least, I'd love it if that happened.\Right.\Star Reading Princess response:	After the Myon Castle Battle and the princess's concert,
context: Fansubbed by Ruri Subs\The Princess Recovery Battle has ended peacefully!\That's worth a celebration.\The most important thing is that the princess's concert went smoothly.\From here on, it'll be happily ever after. At least, I'd love it if that happened.\Right.\Star Reading Princess\After the Myon Castle Battle and the princess's concert, response:	the Galette Army that had previously remained
context: The Princess Recovery Battle has ended peacefully!\That's worth a celebration.\The most important thing is that the princess's concert went smoothly.\From here on, it'll be happily ever after. At least, I'd love it if that happened.\Right.\Star Reading Princess\After the Myon Castle Battle and the princess's concert,\the Galette Army that had previously remained response:	has begun to back out too!
context: That's worth a celebration.\The most important thing is that the princess's concert went smoothly.\From here on, it'll be happily ever after. At least, I'd love it if that happened.\Right.\Star Reading Princess\After the Myon Castle Battle and the princess's concert,\the Galette Army that had previously remained\has begun to back out too! response:	And here, at an audience with the princess...
context: The most important thing is that the princess's concert went smoothly.\From here on, it'll be happily ever after. At least, I'd love it if that happened.\Right.\Star Reading Princess\After the Myon Castle Battle and the princess's concert,\the Galette Army that had previously remained\has begun to back out too!\And here, at an audience with the princess... response:	Knights of Biscotti.
context: From here on, it'll be happily ever after. At least, I'd love it if that happened.\Right.\Star Reading Princess\After the Myon Castle Battle and the princess's concert,\the Galette Army that had previously remained\has begun to back out too!\And here, at an audience with the princess...\Knights of Biscotti. response:	None of you gave up despite our continuous losses in the battle,
context: Right.\Star Reading Princess\After the Myon Castle Battle and the princess's concert,\the Galette Army that had previously remained\has begun to back out too!\And here, at an audience with the princess...\Knights of Biscotti.\None of you gave up despite our continuous losses in the battle, response:	so the credit of our victory goes to all of you.
context: Star Reading Princess\After the Myon Castle Battle and the princess's concert,\the Galette Army that had previously remained\has begun to back out too!\And here, at an audience with the princess...\Knights of Biscotti.\None of you gave up despite our continuous losses in the battle,\so the credit of our victory goes to all of you. response:	Thank you.
context: After the Myon Castle Battle and the princess's concert,\the Galette Army that had previously remained\has begun to back out too!\And here, at an audience with the princess...\Knights of Biscotti.\None of you gave up despite our continuous losses in the battle,\so the credit of our victory goes to all of you.\Thank you. response:	Let us proceed with the award presentation.
context: the Galette Army that had previously remained\has begun to back out too!\And here, at an audience with the princess...\Knights of Biscotti.\None of you gave up despite our continuous losses in the battle,\so the credit of our victory goes to all of you.\Thank you.\Let us proceed with the award presentation. response:	Leader of the Knights, Laurent Martinozzi, please come forward.
context: has begun to back out too!\And here, at an audience with the princess...\Knights of Biscotti.\None of you gave up despite our continuous losses in the battle,\so the credit of our victory goes to all of you.\Thank you.\Let us proceed with the award presentation.\Leader of the Knights, Laurent Martinozzi, please come forward. response:	Yes, sir!
context: And here, at an audience with the princess...\Knights of Biscotti.\None of you gave up despite our continuous losses in the battle,\so the credit of our victory goes to all of you.\Thank you.\Let us proceed with the award presentation.\Leader of the Knights, Laurent Martinozzi, please come forward.\Yes, sir! response:	They're actually doing this ceremony in order.
context: Knights of Biscotti.\None of you gave up despite our continuous losses in the battle,\so the credit of our victory goes to all of you.\Thank you.\Let us proceed with the award presentation.\Leader of the Knights, Laurent Martinozzi, please come forward.\Yes, sir!\They're actually doing this ceremony in order. response:	Sir Hero, what kind of a country did you think we were?
context: None of you gave up despite our continuous losses in the battle,\so the credit of our victory goes to all of you.\Thank you.\Let us proceed with the award presentation.\Leader of the Knights, Laurent Martinozzi, please come forward.\Yes, sir!\They're actually doing this ceremony in order.\Sir Hero, what kind of a country did you think we were? response:	This is a national affair.
context: so the credit of our victory goes to all of you.\Thank you.\Let us proceed with the award presentation.\Leader of the Knights, Laurent Martinozzi, please come forward.\Yes, sir!\They're actually doing this ceremony in order.\Sir Hero, what kind of a country did you think we were?\This is a national affair. response:	Of course everything needs to be done orderly.
context: Thank you.\Let us proceed with the award presentation.\Leader of the Knights, Laurent Martinozzi, please come forward.\Yes, sir!\They're actually doing this ceremony in order.\Sir Hero, what kind of a country did you think we were?\This is a national affair.\Of course everything needs to be done orderly. response:	Captain of the Imperial Guards, Lady Eclair Martinozzi.
context: Let us proceed with the award presentation.\Leader of the Knights, Laurent Martinozzi, please come forward.\Yes, sir!\They're actually doing this ceremony in order.\Sir Hero, what kind of a country did you think we were?\This is a national affair.\Of course everything needs to be done orderly.\Captain of the Imperial Guards, Lady Eclair Martinozzi. response:	Yes, sir!
context: Leader of the Knights, Laurent Martinozzi, please come forward.\Yes, sir!\They're actually doing this ceremony in order.\Sir Hero, what kind of a country did you think we were?\This is a national affair.\Of course everything needs to be done orderly.\Captain of the Imperial Guards, Lady Eclair Martinozzi.\Yes, sir! response:	Eclair, thank you for taking care of our hero on the battlefield.
context: Yes, sir!\They're actually doing this ceremony in order.\Sir Hero, what kind of a country did you think we were?\This is a national affair.\Of course everything needs to be done orderly.\Captain of the Imperial Guards, Lady Eclair Martinozzi.\Yes, sir!\Eclair, thank you for taking care of our hero on the battlefield. response:	You were also the first person who came to save me just now, right?
context: They're actually doing this ceremony in order.\Sir Hero, what kind of a country did you think we were?\This is a national affair.\Of course everything needs to be done orderly.\Captain of the Imperial Guards, Lady Eclair Martinozzi.\Yes, sir!\Eclair, thank you for taking care of our hero on the battlefield.\You were also the first person who came to save me just now, right? response:	No, I was just...
context: Sir Hero, what kind of a country did you think we were?\This is a national affair.\Of course everything needs to be done orderly.\Captain of the Imperial Guards, Lady Eclair Martinozzi.\Yes, sir!\Eclair, thank you for taking care of our hero on the battlefield.\You were also the first person who came to save me just now, right?\No, I was just... response:	Thank you, Eclair.
context: This is a national affair.\Of course everything needs to be done orderly.\Captain of the Imperial Guards, Lady Eclair Martinozzi.\Yes, sir!\Eclair, thank you for taking care of our hero on the battlefield.\You were also the first person who came to save me just now, right?\No, I was just...\Thank you, Eclair. response:	I-I'm honored by your blessing.
context: Of course everything needs to be done orderly.\Captain of the Imperial Guards, Lady Eclair Martinozzi.\Yes, sir!\Eclair, thank you for taking care of our hero on the battlefield.\You were also the first person who came to save me just now, right?\No, I was just...\Thank you, Eclair.\I-I'm honored by your blessing. response:	Eclair is ecstatic.
context: Captain of the Imperial Guards, Lady Eclair Martinozzi.\Yes, sir!\Eclair, thank you for taking care of our hero on the battlefield.\You were also the first person who came to save me just now, right?\No, I was just...\Thank you, Eclair.\I-I'm honored by your blessing.\Eclair is ecstatic. response:	Because it's a great honor to be patted by the princess.
context: Yes, sir!\Eclair, thank you for taking care of our hero on the battlefield.\You were also the first person who came to save me just now, right?\No, I was just...\Thank you, Eclair.\I-I'm honored by your blessing.\Eclair is ecstatic.\Because it's a great honor to be patted by the princess. response:	She looks so happy.
context: Eclair, thank you for taking care of our hero on the battlefield.\You were also the first person who came to save me just now, right?\No, I was just...\Thank you, Eclair.\I-I'm honored by your blessing.\Eclair is ecstatic.\Because it's a great honor to be patted by the princess.\She looks so happy. response:	Anyway, that's it.
context: You were also the first person who came to save me just now, right?\No, I was just...\Thank you, Eclair.\I-I'm honored by your blessing.\Eclair is ecstatic.\Because it's a great honor to be patted by the princess.\She looks so happy.\Anyway, that's it. response:	It's been a few days since Sir Hero came to Flonyard.
context: No, I was just...\Thank you, Eclair.\I-I'm honored by your blessing.\Eclair is ecstatic.\Because it's a great honor to be patted by the princess.\She looks so happy.\Anyway, that's it.\It's been a few days since Sir Hero came to Flonyard. response:	Sorry to disturb.
context: Thank you, Eclair.\I-I'm honored by your blessing.\Eclair is ecstatic.\Because it's a great honor to be patted by the princess.\She looks so happy.\Anyway, that's it.\It's been a few days since Sir Hero came to Flonyard.\Sorry to disturb. response:	Here you go. It's the usual clippings,
context: I-I'm honored by your blessing.\Eclair is ecstatic.\Because it's a great honor to be patted by the princess.\She looks so happy.\Anyway, that's it.\It's been a few days since Sir Hero came to Flonyard.\Sorry to disturb.\Here you go. It's the usual clippings, response:	and there's something extra.
context: Eclair is ecstatic.\Because it's a great honor to be patted by the princess.\She looks so happy.\Anyway, that's it.\It's been a few days since Sir Hero came to Flonyard.\Sorry to disturb.\Here you go. It's the usual clippings,\and there's something extra. response:	Thank you.
context: Because it's a great honor to be patted by the princess.\She looks so happy.\Anyway, that's it.\It's been a few days since Sir Hero came to Flonyard.\Sorry to disturb.\Here you go. It's the usual clippings,\and there's something extra.\Thank you. response:	Ah, we have refreshments for the knights, too.
context: She looks so happy.\Anyway, that's it.\It's been a few days since Sir Hero came to Flonyard.\Sorry to disturb.\Here you go. It's the usual clippings,\and there's something extra.\Thank you.\Ah, we have refreshments for the knights, too. response:	Could you help us deliver it?
context: Anyway, that's it.\It's been a few days since Sir Hero came to Flonyard.\Sorry to disturb.\Here you go. It's the usual clippings,\and there's something extra.\Thank you.\Ah, we have refreshments for the knights, too.\Could you help us deliver it? response:	Sure!
context: It's been a few days since Sir Hero came to Flonyard.\Sorry to disturb.\Here you go. It's the usual clippings,\and there's something extra.\Thank you.\Ah, we have refreshments for the knights, too.\Could you help us deliver it?\Sure! response:	There's also a share for the two of you.
context: Sorry to disturb.\Here you go. It's the usual clippings,\and there's something extra.\Thank you.\Ah, we have refreshments for the knights, too.\Could you help us deliver it?\Sure!\There's also a share for the two of you. response:	Understood!
context: Here you go. It's the usual clippings,\and there's something extra.\Thank you.\Ah, we have refreshments for the knights, too.\Could you help us deliver it?\Sure!\There's also a share for the two of you.\Understood! response:	This smell...
context: and there's something extra.\Thank you.\Ah, we have refreshments for the knights, too.\Could you help us deliver it?\Sure!\There's also a share for the two of you.\Understood!\This smell... response:	Today's refreshment is flower honey flavored tart.
context: Thank you.\Ah, we have refreshments for the knights, too.\Could you help us deliver it?\Sure!\There's also a share for the two of you.\Understood!\This smell...\Today's refreshment is flower honey flavored tart. response:	Smells good.
context: Ah, we have refreshments for the knights, too.\Could you help us deliver it?\Sure!\There's also a share for the two of you.\Understood!\This smell...\Today's refreshment is flower honey flavored tart.\Smells good. response:	So Rico, or even girls in general, really do have a sweet tooth, huh?
context: Could you help us deliver it?\Sure!\There's also a share for the two of you.\Understood!\This smell...\Today's refreshment is flower honey flavored tart.\Smells good.\So Rico, or even girls in general, really do have a sweet tooth, huh? response:	I'm not just an ordinary girl. I use my brain a lot.
context: Sure!\There's also a share for the two of you.\Understood!\This smell...\Today's refreshment is flower honey flavored tart.\Smells good.\So Rico, or even girls in general, really do have a sweet tooth, huh?\I'm not just an ordinary girl. I use my brain a lot. response:	I need all the sugar I can get!
context: There's also a share for the two of you.\Understood!\This smell...\Today's refreshment is flower honey flavored tart.\Smells good.\So Rico, or even girls in general, really do have a sweet tooth, huh?\I'm not just an ordinary girl. I use my brain a lot.\I need all the sugar I can get! response:	Whoa!
context: Understood!\This smell...\Today's refreshment is flower honey flavored tart.\Smells good.\So Rico, or even girls in general, really do have a sweet tooth, huh?\I'm not just an ordinary girl. I use my brain a lot.\I need all the sugar I can get!\Whoa! response:	The hero and the chief are delivering this personally?
context: This smell...\Today's refreshment is flower honey flavored tart.\Smells good.\So Rico, or even girls in general, really do have a sweet tooth, huh?\I'm not just an ordinary girl. I use my brain a lot.\I need all the sugar I can get!\Whoa!\The hero and the chief are delivering this personally? response:	Sorry for the trouble.
context: Today's refreshment is flower honey flavored tart.\Smells good.\So Rico, or even girls in general, really do have a sweet tooth, huh?\I'm not just an ordinary girl. I use my brain a lot.\I need all the sugar I can get!\Whoa!\The hero and the chief are delivering this personally?\Sorry for the trouble. response:	No problem!
context: Smells good.\So Rico, or even girls in general, really do have a sweet tooth, huh?\I'm not just an ordinary girl. I use my brain a lot.\I need all the sugar I can get!\Whoa!\The hero and the chief are delivering this personally?\Sorry for the trouble.\No problem! response:	Everyone, the kitchen has provided refreshments.
context: So Rico, or even girls in general, really do have a sweet tooth, huh?\I'm not just an ordinary girl. I use my brain a lot.\I need all the sugar I can get!\Whoa!\The hero and the chief are delivering this personally?\Sorry for the trouble.\No problem!\Everyone, the kitchen has provided refreshments. response:	Let's take a break!
context: I'm not just an ordinary girl. I use my brain a lot.\I need all the sugar I can get!\Whoa!\The hero and the chief are delivering this personally?\Sorry for the trouble.\No problem!\Everyone, the kitchen has provided refreshments.\Let's take a break! response:	Yes, sir!
context: I need all the sugar I can get!\Whoa!\The hero and the chief are delivering this personally?\Sorry for the trouble.\No problem!\Everyone, the kitchen has provided refreshments.\Let's take a break!\Yes, sir! response:	Eclair!
context: Whoa!\The hero and the chief are delivering this personally?\Sorry for the trouble.\No problem!\Everyone, the kitchen has provided refreshments.\Let's take a break!\Yes, sir!\Eclair! response:	We have refreshments!
context: The hero and the chief are delivering this personally?\Sorry for the trouble.\No problem!\Everyone, the kitchen has provided refreshments.\Let's take a break!\Yes, sir!\Eclair!\We have refreshments! response:	Oh, I'm all right. I don't need any.
context: Sorry for the trouble.\No problem!\Everyone, the kitchen has provided refreshments.\Let's take a break!\Yes, sir!\Eclair!\We have refreshments!\Oh, I'm all right. I don't need any. response:	Whoa! That's unusual.
context: No problem!\Everyone, the kitchen has provided refreshments.\Let's take a break!\Yes, sir!\Eclair!\We have refreshments!\Oh, I'm all right. I don't need any.\Whoa! That's unusual. response:	I just want to practice a little more.
context: Everyone, the kitchen has provided refreshments.\Let's take a break!\Yes, sir!\Eclair!\We have refreshments!\Oh, I'm all right. I don't need any.\Whoa! That's unusual.\I just want to practice a little more. response:	Ah, then why don't I help you?
context: Let's take a break!\Yes, sir!\Eclair!\We have refreshments!\Oh, I'm all right. I don't need any.\Whoa! That's unusual.\I just want to practice a little more.\Ah, then why don't I help you? response:	Sounds like a good idea.
context: Yes, sir!\Eclair!\We have refreshments!\Oh, I'm all right. I don't need any.\Whoa! That's unusual.\I just want to practice a little more.\Ah, then why don't I help you?\Sounds like a good idea. response:	Sir Hero, can you assist her once more?
context: Eclair!\We have refreshments!\Oh, I'm all right. I don't need any.\Whoa! That's unusual.\I just want to practice a little more.\Ah, then why don't I help you?\Sounds like a good idea.\Sir Hero, can you assist her once more? response:	Sure!
context: We have refreshments!\Oh, I'm all right. I don't need any.\Whoa! That's unusual.\I just want to practice a little more.\Ah, then why don't I help you?\Sounds like a good idea.\Sir Hero, can you assist her once more?\Sure! response:	Everyone, take a good look!
