context: Yeah, that's right, short stuff, do as much as you can. response:	I, ReaCoom- san, will let you match up against me, okay?
context: Yeah, that's right, short stuff, do as much as you can.\I, ReaCoom- san, will let you match up against me, okay? response:	Darn it!
context: Yeah, that's right, short stuff, do as much as you can.\I, ReaCoom- san, will let you match up against me, okay?\Darn it! response:	Ultimately, we're not going to get a turn, huh?
context: Yeah, that's right, short stuff, do as much as you can.\I, ReaCoom- san, will let you match up against me, okay?\Darn it!\Ultimately, we're not going to get a turn, huh? response:	That's okay.
context: Yeah, that's right, short stuff, do as much as you can.\I, ReaCoom- san, will let you match up against me, okay?\Darn it!\Ultimately, we're not going to get a turn, huh?\That's okay. response:	Taking out those two runts wouldn't give us anything to boast about anyhow.
context: Yeah, that's right, short stuff, do as much as you can.\I, ReaCoom- san, will let you match up against me, okay?\Darn it!\Ultimately, we're not going to get a turn, huh?\That's okay.\Taking out those two runts wouldn't give us anything to boast about anyhow. response:	G- Gohan...
context: Yeah, that's right, short stuff, do as much as you can.\I, ReaCoom- san, will let you match up against me, okay?\Darn it!\Ultimately, we're not going to get a turn, huh?\That's okay.\Taking out those two runts wouldn't give us anything to boast about anyhow.\G- Gohan... response:	That's pretty good.
context: Yeah, that's right, short stuff, do as much as you can.\I, ReaCoom- san, will let you match up against me, okay?\Darn it!\Ultimately, we're not going to get a turn, huh?\That's okay.\Taking out those two runts wouldn't give us anything to boast about anyhow.\G- Gohan...\That's pretty good. response:	How about this, though?
context: I, ReaCoom- san, will let you match up against me, okay?\Darn it!\Ultimately, we're not going to get a turn, huh?\That's okay.\Taking out those two runts wouldn't give us anything to boast about anyhow.\G- Gohan...\That's pretty good.\How about this, though? response:	All righty...
context: Darn it!\Ultimately, we're not going to get a turn, huh?\That's okay.\Taking out those two runts wouldn't give us anything to boast about anyhow.\G- Gohan...\That's pretty good.\How about this, though?\All righty... response:	Masenko!!
context: Ultimately, we're not going to get a turn, huh?\That's okay.\Taking out those two runts wouldn't give us anything to boast about anyhow.\G- Gohan...\That's pretty good.\How about this, though?\All righty...\Masenko!! response:	Did you see that?
context: That's okay.\Taking out those two runts wouldn't give us anything to boast about anyhow.\G- Gohan...\That's pretty good.\How about this, though?\All righty...\Masenko!!\Did you see that? response:	Yeah, for just a second, his battle power was over 20,000.
context: Taking out those two runts wouldn't give us anything to boast about anyhow.\G- Gohan...\That's pretty good.\How about this, though?\All righty...\Masenko!!\Did you see that?\Yeah, for just a second, his battle power was over 20,000. response:	Gohan...
context: G- Gohan...\That's pretty good.\How about this, though?\All righty...\Masenko!!\Did you see that?\Yeah, for just a second, his battle power was over 20,000.\Gohan... response:	Wow, you're good, you're good. You made my handsies smart.
context: That's pretty good.\How about this, though?\All righty...\Masenko!!\Did you see that?\Yeah, for just a second, his battle power was over 20,000.\Gohan...\Wow, you're good, you're good. You made my handsies smart. response:	Now then...
context: How about this, though?\All righty...\Masenko!!\Did you see that?\Yeah, for just a second, his battle power was over 20,000.\Gohan...\Wow, you're good, you're good. You made my handsies smart.\Now then... response:	Take this!
context: All righty...\Masenko!!\Did you see that?\Yeah, for just a second, his battle power was over 20,000.\Gohan...\Wow, you're good, you're good. You made my handsies smart.\Now then...\Take this! response:	G- Gohan!
context: Masenko!!\Did you see that?\Yeah, for just a second, his battle power was over 20,000.\Gohan...\Wow, you're good, you're good. You made my handsies smart.\Now then...\Take this!\G- Gohan! response:	Oh, my. Is something the matter, Goku- chan's wife?
context: Did you see that?\Yeah, for just a second, his battle power was over 20,000.\Gohan...\Wow, you're good, you're good. You made my handsies smart.\Now then...\Take this!\G- Gohan!\Oh, my. Is something the matter, Goku- chan's wife? response:	Gohan- chan is in a terrible fix.
context: Yeah, for just a second, his battle power was over 20,000.\Gohan...\Wow, you're good, you're good. You made my handsies smart.\Now then...\Take this!\G- Gohan!\Oh, my. Is something the matter, Goku- chan's wife?\Gohan- chan is in a terrible fix. response:	Gohan- chan...
context: Gohan...\Wow, you're good, you're good. You made my handsies smart.\Now then...\Take this!\G- Gohan!\Oh, my. Is something the matter, Goku- chan's wife?\Gohan- chan is in a terrible fix.\Gohan- chan... response:	My Gohan- chan...
context: Wow, you're good, you're good. You made my handsies smart.\Now then...\Take this!\G- Gohan!\Oh, my. Is something the matter, Goku- chan's wife?\Gohan- chan is in a terrible fix.\Gohan- chan...\My Gohan- chan... response:	Cheer up, Missus. Gohan- chan will be fine. My Bulma said so.
context: Now then...\Take this!\G- Gohan!\Oh, my. Is something the matter, Goku- chan's wife?\Gohan- chan is in a terrible fix.\Gohan- chan...\My Gohan- chan...\Cheer up, Missus. Gohan- chan will be fine. My Bulma said so. response:	Is it ready!?
context: Take this!\G- Gohan!\Oh, my. Is something the matter, Goku- chan's wife?\Gohan- chan is in a terrible fix.\Gohan- chan...\My Gohan- chan...\Cheer up, Missus. Gohan- chan will be fine. My Bulma said so.\Is it ready!? response:	Oh, is that you, Chichi- san? Have a look at how wonderfully this is turning out.
context: G- Gohan!\Oh, my. Is something the matter, Goku- chan's wife?\Gohan- chan is in a terrible fix.\Gohan- chan...\My Gohan- chan...\Cheer up, Missus. Gohan- chan will be fine. My Bulma said so.\Is it ready!?\Oh, is that you, Chichi- san? Have a look at how wonderfully this is turning out. response:	You wouldn't think that I put it together in just two days, would you?
context: Oh, my. Is something the matter, Goku- chan's wife?\Gohan- chan is in a terrible fix.\Gohan- chan...\My Gohan- chan...\Cheer up, Missus. Gohan- chan will be fine. My Bulma said so.\Is it ready!?\Oh, is that you, Chichi- san? Have a look at how wonderfully this is turning out.\You wouldn't think that I put it together in just two days, would you? response:	I'll tell you, this second one was a lot easier than the last one.
context: Gohan- chan is in a terrible fix.\Gohan- chan...\My Gohan- chan...\Cheer up, Missus. Gohan- chan will be fine. My Bulma said so.\Is it ready!?\Oh, is that you, Chichi- san? Have a look at how wonderfully this is turning out.\You wouldn't think that I put it together in just two days, would you?\I'll tell you, this second one was a lot easier than the last one. response:	I even nailed down the right location for the speakers.
context: Gohan- chan...\My Gohan- chan...\Cheer up, Missus. Gohan- chan will be fine. My Bulma said so.\Is it ready!?\Oh, is that you, Chichi- san? Have a look at how wonderfully this is turning out.\You wouldn't think that I put it together in just two days, would you?\I'll tell you, this second one was a lot easier than the last one.\I even nailed down the right location for the speakers. response:	All I need to do now is a test flight.
context: My Gohan- chan...\Cheer up, Missus. Gohan- chan will be fine. My Bulma said so.\Is it ready!?\Oh, is that you, Chichi- san? Have a look at how wonderfully this is turning out.\You wouldn't think that I put it together in just two days, would you?\I'll tell you, this second one was a lot easier than the last one.\I even nailed down the right location for the speakers.\All I need to do now is a test flight. response:	Just you wait, Gohan! Ma is comin' to save you right now!
context: Cheer up, Missus. Gohan- chan will be fine. My Bulma said so.\Is it ready!?\Oh, is that you, Chichi- san? Have a look at how wonderfully this is turning out.\You wouldn't think that I put it together in just two days, would you?\I'll tell you, this second one was a lot easier than the last one.\I even nailed down the right location for the speakers.\All I need to do now is a test flight.\Just you wait, Gohan! Ma is comin' to save you right now! response:	Hey, Chichi- san, won't you let me explain how to use it before you go!?
context: Is it ready!?\Oh, is that you, Chichi- san? Have a look at how wonderfully this is turning out.\You wouldn't think that I put it together in just two days, would you?\I'll tell you, this second one was a lot easier than the last one.\I even nailed down the right location for the speakers.\All I need to do now is a test flight.\Just you wait, Gohan! Ma is comin' to save you right now!\Hey, Chichi- san, won't you let me explain how to use it before you go!? response:	Just which one of these is the startin' switch!?
context: Oh, is that you, Chichi- san? Have a look at how wonderfully this is turning out.\You wouldn't think that I put it together in just two days, would you?\I'll tell you, this second one was a lot easier than the last one.\I even nailed down the right location for the speakers.\All I need to do now is a test flight.\Just you wait, Gohan! Ma is comin' to save you right now!\Hey, Chichi- san, won't you let me explain how to use it before you go!?\Just which one of these is the startin' switch!? response:	Hey, just a minute, I say!
context: You wouldn't think that I put it together in just two days, would you?\I'll tell you, this second one was a lot easier than the last one.\I even nailed down the right location for the speakers.\All I need to do now is a test flight.\Just you wait, Gohan! Ma is comin' to save you right now!\Hey, Chichi- san, won't you let me explain how to use it before you go!?\Just which one of these is the startin' switch!?\Hey, just a minute, I say! response:	G- Gohan!
context: I'll tell you, this second one was a lot easier than the last one.\I even nailed down the right location for the speakers.\All I need to do now is a test flight.\Just you wait, Gohan! Ma is comin' to save you right now!\Hey, Chichi- san, won't you let me explain how to use it before you go!?\Just which one of these is the startin' switch!?\Hey, just a minute, I say!\G- Gohan! response:	There, didn't I tell you so?
context: I even nailed down the right location for the speakers.\All I need to do now is a test flight.\Just you wait, Gohan! Ma is comin' to save you right now!\Hey, Chichi- san, won't you let me explain how to use it before you go!?\Just which one of these is the startin' switch!?\Hey, just a minute, I say!\G- Gohan!\There, didn't I tell you so? response:	Gohan- chan!
context: All I need to do now is a test flight.\Just you wait, Gohan! Ma is comin' to save you right now!\Hey, Chichi- san, won't you let me explain how to use it before you go!?\Just which one of these is the startin' switch!?\Hey, just a minute, I say!\G- Gohan!\There, didn't I tell you so?\Gohan- chan! response:	Still alive?
context: Just you wait, Gohan! Ma is comin' to save you right now!\Hey, Chichi- san, won't you let me explain how to use it before you go!?\Just which one of these is the startin' switch!?\Hey, just a minute, I say!\G- Gohan!\There, didn't I tell you so?\Gohan- chan!\Still alive? response:	Good, good!
context: Hey, Chichi- san, won't you let me explain how to use it before you go!?\Just which one of these is the startin' switch!?\Hey, just a minute, I say!\G- Gohan!\There, didn't I tell you so?\Gohan- chan!\Still alive?\Good, good! response:	Magnificent, Ginyu- san.
context: Just which one of these is the startin' switch!?\Hey, just a minute, I say!\G- Gohan!\There, didn't I tell you so?\Gohan- chan!\Still alive?\Good, good!\Magnificent, Ginyu- san. response:	I would not have expected you to bring me all seven Dragon Balls so quickly.
context: Hey, just a minute, I say!\G- Gohan!\There, didn't I tell you so?\Gohan- chan!\Still alive?\Good, good!\Magnificent, Ginyu- san.\I would not have expected you to bring me all seven Dragon Balls so quickly. response:	It was worth it to call in the Ginyu Special Corps, all right.
context: G- Gohan!\There, didn't I tell you so?\Gohan- chan!\Still alive?\Good, good!\Magnificent, Ginyu- san.\I would not have expected you to bring me all seven Dragon Balls so quickly.\It was worth it to call in the Ginyu Special Corps, all right. response:	It gives me, Ginyu, no greater joy than to have you say so, Freeza- sama.
context: There, didn't I tell you so?\Gohan- chan!\Still alive?\Good, good!\Magnificent, Ginyu- san.\I would not have expected you to bring me all seven Dragon Balls so quickly.\It was worth it to call in the Ginyu Special Corps, all right.\It gives me, Ginyu, no greater joy than to have you say so, Freeza- sama. response:	This means that I am about to acquire eternal life.
context: Gohan- chan!\Still alive?\Good, good!\Magnificent, Ginyu- san.\I would not have expected you to bring me all seven Dragon Balls so quickly.\It was worth it to call in the Ginyu Special Corps, all right.\It gives me, Ginyu, no greater joy than to have you say so, Freeza- sama.\This means that I am about to acquire eternal life. response:	What wonderful joy.
context: Still alive?\Good, good!\Magnificent, Ginyu- san.\I would not have expected you to bring me all seven Dragon Balls so quickly.\It was worth it to call in the Ginyu Special Corps, all right.\It gives me, Ginyu, no greater joy than to have you say so, Freeza- sama.\This means that I am about to acquire eternal life.\What wonderful joy. response:	If you would like, shall I dance the dance of joy?
context: Good, good!\Magnificent, Ginyu- san.\I would not have expected you to bring me all seven Dragon Balls so quickly.\It was worth it to call in the Ginyu Special Corps, all right.\It gives me, Ginyu, no greater joy than to have you say so, Freeza- sama.\This means that I am about to acquire eternal life.\What wonderful joy.\If you would like, shall I dance the dance of joy? response:	P- perhaps you could do that next time.
context: Magnificent, Ginyu- san.\I would not have expected you to bring me all seven Dragon Balls so quickly.\It was worth it to call in the Ginyu Special Corps, all right.\It gives me, Ginyu, no greater joy than to have you say so, Freeza- sama.\This means that I am about to acquire eternal life.\What wonderful joy.\If you would like, shall I dance the dance of joy?\P- perhaps you could do that next time. response:	Really?
context: I would not have expected you to bring me all seven Dragon Balls so quickly.\It was worth it to call in the Ginyu Special Corps, all right.\It gives me, Ginyu, no greater joy than to have you say so, Freeza- sama.\This means that I am about to acquire eternal life.\What wonderful joy.\If you would like, shall I dance the dance of joy?\P- perhaps you could do that next time.\Really? response:	Who would have thought the immortal youth I dreamed about would come true?
context: It was worth it to call in the Ginyu Special Corps, all right.\It gives me, Ginyu, no greater joy than to have you say so, Freeza- sama.\This means that I am about to acquire eternal life.\What wonderful joy.\If you would like, shall I dance the dance of joy?\P- perhaps you could do that next time.\Really?\Who would have thought the immortal youth I dreamed about would come true? response:	Even I, of all people, am starting to get excited.
context: It gives me, Ginyu, no greater joy than to have you say so, Freeza- sama.\This means that I am about to acquire eternal life.\What wonderful joy.\If you would like, shall I dance the dance of joy?\P- perhaps you could do that next time.\Really?\Who would have thought the immortal youth I dreamed about would come true?\Even I, of all people, am starting to get excited. response:	The birth of the perfect and everlasting
context: This means that I am about to acquire eternal life.\What wonderful joy.\If you would like, shall I dance the dance of joy?\P- perhaps you could do that next time.\Really?\Who would have thought the immortal youth I dreamed about would come true?\Even I, of all people, am starting to get excited.\The birth of the perfect and everlasting response:	ruler of the universe is about to happen, isn't that right?
context: What wonderful joy.\If you would like, shall I dance the dance of joy?\P- perhaps you could do that next time.\Really?\Who would have thought the immortal youth I dreamed about would come true?\Even I, of all people, am starting to get excited.\The birth of the perfect and everlasting\ruler of the universe is about to happen, isn't that right? response:	Now, Dragon Balls, give me, Freeza- sama, eternal life and youth!
context: If you would like, shall I dance the dance of joy?\P- perhaps you could do that next time.\Really?\Who would have thought the immortal youth I dreamed about would come true?\Even I, of all people, am starting to get excited.\The birth of the perfect and everlasting\ruler of the universe is about to happen, isn't that right?\Now, Dragon Balls, give me, Freeza- sama, eternal life and youth! response:	W - what was that?
context: P- perhaps you could do that next time.\Really?\Who would have thought the immortal youth I dreamed about would come true?\Even I, of all people, am starting to get excited.\The birth of the perfect and everlasting\ruler of the universe is about to happen, isn't that right?\Now, Dragon Balls, give me, Freeza- sama, eternal life and youth!\W - what was that? response:	l've got an odd feeling of uneasiness.
context: Really?\Who would have thought the immortal youth I dreamed about would come true?\Even I, of all people, am starting to get excited.\The birth of the perfect and everlasting\ruler of the universe is about to happen, isn't that right?\Now, Dragon Balls, give me, Freeza- sama, eternal life and youth!\W - what was that?\l've got an odd feeling of uneasiness. response:	No doubt about it,
context: Who would have thought the immortal youth I dreamed about would come true?\Even I, of all people, am starting to get excited.\The birth of the perfect and everlasting\ruler of the universe is about to happen, isn't that right?\Now, Dragon Balls, give me, Freeza- sama, eternal life and youth!\W - what was that?\l've got an odd feeling of uneasiness.\No doubt about it, response:	the hands of evil will be extended toward Grand Elder-sama in the very near future!
context: Even I, of all people, am starting to get excited.\The birth of the perfect and everlasting\ruler of the universe is about to happen, isn't that right?\Now, Dragon Balls, give me, Freeza- sama, eternal life and youth!\W - what was that?\l've got an odd feeling of uneasiness.\No doubt about it,\the hands of evil will be extended toward Grand Elder-sama in the very near future! response:	Forgive me, Earthlings. I have a duty to protect Grand Elder-sama!
context: The birth of the perfect and everlasting\ruler of the universe is about to happen, isn't that right?\Now, Dragon Balls, give me, Freeza- sama, eternal life and youth!\W - what was that?\l've got an odd feeling of uneasiness.\No doubt about it,\the hands of evil will be extended toward Grand Elder-sama in the very near future!\Forgive me, Earthlings. I have a duty to protect Grand Elder-sama! response:	Darn it...
context: ruler of the universe is about to happen, isn't that right?\Now, Dragon Balls, give me, Freeza- sama, eternal life and youth!\W - what was that?\l've got an odd feeling of uneasiness.\No doubt about it,\the hands of evil will be extended toward Grand Elder-sama in the very near future!\Forgive me, Earthlings. I have a duty to protect Grand Elder-sama!\Darn it... response:	Father!
context: Now, Dragon Balls, give me, Freeza- sama, eternal life and youth!\W - what was that?\l've got an odd feeling of uneasiness.\No doubt about it,\the hands of evil will be extended toward Grand Elder-sama in the very near future!\Forgive me, Earthlings. I have a duty to protect Grand Elder-sama!\Darn it...\Father! response:	You got up, did you?
context: W - what was that?\l've got an odd feeling of uneasiness.\No doubt about it,\the hands of evil will be extended toward Grand Elder-sama in the very near future!\Forgive me, Earthlings. I have a duty to protect Grand Elder-sama!\Darn it...\Father!\You got up, did you? response:	You got up, you got up!
context: l've got an odd feeling of uneasiness.\No doubt about it,\the hands of evil will be extended toward Grand Elder-sama in the very near future!\Forgive me, Earthlings. I have a duty to protect Grand Elder-sama!\Darn it...\Father!\You got up, did you?\You got up, you got up! response:	I won't be beaten. Not by you.
