context: Congratulations, Louise FranCoise. response:	I really am unworthy of such an honorary title as Chevalier.
context: Congratulations, Louise FranCoise.\I really am unworthy of such an honorary title as Chevalier. response:	You all achieved something that deserves that title.
context: Congratulations, Louise FranCoise.\I really am unworthy of such an honorary title as Chevalier.\You all achieved something that deserves that title. response:	Capturing the thief that had the entire Palace up in arms...
context: Congratulations, Louise FranCoise.\I really am unworthy of such an honorary title as Chevalier.\You all achieved something that deserves that title.\Capturing the thief that had the entire Palace up in arms... response:	I thank you as well, trustworthy familiar.
context: Congratulations, Louise FranCoise.\I really am unworthy of such an honorary title as Chevalier.\You all achieved something that deserves that title.\Capturing the thief that had the entire Palace up in arms...\I thank you as well, trustworthy familiar. response:	Oh, no...
context: Congratulations, Louise FranCoise.\I really am unworthy of such an honorary title as Chevalier.\You all achieved something that deserves that title.\Capturing the thief that had the entire Palace up in arms...\I thank you as well, trustworthy familiar.\Oh, no... response:	I trust that you will continue to take good care of my dear friend.
context: Congratulations, Louise FranCoise.\I really am unworthy of such an honorary title as Chevalier.\You all achieved something that deserves that title.\Capturing the thief that had the entire Palace up in arms...\I thank you as well, trustworthy familiar.\Oh, no...\I trust that you will continue to take good care of my dear friend. response:	You should not, Princess!
context: Congratulations, Louise FranCoise.\I really am unworthy of such an honorary title as Chevalier.\You all achieved something that deserves that title.\Capturing the thief that had the entire Palace up in arms...\I thank you as well, trustworthy familiar.\Oh, no...\I trust that you will continue to take good care of my dear friend.\You should not, Princess! response:	To allow your hand to such a familiar...
context: I really am unworthy of such an honorary title as Chevalier.\You all achieved something that deserves that title.\Capturing the thief that had the entire Palace up in arms...\I thank you as well, trustworthy familiar.\Oh, no...\I trust that you will continue to take good care of my dear friend.\You should not, Princess!\To allow your hand to such a familiar... response:	To protect you is equal to swearing loyalty to me.
context: You all achieved something that deserves that title.\Capturing the thief that had the entire Palace up in arms...\I thank you as well, trustworthy familiar.\Oh, no...\I trust that you will continue to take good care of my dear friend.\You should not, Princess!\To allow your hand to such a familiar...\To protect you is equal to swearing loyalty to me. response:	There must be something in return for such an oath of loyalty.
context: Capturing the thief that had the entire Palace up in arms...\I thank you as well, trustworthy familiar.\Oh, no...\I trust that you will continue to take good care of my dear friend.\You should not, Princess!\To allow your hand to such a familiar...\To protect you is equal to swearing loyalty to me.\There must be something in return for such an oath of loyalty. response:	A hand? So I'm being treated like a dog after all?
context: I thank you as well, trustworthy familiar.\Oh, no...\I trust that you will continue to take good care of my dear friend.\You should not, Princess!\To allow your hand to such a familiar...\To protect you is equal to swearing loyalty to me.\There must be something in return for such an oath of loyalty.\A hand? So I'm being treated like a dog after all? response:	That's not it.
context: Oh, no...\I trust that you will continue to take good care of my dear friend.\You should not, Princess!\To allow your hand to such a familiar...\To protect you is equal to swearing loyalty to me.\There must be something in return for such an oath of loyalty.\A hand? So I'm being treated like a dog after all?\That's not it. response:	To put it bluntly, you can kiss her.
context: I trust that you will continue to take good care of my dear friend.\You should not, Princess!\To allow your hand to such a familiar...\To protect you is equal to swearing loyalty to me.\There must be something in return for such an oath of loyalty.\A hand? So I'm being treated like a dog after all?\That's not it.\To put it bluntly, you can kiss her. response:	Ki...
context: You should not, Princess!\To allow your hand to such a familiar...\To protect you is equal to swearing loyalty to me.\There must be something in return for such an oath of loyalty.\A hand? So I'm being treated like a dog after all?\That's not it.\To put it bluntly, you can kiss her.\Ki... response:	I can't be that fearless!
context: To allow your hand to such a familiar...\To protect you is equal to swearing loyalty to me.\There must be something in return for such an oath of loyalty.\A hand? So I'm being treated like a dog after all?\That's not it.\To put it bluntly, you can kiss her.\Ki...\I can't be that fearless! response:	Hurry up. You're being rude.
context: To protect you is equal to swearing loyalty to me.\There must be something in return for such an oath of loyalty.\A hand? So I'm being treated like a dog after all?\That's not it.\To put it bluntly, you can kiss her.\Ki...\I can't be that fearless!\Hurry up. You're being rude. response:	Then, excuse me.
context: There must be something in return for such an oath of loyalty.\A hand? So I'm being treated like a dog after all?\That's not it.\To put it bluntly, you can kiss her.\Ki...\I can't be that fearless!\Hurry up. You're being rude.\Then, excuse me. response:	Huh?
context: A hand? So I'm being treated like a dog after all?\That's not it.\To put it bluntly, you can kiss her.\Ki...\I can't be that fearless!\Hurry up. You're being rude.\Then, excuse me.\Huh? response:	What did you just do to the Royal Highness?!
context: That's not it.\To put it bluntly, you can kiss her.\Ki...\I can't be that fearless!\Hurry up. You're being rude.\Then, excuse me.\Huh?\What did you just do to the Royal Highness?! response:	You dog!
context: To put it bluntly, you can kiss her.\Ki...\I can't be that fearless!\Hurry up. You're being rude.\Then, excuse me.\Huh?\What did you just do to the Royal Highness?!\You dog! response:	A history of the couple's romance that starts from the first kiss
context: Ki...\I can't be that fearless!\Hurry up. You're being rude.\Then, excuse me.\Huh?\What did you just do to the Royal Highness?!\You dog!\A history of the couple's romance that starts from the first kiss response:	You, the one who cast magic on this destiny, suddenly appeared
context: I can't be that fearless!\Hurry up. You're being rude.\Then, excuse me.\Huh?\What did you just do to the Royal Highness?!\You dog!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared response:	The sky where two moons never fade away
context: Hurry up. You're being rude.\Then, excuse me.\Huh?\What did you just do to the Royal Highness?!\You dog!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away response:	That's an impossibility, right?
context: Then, excuse me.\Huh?\What did you just do to the Royal Highness?!\You dog!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right? response:	This is the first time I've felt anything like this
context: Huh?\What did you just do to the Royal Highness?!\You dog!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this response:	I'm feeling more and more at ease with this place
context: What did you just do to the Royal Highness?!\You dog!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place response:	Even if you trip and become depressed
context: You dog!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed response:	I will always hold you tight with a squeeze
context: A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze response:	The story where we met that day stays hot with a sweet kiss
context: You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss response:	See, you can cast magic, and the wishes will surely come true
context: The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true response:	A history of the couple's romance that starts from the first kiss
context: That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss response:	You, the one who cast magic on this destiny, suddenly appeared
context: This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared response:	Louise's Part-time Job
context: I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Louise's Part-time Job response:	I am terribly sorry about this!
context: Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Louise's Part-time Job\I am terribly sorry about this! response:	Hey!
context: I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Louise's Part-time Job\I am terribly sorry about this!\Hey! response:	Hurry up and apologize!
context: The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Louise's Part-time Job\I am terribly sorry about this!\Hey!\Hurry up and apologize! response:	I'm sorry.
context: See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Louise's Part-time Job\I am terribly sorry about this!\Hey!\Hurry up and apologize!\I'm sorry. response:	But you said I could kiss her.
context: A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Louise's Part-time Job\I am terribly sorry about this!\Hey!\Hurry up and apologize!\I'm sorry.\But you said I could kiss her. response:	What idiot out there would kiss her lips?!
context: You, the one who cast magic on this destiny, suddenly appeared\Louise's Part-time Job\I am terribly sorry about this!\Hey!\Hurry up and apologize!\I'm sorry.\But you said I could kiss her.\What idiot out there would kiss her lips?! response:	Right here.
context: Louise's Part-time Job\I am terribly sorry about this!\Hey!\Hurry up and apologize!\I'm sorry.\But you said I could kiss her.\What idiot out there would kiss her lips?!\Right here. response:	It is all right...
context: I am terribly sorry about this!\Hey!\Hurry up and apologize!\I'm sorry.\But you said I could kiss her.\What idiot out there would kiss her lips?!\Right here.\It is all right... response:	A reward is necessary for an oath of loyalty.
context: Hey!\Hurry up and apologize!\I'm sorry.\But you said I could kiss her.\What idiot out there would kiss her lips?!\Right here.\It is all right...\A reward is necessary for an oath of loyalty. response:	Actually, I have a favor to ask of you.
context: Hurry up and apologize!\I'm sorry.\But you said I could kiss her.\What idiot out there would kiss her lips?!\Right here.\It is all right...\A reward is necessary for an oath of loyalty.\Actually, I have a favor to ask of you. response:	Please, go ahead and ask anything of us.
context: I'm sorry.\But you said I could kiss her.\What idiot out there would kiss her lips?!\Right here.\It is all right...\A reward is necessary for an oath of loyalty.\Actually, I have a favor to ask of you.\Please, go ahead and ask anything of us. response:	If you tell us to die, I will immediately
context: But you said I could kiss her.\What idiot out there would kiss her lips?!\Right here.\It is all right...\A reward is necessary for an oath of loyalty.\Actually, I have a favor to ask of you.\Please, go ahead and ask anything of us.\If you tell us to die, I will immediately response:	throw myself out of the window, and take this stupid dog with me!
context: What idiot out there would kiss her lips?!\Right here.\It is all right...\A reward is necessary for an oath of loyalty.\Actually, I have a favor to ask of you.\Please, go ahead and ask anything of us.\If you tell us to die, I will immediately\throw myself out of the window, and take this stupid dog with me! response:	Wait, hold on! What are...
context: Right here.\It is all right...\A reward is necessary for an oath of loyalty.\Actually, I have a favor to ask of you.\Please, go ahead and ask anything of us.\If you tell us to die, I will immediately\throw myself out of the window, and take this stupid dog with me!\Wait, hold on! What are... response:	Be silent!
context: It is all right...\A reward is necessary for an oath of loyalty.\Actually, I have a favor to ask of you.\Please, go ahead and ask anything of us.\If you tell us to die, I will immediately\throw myself out of the window, and take this stupid dog with me!\Wait, hold on! What are...\Be silent! response:	I would like you two to live in the village for a while.
context: A reward is necessary for an oath of loyalty.\Actually, I have a favor to ask of you.\Please, go ahead and ask anything of us.\If you tell us to die, I will immediately\throw myself out of the window, and take this stupid dog with me!\Wait, hold on! What are...\Be silent!\I would like you two to live in the village for a while. response:	In the village?
context: Actually, I have a favor to ask of you.\Please, go ahead and ask anything of us.\If you tell us to die, I will immediately\throw myself out of the window, and take this stupid dog with me!\Wait, hold on! What are...\Be silent!\I would like you two to live in the village for a while.\In the village? response:	Thank you!
context: Please, go ahead and ask anything of us.\If you tell us to die, I will immediately\throw myself out of the window, and take this stupid dog with me!\Wait, hold on! What are...\Be silent!\I would like you two to live in the village for a while.\In the village?\Thank you! response:	So dull...
context: If you tell us to die, I will immediately\throw myself out of the window, and take this stupid dog with me!\Wait, hold on! What are...\Be silent!\I would like you two to live in the village for a while.\In the village?\Thank you!\So dull... response:	But you're the one that said we needed
context: throw myself out of the window, and take this stupid dog with me!\Wait, hold on! What are...\Be silent!\I would like you two to live in the village for a while.\In the village?\Thank you!\So dull...\But you're the one that said we needed response:	to buy new clothes to dress up as peasants.
context: Wait, hold on! What are...\Be silent!\I would like you two to live in the village for a while.\In the village?\Thank you!\So dull...\But you're the one that said we needed\to buy new clothes to dress up as peasants. response:	But don't you think we can get some clothes that are more decent?
context: Be silent!\I would like you two to live in the village for a while.\In the village?\Thank you!\So dull...\But you're the one that said we needed\to buy new clothes to dress up as peasants.\But don't you think we can get some clothes that are more decent? response:	Come on, do you really get what we're supposed to be doing?
context: I would like you two to live in the village for a while.\In the village?\Thank you!\So dull...\But you're the one that said we needed\to buy new clothes to dress up as peasants.\But don't you think we can get some clothes that are more decent?\Come on, do you really get what we're supposed to be doing? response:	Of course I do!
context: In the village?\Thank you!\So dull...\But you're the one that said we needed\to buy new clothes to dress up as peasants.\But don't you think we can get some clothes that are more decent?\Come on, do you really get what we're supposed to be doing?\Of course I do! response:	This is a warrant published by the Palace.
context: Thank you!\So dull...\But you're the one that said we needed\to buy new clothes to dress up as peasants.\But don't you think we can get some clothes that are more decent?\Come on, do you really get what we're supposed to be doing?\Of course I do!\This is a warrant published by the Palace. response:	You want us to do some spying in the village?
context: So dull...\But you're the one that said we needed\to buy new clothes to dress up as peasants.\But don't you think we can get some clothes that are more decent?\Come on, do you really get what we're supposed to be doing?\Of course I do!\This is a warrant published by the Palace.\You want us to do some spying in the village? response:	Lately, I often hear rumors of nobles oppressing the peasants.
context: But you're the one that said we needed\to buy new clothes to dress up as peasants.\But don't you think we can get some clothes that are more decent?\Come on, do you really get what we're supposed to be doing?\Of course I do!\This is a warrant published by the Palace.\You want us to do some spying in the village?\Lately, I often hear rumors of nobles oppressing the peasants. response:	When I asked those in the area,
context: to buy new clothes to dress up as peasants.\But don't you think we can get some clothes that are more decent?\Come on, do you really get what we're supposed to be doing?\Of course I do!\This is a warrant published by the Palace.\You want us to do some spying in the village?\Lately, I often hear rumors of nobles oppressing the peasants.\When I asked those in the area, response:	all of them said that such a thing would never happen,
context: But don't you think we can get some clothes that are more decent?\Come on, do you really get what we're supposed to be doing?\Of course I do!\This is a warrant published by the Palace.\You want us to do some spying in the village?\Lately, I often hear rumors of nobles oppressing the peasants.\When I asked those in the area,\all of them said that such a thing would never happen, response:	as the nobles were good role models for the peasants.
context: Come on, do you really get what we're supposed to be doing?\Of course I do!\This is a warrant published by the Palace.\You want us to do some spying in the village?\Lately, I often hear rumors of nobles oppressing the peasants.\When I asked those in the area,\all of them said that such a thing would never happen,\as the nobles were good role models for the peasants. response:	However, seeing the case between you two and Count Mott,
context: Of course I do!\This is a warrant published by the Palace.\You want us to do some spying in the village?\Lately, I often hear rumors of nobles oppressing the peasants.\When I asked those in the area,\all of them said that such a thing would never happen,\as the nobles were good role models for the peasants.\However, seeing the case between you two and Count Mott, response:	I cannot discount them as simple rumors.
context: This is a warrant published by the Palace.\You want us to do some spying in the village?\Lately, I often hear rumors of nobles oppressing the peasants.\When I asked those in the area,\all of them said that such a thing would never happen,\as the nobles were good role models for the peasants.\However, seeing the case between you two and Count Mott,\I cannot discount them as simple rumors. response:	Therefore, I would like you
context: You want us to do some spying in the village?\Lately, I often hear rumors of nobles oppressing the peasants.\When I asked those in the area,\all of them said that such a thing would never happen,\as the nobles were good role models for the peasants.\However, seeing the case between you two and Count Mott,\I cannot discount them as simple rumors.\Therefore, I would like you response:	to investigate the goings-on in the village in secret.
context: Lately, I often hear rumors of nobles oppressing the peasants.\When I asked those in the area,\all of them said that such a thing would never happen,\as the nobles were good role models for the peasants.\However, seeing the case between you two and Count Mott,\I cannot discount them as simple rumors.\Therefore, I would like you\to investigate the goings-on in the village in secret. response:	It will be a very difficult job.
context: When I asked those in the area,\all of them said that such a thing would never happen,\as the nobles were good role models for the peasants.\However, seeing the case between you two and Count Mott,\I cannot discount them as simple rumors.\Therefore, I would like you\to investigate the goings-on in the village in secret.\It will be a very difficult job. response:	Well understood, Princess!
context: all of them said that such a thing would never happen,\as the nobles were good role models for the peasants.\However, seeing the case between you two and Count Mott,\I cannot discount them as simple rumors.\Therefore, I would like you\to investigate the goings-on in the village in secret.\It will be a very difficult job.\Well understood, Princess! response:	I will make sure to get this job done, as if my life depended on it!
context: as the nobles were good role models for the peasants.\However, seeing the case between you two and Count Mott,\I cannot discount them as simple rumors.\Therefore, I would like you\to investigate the goings-on in the village in secret.\It will be a very difficult job.\Well understood, Princess!\I will make sure to get this job done, as if my life depended on it! response:	Now I'm worried about what's going to happen.
context: However, seeing the case between you two and Count Mott,\I cannot discount them as simple rumors.\Therefore, I would like you\to investigate the goings-on in the village in secret.\It will be a very difficult job.\Well understood, Princess!\I will make sure to get this job done, as if my life depended on it!\Now I'm worried about what's going to happen. response:	Next up is a horse.
context: I cannot discount them as simple rumors.\Therefore, I would like you\to investigate the goings-on in the village in secret.\It will be a very difficult job.\Well understood, Princess!\I will make sure to get this job done, as if my life depended on it!\Now I'm worried about what's going to happen.\Next up is a horse. response:	A horse?!
context: Therefore, I would like you\to investigate the goings-on in the village in secret.\It will be a very difficult job.\Well understood, Princess!\I will make sure to get this job done, as if my life depended on it!\Now I'm worried about what's going to happen.\Next up is a horse.\A horse?! response:	Really... A horse costs 400 equs?
context: to investigate the goings-on in the village in secret.\It will be a very difficult job.\Well understood, Princess!\I will make sure to get this job done, as if my life depended on it!\Now I'm worried about what's going to happen.\Next up is a horse.\A horse?!\Really... A horse costs 400 equs? response:	One horse uses up all the money we were given!
context: It will be a very difficult job.\Well understood, Princess!\I will make sure to get this job done, as if my life depended on it!\Now I'm worried about what's going to happen.\Next up is a horse.\A horse?!\Really... A horse costs 400 equs?\One horse uses up all the money we were given! response:	200 equs?!
context: Well understood, Princess!\I will make sure to get this job done, as if my life depended on it!\Now I'm worried about what's going to happen.\Next up is a horse.\A horse?!\Really... A horse costs 400 equs?\One horse uses up all the money we were given!\200 equs?! response:	Our inn is top-class, one where even nobles can spend the night.
context: I will make sure to get this job done, as if my life depended on it!\Now I'm worried about what's going to happen.\Next up is a horse.\A horse?!\Really... A horse costs 400 equs?\One horse uses up all the money we were given!\200 equs?!\Our inn is top-class, one where even nobles can spend the night. response:	We don't have nearly enough money.
context: Now I'm worried about what's going to happen.\Next up is a horse.\A horse?!\Really... A horse costs 400 equs?\One horse uses up all the money we were given!\200 equs?!\Our inn is top-class, one where even nobles can spend the night.\We don't have nearly enough money. response:	You can look for a cheaper inn, can't you?
context: Next up is a horse.\A horse?!\Really... A horse costs 400 equs?\One horse uses up all the money we were given!\200 equs?!\Our inn is top-class, one where even nobles can spend the night.\We don't have nearly enough money.\You can look for a cheaper inn, can't you? response:	No way. I can't sleep in a cheap room!
context: A horse?!\Really... A horse costs 400 equs?\One horse uses up all the money we were given!\200 equs?!\Our inn is top-class, one where even nobles can spend the night.\We don't have nearly enough money.\You can look for a cheaper inn, can't you?\No way. I can't sleep in a cheap room! response:	So this job was impossible for a girl of noble birth after all.
context: Really... A horse costs 400 equs?\One horse uses up all the money we were given!\200 equs?!\Our inn is top-class, one where even nobles can spend the night.\We don't have nearly enough money.\You can look for a cheaper inn, can't you?\No way. I can't sleep in a cheap room!\So this job was impossible for a girl of noble birth after all. response:	Fine, I'll make do by myself somehow!
context: One horse uses up all the money we were given!\200 equs?!\Our inn is top-class, one where even nobles can spend the night.\We don't have nearly enough money.\You can look for a cheaper inn, can't you?\No way. I can't sleep in a cheap room!\So this job was impossible for a girl of noble birth after all.\Fine, I'll make do by myself somehow! response:	Make do? What are you going to do?
context: 200 equs?!\Our inn is top-class, one where even nobles can spend the night.\We don't have nearly enough money.\You can look for a cheaper inn, can't you?\No way. I can't sleep in a cheap room!\So this job was impossible for a girl of noble birth after all.\Fine, I'll make do by myself somehow!\Make do? What are you going to do? response:	Don't follow me!
context: Our inn is top-class, one where even nobles can spend the night.\We don't have nearly enough money.\You can look for a cheaper inn, can't you?\No way. I can't sleep in a cheap room!\So this job was impossible for a girl of noble birth after all.\Fine, I'll make do by myself somehow!\Make do? What are you going to do?\Don't follow me! response:	Hey!
