context: Come on! Hurry up! response:	That was pathetic.
context: Come on! Hurry up!\That was pathetic. response:	You didn't even make the top eight, Hiroshi-kun.
context: Come on! Hurry up!\That was pathetic.\You didn't even make the top eight, Hiroshi-kun. response:	Now, now, Dr. Harada.
context: Come on! Hurry up!\That was pathetic.\You didn't even make the top eight, Hiroshi-kun.\Now, now, Dr. Harada. response:	This means we can cheer for Chihaya-chan and her friends.
context: Come on! Hurry up!\That was pathetic.\You didn't even make the top eight, Hiroshi-kun.\Now, now, Dr. Harada.\This means we can cheer for Chihaya-chan and her friends. response:	Oh, but if they've already lost, we're wasting our time.
context: Come on! Hurry up!\That was pathetic.\You didn't even make the top eight, Hiroshi-kun.\Now, now, Dr. Harada.\This means we can cheer for Chihaya-chan and her friends.\Oh, but if they've already lost, we're wasting our time. response:	Hiroshi-kun! Don't jinx them!
context: Come on! Hurry up!\That was pathetic.\You didn't even make the top eight, Hiroshi-kun.\Now, now, Dr. Harada.\This means we can cheer for Chihaya-chan and her friends.\Oh, but if they've already lost, we're wasting our time.\Hiroshi-kun! Don't jinx them! response:	They lost?
context: Come on! Hurry up!\That was pathetic.\You didn't even make the top eight, Hiroshi-kun.\Now, now, Dr. Harada.\This means we can cheer for Chihaya-chan and her friends.\Oh, but if they've already lost, we're wasting our time.\Hiroshi-kun! Don't jinx them!\They lost? response:	The question is: what order do we use for the finals.
context: That was pathetic.\You didn't even make the top eight, Hiroshi-kun.\Now, now, Dr. Harada.\This means we can cheer for Chihaya-chan and her friends.\Oh, but if they've already lost, we're wasting our time.\Hiroshi-kun! Don't jinx them!\They lost?\The question is: what order do we use for the finals. response:	I'm guessing one of Hokuo Academy's two Class A players
context: You didn't even make the top eight, Hiroshi-kun.\Now, now, Dr. Harada.\This means we can cheer for Chihaya-chan and her friends.\Oh, but if they've already lost, we're wasting our time.\Hiroshi-kun! Don't jinx them!\They lost?\The question is: what order do we use for the finals.\I'm guessing one of Hokuo Academy's two Class A players response:	is the guy with thin eyes.
context: Now, now, Dr. Harada.\This means we can cheer for Chihaya-chan and her friends.\Oh, but if they've already lost, we're wasting our time.\Hiroshi-kun! Don't jinx them!\They lost?\The question is: what order do we use for the finals.\I'm guessing one of Hokuo Academy's two Class A players\is the guy with thin eyes. response:	The other Class A player is that little guy.
context: This means we can cheer for Chihaya-chan and her friends.\Oh, but if they've already lost, we're wasting our time.\Hiroshi-kun! Don't jinx them!\They lost?\The question is: what order do we use for the finals.\I'm guessing one of Hokuo Academy's two Class A players\is the guy with thin eyes.\The other Class A player is that little guy. response:	You know him, Nishida?
context: Oh, but if they've already lost, we're wasting our time.\Hiroshi-kun! Don't jinx them!\They lost?\The question is: what order do we use for the finals.\I'm guessing one of Hokuo Academy's two Class A players\is the guy with thin eyes.\The other Class A player is that little guy.\You know him, Nishida? response:	I ran into him when I was practicing as a kid.
context: Hiroshi-kun! Don't jinx them!\They lost?\The question is: what order do we use for the finals.\I'm guessing one of Hokuo Academy's two Class A players\is the guy with thin eyes.\The other Class A player is that little guy.\You know him, Nishida?\I ran into him when I was practicing as a kid. response:	He's one year older than me.
context: They lost?\The question is: what order do we use for the finals.\I'm guessing one of Hokuo Academy's two Class A players\is the guy with thin eyes.\The other Class A player is that little guy.\You know him, Nishida?\I ran into him when I was practicing as a kid.\He's one year older than me. response:	But we don't know what order they're going to use.
context: The question is: what order do we use for the finals.\I'm guessing one of Hokuo Academy's two Class A players\is the guy with thin eyes.\The other Class A player is that little guy.\You know him, Nishida?\I ran into him when I was practicing as a kid.\He's one year older than me.\But we don't know what order they're going to use. response:	That's true, but if we guess correctly,
context: I'm guessing one of Hokuo Academy's two Class A players\is the guy with thin eyes.\The other Class A player is that little guy.\You know him, Nishida?\I ran into him when I was practicing as a kid.\He's one year older than me.\But we don't know what order they're going to use.\That's true, but if we guess correctly, response:	If I don't want to play against a Class A player...
context: is the guy with thin eyes.\The other Class A player is that little guy.\You know him, Nishida?\I ran into him when I was practicing as a kid.\He's one year older than me.\But we don't know what order they're going to use.\That's true, but if we guess correctly,\If I don't want to play against a Class A player... response:	that increases our chances of scoring three wins.
context: The other Class A player is that little guy.\You know him, Nishida?\I ran into him when I was practicing as a kid.\He's one year older than me.\But we don't know what order they're going to use.\That's true, but if we guess correctly,\If I don't want to play against a Class A player...\that increases our chances of scoring three wins. response:	Um... Um... Um...
context: You know him, Nishida?\I ran into him when I was practicing as a kid.\He's one year older than me.\But we don't know what order they're going to use.\That's true, but if we guess correctly,\If I don't want to play against a Class A player...\that increases our chances of scoring three wins.\Um... Um... Um... response:	Please present this to the receptionist. Match: Finals Team: Mizusawa High School Order Name Porky Kana-chan Taichi Desktomu-kun Chihaya
context: I ran into him when I was practicing as a kid.\He's one year older than me.\But we don't know what order they're going to use.\That's true, but if we guess correctly,\If I don't want to play against a Class A player...\that increases our chances of scoring three wins.\Um... Um... Um...\Please present this to the receptionist. Match: Finals Team: Mizusawa High School Order Name Porky Kana-chan Taichi Desktomu-kun Chihaya response:	Forget it! Let's use this!
context: He's one year older than me.\But we don't know what order they're going to use.\That's true, but if we guess correctly,\If I don't want to play against a Class A player...\that increases our chances of scoring three wins.\Um... Um... Um...\Please present this to the receptionist. Match: Finals Team: Mizusawa High School Order Name Porky Kana-chan Taichi Desktomu-kun Chihaya\Forget it! Let's use this! response:	Chihaya, don't just write down a random order.
context: But we don't know what order they're going to use.\That's true, but if we guess correctly,\If I don't want to play against a Class A player...\that increases our chances of scoring three wins.\Um... Um... Um...\Please present this to the receptionist. Match: Finals Team: Mizusawa High School Order Name Porky Kana-chan Taichi Desktomu-kun Chihaya\Forget it! Let's use this!\Chihaya, don't just write down a random order. response:	And you're not supposed to use nicknames.
context: That's true, but if we guess correctly,\If I don't want to play against a Class A player...\that increases our chances of scoring three wins.\Um... Um... Um...\Please present this to the receptionist. Match: Finals Team: Mizusawa High School Order Name Porky Kana-chan Taichi Desktomu-kun Chihaya\Forget it! Let's use this!\Chihaya, don't just write down a random order.\And you're not supposed to use nicknames. response:	This isn't a random order.
context: If I don't want to play against a Class A player...\that increases our chances of scoring three wins.\Um... Um... Um...\Please present this to the receptionist. Match: Finals Team: Mizusawa High School Order Name Porky Kana-chan Taichi Desktomu-kun Chihaya\Forget it! Let's use this!\Chihaya, don't just write down a random order.\And you're not supposed to use nicknames.\This isn't a random order. response:	I realized something when we were playing Tomihara West.
context: that increases our chances of scoring three wins.\Um... Um... Um...\Please present this to the receptionist. Match: Finals Team: Mizusawa High School Order Name Porky Kana-chan Taichi Desktomu-kun Chihaya\Forget it! Let's use this!\Chihaya, don't just write down a random order.\And you're not supposed to use nicknames.\This isn't a random order.\I realized something when we were playing Tomihara West. response:	The player in the center needs to be someone with an active voice
context: Um... Um... Um...\Please present this to the receptionist. Match: Finals Team: Mizusawa High School Order Name Porky Kana-chan Taichi Desktomu-kun Chihaya\Forget it! Let's use this!\Chihaya, don't just write down a random order.\And you're not supposed to use nicknames.\This isn't a random order.\I realized something when we were playing Tomihara West.\The player in the center needs to be someone with an active voice response:	who can keep an eye on everyone else.
context: Please present this to the receptionist. Match: Finals Team: Mizusawa High School Order Name Porky Kana-chan Taichi Desktomu-kun Chihaya\Forget it! Let's use this!\Chihaya, don't just write down a random order.\And you're not supposed to use nicknames.\This isn't a random order.\I realized something when we were playing Tomihara West.\The player in the center needs to be someone with an active voice\who can keep an eye on everyone else. response:	On our team, that would be Taichi.
context: Forget it! Let's use this!\Chihaya, don't just write down a random order.\And you're not supposed to use nicknames.\This isn't a random order.\I realized something when we were playing Tomihara West.\The player in the center needs to be someone with an active voice\who can keep an eye on everyone else.\On our team, that would be Taichi. response:	The players on the ends should be
context: Chihaya, don't just write down a random order.\And you're not supposed to use nicknames.\This isn't a random order.\I realized something when we were playing Tomihara West.\The player in the center needs to be someone with an active voice\who can keep an eye on everyone else.\On our team, that would be Taichi.\The players on the ends should be response:	focused on their own matches and scoring a quick win.
context: And you're not supposed to use nicknames.\This isn't a random order.\I realized something when we were playing Tomihara West.\The player in the center needs to be someone with an active voice\who can keep an eye on everyone else.\On our team, that would be Taichi.\The players on the ends should be\focused on their own matches and scoring a quick win. response:	That's Porky and me.
context: This isn't a random order.\I realized something when we were playing Tomihara West.\The player in the center needs to be someone with an active voice\who can keep an eye on everyone else.\On our team, that would be Taichi.\The players on the ends should be\focused on their own matches and scoring a quick win.\That's Porky and me. response:	Yeah...
context: I realized something when we were playing Tomihara West.\The player in the center needs to be someone with an active voice\who can keep an eye on everyone else.\On our team, that would be Taichi.\The players on the ends should be\focused on their own matches and scoring a quick win.\That's Porky and me.\Yeah... response:	Monitor the situation Work hard Chihaya Desktomu Taichi Kana-chan Porky Work super hard
context: The player in the center needs to be someone with an active voice\who can keep an eye on everyone else.\On our team, that would be Taichi.\The players on the ends should be\focused on their own matches and scoring a quick win.\That's Porky and me.\Yeah...\Monitor the situation Work hard Chihaya Desktomu Taichi Kana-chan Porky Work super hard response:	Then, we put Kana-chan and Desktomu-kun
