context: My name is Shippo. response:	I'm a baby fox-demon of justice!
context: My name is Shippo.\I'm a baby fox-demon of justice! response:	With vassals Inuyasha and others,
context: My name is Shippo.\I'm a baby fox-demon of justice!\With vassals Inuyasha and others, response:	I roam the countryside conquering evil demons.
context: My name is Shippo.\I'm a baby fox-demon of justice!\With vassals Inuyasha and others,\I roam the countryside conquering evil demons. response:	But sometimes, even I need a respite from time to time.
context: My name is Shippo.\I'm a baby fox-demon of justice!\With vassals Inuyasha and others,\I roam the countryside conquering evil demons.\But sometimes, even I need a respite from time to time. response:	But the peace was to last but a moment.
context: My name is Shippo.\I'm a baby fox-demon of justice!\With vassals Inuyasha and others,\I roam the countryside conquering evil demons.\But sometimes, even I need a respite from time to time.\But the peace was to last but a moment. response:	An arrow bearing a message!
context: My name is Shippo.\I'm a baby fox-demon of justice!\With vassals Inuyasha and others,\I roam the countryside conquering evil demons.\But sometimes, even I need a respite from time to time.\But the peace was to last but a moment.\An arrow bearing a message! response:	What?!
context: My name is Shippo.\I'm a baby fox-demon of justice!\With vassals Inuyasha and others,\I roam the countryside conquering evil demons.\But sometimes, even I need a respite from time to time.\But the peace was to last but a moment.\An arrow bearing a message!\What?! response:	A challenge to a duel?!
context: I'm a baby fox-demon of justice!\With vassals Inuyasha and others,\I roam the countryside conquering evil demons.\But sometimes, even I need a respite from time to time.\But the peace was to last but a moment.\An arrow bearing a message!\What?!\A challenge to a duel?! response:	Raiju... Soten?
context: With vassals Inuyasha and others,\I roam the countryside conquering evil demons.\But sometimes, even I need a respite from time to time.\But the peace was to last but a moment.\An arrow bearing a message!\What?!\A challenge to a duel?!\Raiju... Soten? response:	This was just a prelude
context: I roam the countryside conquering evil demons.\But sometimes, even I need a respite from time to time.\But the peace was to last but a moment.\An arrow bearing a message!\What?!\A challenge to a duel?!\Raiju... Soten?\This was just a prelude response:	to my continuing life as a fighting warrior.
context: But sometimes, even I need a respite from time to time.\But the peace was to last but a moment.\An arrow bearing a message!\What?!\A challenge to a duel?!\Raiju... Soten?\This was just a prelude\to my continuing life as a fighting warrior. response:	Soten, I have delivered the letter.
context: But the peace was to last but a moment.\An arrow bearing a message!\What?!\A challenge to a duel?!\Raiju... Soten?\This was just a prelude\to my continuing life as a fighting warrior.\Soten, I have delivered the letter. response:	The time has come.
context: An arrow bearing a message!\What?!\A challenge to a duel?!\Raiju... Soten?\This was just a prelude\to my continuing life as a fighting warrior.\Soten, I have delivered the letter.\The time has come. response:	I, Koryu, have waited so long for this day.
context: What?!\A challenge to a duel?!\Raiju... Soten?\This was just a prelude\to my continuing life as a fighting warrior.\Soten, I have delivered the letter.\The time has come.\I, Koryu, have waited so long for this day. response:	I beseech you to do your utmost as the sole survivor of the Raiju Tribe!
context: A challenge to a duel?!\Raiju... Soten?\This was just a prelude\to my continuing life as a fighting warrior.\Soten, I have delivered the letter.\The time has come.\I, Koryu, have waited so long for this day.\I beseech you to do your utmost as the sole survivor of the Raiju Tribe! response:	Let's see...
context: Raiju... Soten?\This was just a prelude\to my continuing life as a fighting warrior.\Soten, I have delivered the letter.\The time has come.\I, Koryu, have waited so long for this day.\I beseech you to do your utmost as the sole survivor of the Raiju Tribe!\Let's see... response:	To Shippo...
context: This was just a prelude\to my continuing life as a fighting warrior.\Soten, I have delivered the letter.\The time has come.\I, Koryu, have waited so long for this day.\I beseech you to do your utmost as the sole survivor of the Raiju Tribe!\Let's see...\To Shippo... response:	To uphold the honor of the Raiju Tribe,
context: to my continuing life as a fighting warrior.\Soten, I have delivered the letter.\The time has come.\I, Koryu, have waited so long for this day.\I beseech you to do your utmost as the sole survivor of the Raiju Tribe!\Let's see...\To Shippo...\To uphold the honor of the Raiju Tribe, response:	I challenge you to a duel to the death.
context: Soten, I have delivered the letter.\The time has come.\I, Koryu, have waited so long for this day.\I beseech you to do your utmost as the sole survivor of the Raiju Tribe!\Let's see...\To Shippo...\To uphold the honor of the Raiju Tribe,\I challenge you to a duel to the death. response:	On this day at sundown, I await your coming at Raimei Valley.
context: The time has come.\I, Koryu, have waited so long for this day.\I beseech you to do your utmost as the sole survivor of the Raiju Tribe!\Let's see...\To Shippo...\To uphold the honor of the Raiju Tribe,\I challenge you to a duel to the death.\On this day at sundown, I await your coming at Raimei Valley. response:	If you dare run away, consider your friends' lives to be lost.
context: I, Koryu, have waited so long for this day.\I beseech you to do your utmost as the sole survivor of the Raiju Tribe!\Let's see...\To Shippo...\To uphold the honor of the Raiju Tribe,\I challenge you to a duel to the death.\On this day at sundown, I await your coming at Raimei Valley.\If you dare run away, consider your friends' lives to be lost. response:	Is that a challenge to a duel?
context: I beseech you to do your utmost as the sole survivor of the Raiju Tribe!\Let's see...\To Shippo...\To uphold the honor of the Raiju Tribe,\I challenge you to a duel to the death.\On this day at sundown, I await your coming at Raimei Valley.\If you dare run away, consider your friends' lives to be lost.\Is that a challenge to a duel? response:	Raimei Valley is close by.
context: Let's see...\To Shippo...\To uphold the honor of the Raiju Tribe,\I challenge you to a duel to the death.\On this day at sundown, I await your coming at Raimei Valley.\If you dare run away, consider your friends' lives to be lost.\Is that a challenge to a duel?\Raimei Valley is close by. response:	Isn't that where the Thunder Brothers used to live?
context: To Shippo...\To uphold the honor of the Raiju Tribe,\I challenge you to a duel to the death.\On this day at sundown, I await your coming at Raimei Valley.\If you dare run away, consider your friends' lives to be lost.\Is that a challenge to a duel?\Raimei Valley is close by.\Isn't that where the Thunder Brothers used to live? response:	I wonder if Hiten and Manten were relatives?
context: To uphold the honor of the Raiju Tribe,\I challenge you to a duel to the death.\On this day at sundown, I await your coming at Raimei Valley.\If you dare run away, consider your friends' lives to be lost.\Is that a challenge to a duel?\Raimei Valley is close by.\Isn't that where the Thunder Brothers used to live?\I wonder if Hiten and Manten were relatives? response:	Hey you! Don't read my letter!
context: I challenge you to a duel to the death.\On this day at sundown, I await your coming at Raimei Valley.\If you dare run away, consider your friends' lives to be lost.\Is that a challenge to a duel?\Raimei Valley is close by.\Isn't that where the Thunder Brothers used to live?\I wonder if Hiten and Manten were relatives?\Hey you! Don't read my letter! response:	But it's strange...
context: On this day at sundown, I await your coming at Raimei Valley.\If you dare run away, consider your friends' lives to be lost.\Is that a challenge to a duel?\Raimei Valley is close by.\Isn't that where the Thunder Brothers used to live?\I wonder if Hiten and Manten were relatives?\Hey you! Don't read my letter!\But it's strange... response:	What is?
