context: Okay! response:	I'm off!
context: Okay!\I'm off! response:	Have some Kamogawa Soup.
context: Okay!\I'm off!\Have some Kamogawa Soup. response:	It's good.
context: Okay!\I'm off!\Have some Kamogawa Soup.\It's good. response:	Thank you.
context: Okay!\I'm off!\Have some Kamogawa Soup.\It's good.\Thank you. response:	Thanks for waiting!
context: Okay!\I'm off!\Have some Kamogawa Soup.\It's good.\Thank you.\Thanks for waiting! response:	Shall we get going?
context: Okay!\I'm off!\Have some Kamogawa Soup.\It's good.\Thank you.\Thanks for waiting!\Shall we get going? response:	Yes.
context: Okay!\I'm off!\Have some Kamogawa Soup.\It's good.\Thank you.\Thanks for waiting!\Shall we get going?\Yes. response:	We're heading out!
context: I'm off!\Have some Kamogawa Soup.\It's good.\Thank you.\Thanks for waiting!\Shall we get going?\Yes.\We're heading out! response:	Where?
context: Have some Kamogawa Soup.\It's good.\Thank you.\Thanks for waiting!\Shall we get going?\Yes.\We're heading out!\Where? response:	Isn't it obvious? To get revenge!
context: It's good.\Thank you.\Thanks for waiting!\Shall we get going?\Yes.\We're heading out!\Where?\Isn't it obvious? To get revenge! response:	Why?
context: Thank you.\Thanks for waiting!\Shall we get going?\Yes.\We're heading out!\Where?\Isn't it obvious? To get revenge!\Why? response:	What do you mean, why?
context: Thanks for waiting!\Shall we get going?\Yes.\We're heading out!\Where?\Isn't it obvious? To get revenge!\Why?\What do you mean, why? response:	Why?
context: Shall we get going?\Yes.\We're heading out!\Where?\Isn't it obvious? To get revenge!\Why?\What do you mean, why?\Why? response:	Hey Uncle, look after her for us!
context: Yes.\We're heading out!\Where?\Isn't it obvious? To get revenge!\Why?\What do you mean, why?\Why?\Hey Uncle, look after her for us! response:	What?
context: We're heading out!\Where?\Isn't it obvious? To get revenge!\Why?\What do you mean, why?\Why?\Hey Uncle, look after her for us!\What? response:	Giuvigiuvio...
context: Where?\Isn't it obvious? To get revenge!\Why?\What do you mean, why?\Why?\Hey Uncle, look after her for us!\What?\Giuvigiuvio... response:	I swear...
context: Isn't it obvious? To get revenge!\Why?\What do you mean, why?\Why?\Hey Uncle, look after her for us!\What?\Giuvigiuvio...\I swear... response:	You're going down!
context: Why?\What do you mean, why?\Why?\Hey Uncle, look after her for us!\What?\Giuvigiuvio...\I swear...\You're going down! response:	The Wind, Fire, and Water Above Kamogawa
context: What do you mean, why?\Why?\Hey Uncle, look after her for us!\What?\Giuvigiuvio...\I swear...\You're going down!\The Wind, Fire, and Water Above Kamogawa response:	The Wind, Fire, and Water Above Kamogawa
context: Why?\Hey Uncle, look after her for us!\What?\Giuvigiuvio...\I swear...\You're going down!\The Wind, Fire, and Water Above Kamogawa\The Wind, Fire, and Water Above Kamogawa response:	Sorry to keep you waiting, sir. I'm ready now!
context: Hey Uncle, look after her for us!\What?\Giuvigiuvio...\I swear...\You're going down!\The Wind, Fire, and Water Above Kamogawa\The Wind, Fire, and Water Above Kamogawa\Sorry to keep you waiting, sir. I'm ready now! response:	Midori, taking off!
context: What?\Giuvigiuvio...\I swear...\You're going down!\The Wind, Fire, and Water Above Kamogawa\The Wind, Fire, and Water Above Kamogawa\Sorry to keep you waiting, sir. I'm ready now!\Midori, taking off! response:	Kyono...
context: Giuvigiuvio...\I swear...\You're going down!\The Wind, Fire, and Water Above Kamogawa\The Wind, Fire, and Water Above Kamogawa\Sorry to keep you waiting, sir. I'm ready now!\Midori, taking off!\Kyono... response:	Yes, sir!
context: I swear...\You're going down!\The Wind, Fire, and Water Above Kamogawa\The Wind, Fire, and Water Above Kamogawa\Sorry to keep you waiting, sir. I'm ready now!\Midori, taking off!\Kyono...\Yes, sir! response:	Who said we're going to attack?
context: You're going down!\The Wind, Fire, and Water Above Kamogawa\The Wind, Fire, and Water Above Kamogawa\Sorry to keep you waiting, sir. I'm ready now!\Midori, taking off!\Kyono...\Yes, sir!\Who said we're going to attack? response:	What? But I just said it, sir!
context: The Wind, Fire, and Water Above Kamogawa\The Wind, Fire, and Water Above Kamogawa\Sorry to keep you waiting, sir. I'm ready now!\Midori, taking off!\Kyono...\Yes, sir!\Who said we're going to attack?\What? But I just said it, sir! response:	Listen, that doesn't mean you can just get up and go.
context: The Wind, Fire, and Water Above Kamogawa\Sorry to keep you waiting, sir. I'm ready now!\Midori, taking off!\Kyono...\Yes, sir!\Who said we're going to attack?\What? But I just said it, sir!\Listen, that doesn't mean you can just get up and go. response:	Besides, how do you expect to win when you don't even have a strategy?
context: Sorry to keep you waiting, sir. I'm ready now!\Midori, taking off!\Kyono...\Yes, sir!\Who said we're going to attack?\What? But I just said it, sir!\Listen, that doesn't mean you can just get up and go.\Besides, how do you expect to win when you don't even have a strategy? response:	The one who makes the first move wins!
context: Midori, taking off!\Kyono...\Yes, sir!\Who said we're going to attack?\What? But I just said it, sir!\Listen, that doesn't mean you can just get up and go.\Besides, how do you expect to win when you don't even have a strategy?\The one who makes the first move wins! response:	That's the first rule of the Sweats Club!
context: Kyono...\Yes, sir!\Who said we're going to attack?\What? But I just said it, sir!\Listen, that doesn't mean you can just get up and go.\Besides, how do you expect to win when you don't even have a strategy?\The one who makes the first move wins!\That's the first rule of the Sweats Club! response:	Get out of the cockpit and standby! That's all.
context: Yes, sir!\Who said we're going to attack?\What? But I just said it, sir!\Listen, that doesn't mean you can just get up and go.\Besides, how do you expect to win when you don't even have a strategy?\The one who makes the first move wins!\That's the first rule of the Sweats Club!\Get out of the cockpit and standby! That's all. response:	Hey, wait!
context: Who said we're going to attack?\What? But I just said it, sir!\Listen, that doesn't mean you can just get up and go.\Besides, how do you expect to win when you don't even have a strategy?\The one who makes the first move wins!\That's the first rule of the Sweats Club!\Get out of the cockpit and standby! That's all.\Hey, wait! response:	Now explain it to me again from the beginning.
context: What? But I just said it, sir!\Listen, that doesn't mean you can just get up and go.\Besides, how do you expect to win when you don't even have a strategy?\The one who makes the first move wins!\That's the first rule of the Sweats Club!\Get out of the cockpit and standby! That's all.\Hey, wait!\Now explain it to me again from the beginning. response:	So if we don't destroy all three Vox units,
context: Listen, that doesn't mean you can just get up and go.\Besides, how do you expect to win when you don't even have a strategy?\The one who makes the first move wins!\That's the first rule of the Sweats Club!\Get out of the cockpit and standby! That's all.\Hey, wait!\Now explain it to me again from the beginning.\So if we don't destroy all three Vox units, response:	he'll destroy them along with Pharos?
context: Besides, how do you expect to win when you don't even have a strategy?\The one who makes the first move wins!\That's the first rule of the Sweats Club!\Get out of the cockpit and standby! That's all.\Hey, wait!\Now explain it to me again from the beginning.\So if we don't destroy all three Vox units,\he'll destroy them along with Pharos? response:	His objective is pretty clear.
context: The one who makes the first move wins!\That's the first rule of the Sweats Club!\Get out of the cockpit and standby! That's all.\Hey, wait!\Now explain it to me again from the beginning.\So if we don't destroy all three Vox units,\he'll destroy them along with Pharos?\His objective is pretty clear. response:	What sort of person are we dealing with?
context: That's the first rule of the Sweats Club!\Get out of the cockpit and standby! That's all.\Hey, wait!\Now explain it to me again from the beginning.\So if we don't destroy all three Vox units,\he'll destroy them along with Pharos?\His objective is pretty clear.\What sort of person are we dealing with? response:	Did he really come all this way just to declare war on us?
context: Get out of the cockpit and standby! That's all.\Hey, wait!\Now explain it to me again from the beginning.\So if we don't destroy all three Vox units,\he'll destroy them along with Pharos?\His objective is pretty clear.\What sort of person are we dealing with?\Did he really come all this way just to declare war on us? response:	He's debris.
context: Hey, wait!\Now explain it to me again from the beginning.\So if we don't destroy all three Vox units,\he'll destroy them along with Pharos?\His objective is pretty clear.\What sort of person are we dealing with?\Did he really come all this way just to declare war on us?\He's debris. response:	Debris?
context: Now explain it to me again from the beginning.\So if we don't destroy all three Vox units,\he'll destroy them along with Pharos?\His objective is pretty clear.\What sort of person are we dealing with?\Did he really come all this way just to declare war on us?\He's debris.\Debris? response:	Space trash.
context: So if we don't destroy all three Vox units,\he'll destroy them along with Pharos?\His objective is pretty clear.\What sort of person are we dealing with?\Did he really come all this way just to declare war on us?\He's debris.\Debris?\Space trash. response:	More accurately, he's ex-royalty from a planet that shared a longstanding alliance with us.
context: he'll destroy them along with Pharos?\His objective is pretty clear.\What sort of person are we dealing with?\Did he really come all this way just to declare war on us?\He's debris.\Debris?\Space trash.\More accurately, he's ex-royalty from a planet that shared a longstanding alliance with us. response:	However, currently he's the leader of a criminal group that calls itself Kiss.
context: His objective is pretty clear.\What sort of person are we dealing with?\Did he really come all this way just to declare war on us?\He's debris.\Debris?\Space trash.\More accurately, he's ex-royalty from a planet that shared a longstanding alliance with us.\However, currently he's the leader of a criminal group that calls itself Kiss. response:	You could say he's the enemy mastermind.
context: What sort of person are we dealing with?\Did he really come all this way just to declare war on us?\He's debris.\Debris?\Space trash.\More accurately, he's ex-royalty from a planet that shared a longstanding alliance with us.\However, currently he's the leader of a criminal group that calls itself Kiss.\You could say he's the enemy mastermind. response:	How the mighty has fallen.
context: Did he really come all this way just to declare war on us?\He's debris.\Debris?\Space trash.\More accurately, he's ex-royalty from a planet that shared a longstanding alliance with us.\However, currently he's the leader of a criminal group that calls itself Kiss.\You could say he's the enemy mastermind.\How the mighty has fallen. response:	You said we have until tomorrow morning.
context: He's debris.\Debris?\Space trash.\More accurately, he's ex-royalty from a planet that shared a longstanding alliance with us.\However, currently he's the leader of a criminal group that calls itself Kiss.\You could say he's the enemy mastermind.\How the mighty has fallen.\You said we have until tomorrow morning. response:	Calculating the time since sunset yesterday,
context: Debris?\Space trash.\More accurately, he's ex-royalty from a planet that shared a longstanding alliance with us.\However, currently he's the leader of a criminal group that calls itself Kiss.\You could say he's the enemy mastermind.\How the mighty has fallen.\You said we have until tomorrow morning.\Calculating the time since sunset yesterday, response:	that leaves us with only five hours.
context: Space trash.\More accurately, he's ex-royalty from a planet that shared a longstanding alliance with us.\However, currently he's the leader of a criminal group that calls itself Kiss.\You could say he's the enemy mastermind.\How the mighty has fallen.\You said we have until tomorrow morning.\Calculating the time since sunset yesterday,\that leaves us with only five hours. response:	Let's say we listen to his demand and destroy all the Vox.
context: More accurately, he's ex-royalty from a planet that shared a longstanding alliance with us.\However, currently he's the leader of a criminal group that calls itself Kiss.\You could say he's the enemy mastermind.\How the mighty has fallen.\You said we have until tomorrow morning.\Calculating the time since sunset yesterday,\that leaves us with only five hours.\Let's say we listen to his demand and destroy all the Vox. response:	Do you think the enemy will leave Earth peacefully?
context: However, currently he's the leader of a criminal group that calls itself Kiss.\You could say he's the enemy mastermind.\How the mighty has fallen.\You said we have until tomorrow morning.\Calculating the time since sunset yesterday,\that leaves us with only five hours.\Let's say we listen to his demand and destroy all the Vox.\Do you think the enemy will leave Earth peacefully? response:	Of course not.
