context: A NETFLIX ORIGINAL SERIES response:	Then can I assign this job to you, Cattleya?
context: A NETFLIX ORIGINAL SERIES\Then can I assign this job to you, Cattleya? response:	Okay.
context: A NETFLIX ORIGINAL SERIES\Then can I assign this job to you, Cattleya?\Okay. response:	That leaves just this one.
context: A NETFLIX ORIGINAL SERIES\Then can I assign this job to you, Cattleya?\Okay.\That leaves just this one. response:	Camp Menace in Ctrigall? That's our former enemy in the north!
context: A NETFLIX ORIGINAL SERIES\Then can I assign this job to you, Cattleya?\Okay.\That leaves just this one.\Camp Menace in Ctrigall? That's our former enemy in the north! response:	Someone there requested a scribe?
context: A NETFLIX ORIGINAL SERIES\Then can I assign this job to you, Cattleya?\Okay.\That leaves just this one.\Camp Menace in Ctrigall? That's our former enemy in the north!\Someone there requested a scribe? response:	Hiring Dolls is common for stationed soldiers.
context: A NETFLIX ORIGINAL SERIES\Then can I assign this job to you, Cattleya?\Okay.\That leaves just this one.\Camp Menace in Ctrigall? That's our former enemy in the north!\Someone there requested a scribe?\Hiring Dolls is common for stationed soldiers. response:	We've placed ads everywhere, but...
context: A NETFLIX ORIGINAL SERIES\Then can I assign this job to you, Cattleya?\Okay.\That leaves just this one.\Camp Menace in Ctrigall? That's our former enemy in the north!\Someone there requested a scribe?\Hiring Dolls is common for stationed soldiers.\We've placed ads everywhere, but... response:	What's the problem?
context: Then can I assign this job to you, Cattleya?\Okay.\That leaves just this one.\Camp Menace in Ctrigall? That's our former enemy in the north!\Someone there requested a scribe?\Hiring Dolls is common for stationed soldiers.\We've placed ads everywhere, but...\What's the problem? response:	A civil war broke out in this country not too long ago.
context: Okay.\That leaves just this one.\Camp Menace in Ctrigall? That's our former enemy in the north!\Someone there requested a scribe?\Hiring Dolls is common for stationed soldiers.\We've placed ads everywhere, but...\What's the problem?\A civil war broke out in this country not too long ago. response:	Extremists who want to return to war are fighting the moderates.
context: That leaves just this one.\Camp Menace in Ctrigall? That's our former enemy in the north!\Someone there requested a scribe?\Hiring Dolls is common for stationed soldiers.\We've placed ads everywhere, but...\What's the problem?\A civil war broke out in this country not too long ago.\Extremists who want to return to war are fighting the moderates. response:	Honestly.
context: Camp Menace in Ctrigall? That's our former enemy in the north!\Someone there requested a scribe?\Hiring Dolls is common for stationed soldiers.\We've placed ads everywhere, but...\What's the problem?\A civil war broke out in this country not too long ago.\Extremists who want to return to war are fighting the moderates.\Honestly. response:	After we finally got peace.
context: Someone there requested a scribe?\Hiring Dolls is common for stationed soldiers.\We've placed ads everywhere, but...\What's the problem?\A civil war broke out in this country not too long ago.\Extremists who want to return to war are fighting the moderates.\Honestly.\After we finally got peace. response:	I guess that means there are some people in the world who can't live without war.
context: Hiring Dolls is common for stationed soldiers.\We've placed ads everywhere, but...\What's the problem?\A civil war broke out in this country not too long ago.\Extremists who want to return to war are fighting the moderates.\Honestly.\After we finally got peace.\I guess that means there are some people in the world who can't live without war. response:	I guess so.
context: We've placed ads everywhere, but...\What's the problem?\A civil war broke out in this country not too long ago.\Extremists who want to return to war are fighting the moderates.\Honestly.\After we finally got peace.\I guess that means there are some people in the world who can't live without war.\I guess so. response:	And Camp Menace is right on the front lines.
context: What's the problem?\A civil war broke out in this country not too long ago.\Extremists who want to return to war are fighting the moderates.\Honestly.\After we finally got peace.\I guess that means there are some people in the world who can't live without war.\I guess so.\And Camp Menace is right on the front lines. response:	I understand their desire to write a letter, but it's too dangerous.
context: A civil war broke out in this country not too long ago.\Extremists who want to return to war are fighting the moderates.\Honestly.\After we finally got peace.\I guess that means there are some people in the world who can't live without war.\I guess so.\And Camp Menace is right on the front lines.\I understand their desire to write a letter, but it's too dangerous. response:	It's unfortunate.
context: Extremists who want to return to war are fighting the moderates.\Honestly.\After we finally got peace.\I guess that means there are some people in the world who can't live without war.\I guess so.\And Camp Menace is right on the front lines.\I understand their desire to write a letter, but it's too dangerous.\It's unfortunate. response:	I'm sure the soldiers on the battlefield requested a Doll
context: Honestly.\After we finally got peace.\I guess that means there are some people in the world who can't live without war.\I guess so.\And Camp Menace is right on the front lines.\I understand their desire to write a letter, but it's too dangerous.\It's unfortunate.\I'm sure the soldiers on the battlefield requested a Doll response:	because they have messages for their loved ones.
context: After we finally got peace.\I guess that means there are some people in the world who can't live without war.\I guess so.\And Camp Menace is right on the front lines.\I understand their desire to write a letter, but it's too dangerous.\It's unfortunate.\I'm sure the soldiers on the battlefield requested a Doll\because they have messages for their loved ones. response:	But I can't send our Dolls to the battlefield.
context: I guess that means there are some people in the world who can't live without war.\I guess so.\And Camp Menace is right on the front lines.\I understand their desire to write a letter, but it's too dangerous.\It's unfortunate.\I'm sure the soldiers on the battlefield requested a Doll\because they have messages for their loved ones.\But I can't send our Dolls to the battlefield. response:	CTRIGALL, CAMP MENACE
context: I guess so.\And Camp Menace is right on the front lines.\I understand their desire to write a letter, but it's too dangerous.\It's unfortunate.\I'm sure the soldiers on the battlefield requested a Doll\because they have messages for their loved ones.\But I can't send our Dolls to the battlefield.\CTRIGALL, CAMP MENACE response:	Maria.
