context: Miyazawa Yukino's mornings begin early. response:	And are just as methodical as the novitiates of Mt. Kouya.
context: Miyazawa Yukino's mornings begin early.\And are just as methodical as the novitiates of Mt. Kouya. response:	Not a minute of my time goes to waste.
context: Miyazawa Yukino's mornings begin early.\And are just as methodical as the novitiates of Mt. Kouya.\Not a minute of my time goes to waste. response:	The better part of my day gets spent studying.
context: Miyazawa Yukino's mornings begin early.\And are just as methodical as the novitiates of Mt. Kouya.\Not a minute of my time goes to waste.\The better part of my day gets spent studying. response:	When Arima and I were going all out on our love power...
context: Miyazawa Yukino's mornings begin early.\And are just as methodical as the novitiates of Mt. Kouya.\Not a minute of my time goes to waste.\The better part of my day gets spent studying.\When Arima and I were going all out on our love power... response:	abandoned myself to amusement...
context: Miyazawa Yukino's mornings begin early.\And are just as methodical as the novitiates of Mt. Kouya.\Not a minute of my time goes to waste.\The better part of my day gets spent studying.\When Arima and I were going all out on our love power...\abandoned myself to amusement... response:	But now I've begun studying again.
context: Miyazawa Yukino's mornings begin early.\And are just as methodical as the novitiates of Mt. Kouya.\Not a minute of my time goes to waste.\The better part of my day gets spent studying.\When Arima and I were going all out on our love power...\abandoned myself to amusement...\But now I've begun studying again. response:	I decided to work hard so that our relationship would be accepted by the school.
context: Miyazawa Yukino's mornings begin early.\And are just as methodical as the novitiates of Mt. Kouya.\Not a minute of my time goes to waste.\The better part of my day gets spent studying.\When Arima and I were going all out on our love power...\abandoned myself to amusement...\But now I've begun studying again.\I decided to work hard so that our relationship would be accepted by the school. response:	At least, that's the official reason. Actually, it's because I'm mildly humiliated
context: And are just as methodical as the novitiates of Mt. Kouya.\Not a minute of my time goes to waste.\The better part of my day gets spent studying.\When Arima and I were going all out on our love power...\abandoned myself to amusement...\But now I've begun studying again.\I decided to work hard so that our relationship would be accepted by the school.\At least, that's the official reason. Actually, it's because I'm mildly humiliated response:	even though he was slacking off with me.
context: Not a minute of my time goes to waste.\The better part of my day gets spent studying.\When Arima and I were going all out on our love power...\abandoned myself to amusement...\But now I've begun studying again.\I decided to work hard so that our relationship would be accepted by the school.\At least, that's the official reason. Actually, it's because I'm mildly humiliated\even though he was slacking off with me. response:	*Miyazawa Awakens Family*
context: The better part of my day gets spent studying.\When Arima and I were going all out on our love power...\abandoned myself to amusement...\But now I've begun studying again.\I decided to work hard so that our relationship would be accepted by the school.\At least, that's the official reason. Actually, it's because I'm mildly humiliated\even though he was slacking off with me.\*Miyazawa Awakens Family* response:	They're still trying to sleep.
context: When Arima and I were going all out on our love power...\abandoned myself to amusement...\But now I've begun studying again.\I decided to work hard so that our relationship would be accepted by the school.\At least, that's the official reason. Actually, it's because I'm mildly humiliated\even though he was slacking off with me.\*Miyazawa Awakens Family*\They're still trying to sleep. response:	But their sleeping faces really are angelic.
context: abandoned myself to amusement...\But now I've begun studying again.\I decided to work hard so that our relationship would be accepted by the school.\At least, that's the official reason. Actually, it's because I'm mildly humiliated\even though he was slacking off with me.\*Miyazawa Awakens Family*\They're still trying to sleep.\But their sleeping faces really are angelic. response:	GROSS!
context: But now I've begun studying again.\I decided to work hard so that our relationship would be accepted by the school.\At least, that's the official reason. Actually, it's because I'm mildly humiliated\even though he was slacking off with me.\*Miyazawa Awakens Family*\They're still trying to sleep.\But their sleeping faces really are angelic.\GROSS! response:	What the hell're you doing at this hour of the morning?!
context: I decided to work hard so that our relationship would be accepted by the school.\At least, that's the official reason. Actually, it's because I'm mildly humiliated\even though he was slacking off with me.\*Miyazawa Awakens Family*\They're still trying to sleep.\But their sleeping faces really are angelic.\GROSS!\What the hell're you doing at this hour of the morning?! response:	Oh, but now you're awake.
