context: I love you, Haru. response:	I-I can't believe I just said that...
context: I love you, Haru.\I-I can't believe I just said that... response:	Wh-What now?
context: I love you, Haru.\I-I can't believe I just said that...\Wh-What now? response:	I kind of got carried away by the moment...
context: I love you, Haru.\I-I can't believe I just said that...\Wh-What now?\I kind of got carried away by the moment... response:	What does Haru think?
context: I love you, Haru.\I-I can't believe I just said that...\Wh-What now?\I kind of got carried away by the moment...\What does Haru think? response:	Oh.
context: I love you, Haru.\I-I can't believe I just said that...\Wh-What now?\I kind of got carried away by the moment...\What does Haru think?\Oh. response:	Heh...
context: I love you, Haru.\I-I can't believe I just said that...\Wh-What now?\I kind of got carried away by the moment...\What does Haru think?\Oh.\Heh... response:	Hmm...
context: I love you, Haru.\I-I can't believe I just said that...\Wh-What now?\I kind of got carried away by the moment...\What does Haru think?\Oh.\Heh...\Hmm... response:	I-I was lying.
context: I-I can't believe I just said that...\Wh-What now?\I kind of got carried away by the moment...\What does Haru think?\Oh.\Heh...\Hmm...\I-I was lying. response:	Why are you blushing?
context: Wh-What now?\I kind of got carried away by the moment...\What does Haru think?\Oh.\Heh...\Hmm...\I-I was lying.\Why are you blushing? response:	You're such a child.
context: I kind of got carried away by the moment...\What does Haru think?\Oh.\Heh...\Hmm...\I-I was lying.\Why are you blushing?\You're such a child. response:	He's acting mature?!
context: What does Haru think?\Oh.\Heh...\Hmm...\I-I was lying.\Why are you blushing?\You're such a child.\He's acting mature?! response:	Uh...
context: Oh.\Heh...\Hmm...\I-I was lying.\Why are you blushing?\You're such a child.\He's acting mature?!\Uh... response:	So...
context: Heh...\Hmm...\I-I was lying.\Why are you blushing?\You're such a child.\He's acting mature?!\Uh...\So... response:	Wanna go out?
context: Hmm...\I-I was lying.\Why are you blushing?\You're such a child.\He's acting mature?!\Uh...\So...\Wanna go out? response:	G-Go...?
context: I-I was lying.\Why are you blushing?\You're such a child.\He's acting mature?!\Uh...\So...\Wanna go out?\G-Go...? response:	N-No... I was lying.
context: Why are you blushing?\You're such a child.\He's acting mature?!\Uh...\So...\Wanna go out?\G-Go...?\N-No... I was lying. response:	Wait, you were seriously lying?
context: You're such a child.\He's acting mature?!\Uh...\So...\Wanna go out?\G-Go...?\N-No... I was lying.\Wait, you were seriously lying? response:	That's brutal.
context: He's acting mature?!\Uh...\So...\Wanna go out?\G-Go...?\N-No... I was lying.\Wait, you were seriously lying?\That's brutal. response:	Oh, well.
context: Uh...\So...\Wanna go out?\G-Go...?\N-No... I was lying.\Wait, you were seriously lying?\That's brutal.\Oh, well. response:	That makes me feel better.
context: So...\Wanna go out?\G-Go...?\N-No... I was lying.\Wait, you were seriously lying?\That's brutal.\Oh, well.\That makes me feel better. response:	I feel much, much better.
context: Wanna go out?\G-Go...?\N-No... I was lying.\Wait, you were seriously lying?\That's brutal.\Oh, well.\That makes me feel better.\I feel much, much better. response:	What?
context: G-Go...?\N-No... I was lying.\Wait, you were seriously lying?\That's brutal.\Oh, well.\That makes me feel better.\I feel much, much better.\What? response:	What?!
context: N-No... I was lying.\Wait, you were seriously lying?\That's brutal.\Oh, well.\That makes me feel better.\I feel much, much better.\What?\What?! response:	Nuisance
context: Wait, you were seriously lying?\That's brutal.\Oh, well.\That makes me feel better.\I feel much, much better.\What?\What?!\Nuisance response:	Sorry, I can't keep him at my place.
context: That's brutal.\Oh, well.\That makes me feel better.\I feel much, much better.\What?\What?!\Nuisance\Sorry, I can't keep him at my place. response:	We have a pet cat.
context: Oh, well.\That makes me feel better.\I feel much, much better.\What?\What?!\Nuisance\Sorry, I can't keep him at my place.\We have a pet cat. response:	Oh, that would be dangerous.
context: That makes me feel better.\I feel much, much better.\What?\What?!\Nuisance\Sorry, I can't keep him at my place.\We have a pet cat.\Oh, that would be dangerous. response:	The cat will eat the rooster.
context: I feel much, much better.\What?\What?!\Nuisance\Sorry, I can't keep him at my place.\We have a pet cat.\Oh, that would be dangerous.\The cat will eat the rooster. response:	Actually, my cat's too scared
