context: Rule the Court Aoba Johsai High School Volleyball Club response:	What? Again?
context: Rule the Court Aoba Johsai High School Volleyball Club\What? Again? response:	That's his fourth aced serve in a row.
context: Rule the Court Aoba Johsai High School Volleyball Club\What? Again?\That's his fourth aced serve in a row. response:	Aoba Johsai Omisaki
context: Rule the Court Aoba Johsai High School Volleyball Club\What? Again?\That's his fourth aced serve in a row.\Aoba Johsai Omisaki response:	His power goes without saying, but that control is pretty nasty, too.
context: Rule the Court Aoba Johsai High School Volleyball Club\What? Again?\That's his fourth aced serve in a row.\Aoba Johsai Omisaki\His power goes without saying, but that control is pretty nasty, too. response:	But if they can do something about that serve...
context: Rule the Court Aoba Johsai High School Volleyball Club\What? Again?\That's his fourth aced serve in a row.\Aoba Johsai Omisaki\His power goes without saying, but that control is pretty nasty, too.\But if they can do something about that serve... response:	It's true that his serves are scary,
context: Rule the Court Aoba Johsai High School Volleyball Club\What? Again?\That's his fourth aced serve in a row.\Aoba Johsai Omisaki\His power goes without saying, but that control is pretty nasty, too.\But if they can do something about that serve...\It's true that his serves are scary, response:	but Oikawa, as a setter, is completely unknown to us.
context: Rule the Court Aoba Johsai High School Volleyball Club\What? Again?\That's his fourth aced serve in a row.\Aoba Johsai Omisaki\His power goes without saying, but that control is pretty nasty, too.\But if they can do something about that serve...\It's true that his serves are scary,\but Oikawa, as a setter, is completely unknown to us. response:	One more! Nice serve!
context: What? Again?\That's his fourth aced serve in a row.\Aoba Johsai Omisaki\His power goes without saying, but that control is pretty nasty, too.\But if they can do something about that serve...\It's true that his serves are scary,\but Oikawa, as a setter, is completely unknown to us.\One more! Nice serve! response:	Sorry!
context: That's his fourth aced serve in a row.\Aoba Johsai Omisaki\His power goes without saying, but that control is pretty nasty, too.\But if they can do something about that serve...\It's true that his serves are scary,\but Oikawa, as a setter, is completely unknown to us.\One more! Nice serve!\Sorry! response:	Chance ball!
context: Aoba Johsai Omisaki\His power goes without saying, but that control is pretty nasty, too.\But if they can do something about that serve...\It's true that his serves are scary,\but Oikawa, as a setter, is completely unknown to us.\One more! Nice serve!\Sorry!\Chance ball! response:	Got it!
context: His power goes without saying, but that control is pretty nasty, too.\But if they can do something about that serve...\It's true that his serves are scary,\but Oikawa, as a setter, is completely unknown to us.\One more! Nice serve!\Sorry!\Chance ball!\Got it! response:	Okay.
context: But if they can do something about that serve...\It's true that his serves are scary,\but Oikawa, as a setter, is completely unknown to us.\One more! Nice serve!\Sorry!\Chance ball!\Got it!\Okay. response:	You know, setters...
context: It's true that his serves are scary,\but Oikawa, as a setter, is completely unknown to us.\One more! Nice serve!\Sorry!\Chance ball!\Got it!\Okay.\You know, setters... response:	are like orchestra conductors.
context: but Oikawa, as a setter, is completely unknown to us.\One more! Nice serve!\Sorry!\Chance ball!\Got it!\Okay.\You know, setters...\are like orchestra conductors. response:	Even if you have the same song and same orchestra,
context: One more! Nice serve!\Sorry!\Chance ball!\Got it!\Okay.\You know, setters...\are like orchestra conductors.\Even if you have the same song and same orchestra, response:	if the conductor is different,
context: Sorry!\Chance ball!\Got it!\Okay.\You know, setters...\are like orchestra conductors.\Even if you have the same song and same orchestra,\if the conductor is different, response:	the sound is different.
context: Chance ball!\Got it!\Okay.\You know, setters...\are like orchestra conductors.\Even if you have the same song and same orchestra,\if the conductor is different,\the sound is different. response:	Haikyu!!
context: Got it!\Okay.\You know, setters...\are like orchestra conductors.\Even if you have the same song and same orchestra,\if the conductor is different,\the sound is different.\Haikyu!! response:	Episode 19: Conductors
context: Okay.\You know, setters...\are like orchestra conductors.\Even if you have the same song and same orchestra,\if the conductor is different,\the sound is different.\Haikyu!!\Episode 19: Conductors response:	Rule the Court Aoba Johsai High School Volleyball Club
context: You know, setters...\are like orchestra conductors.\Even if you have the same song and same orchestra,\if the conductor is different,\the sound is different.\Haikyu!!\Episode 19: Conductors\Rule the Court Aoba Johsai High School Volleyball Club response:	How do I put this... They've got a very smooth transition.
context: are like orchestra conductors.\Even if you have the same song and same orchestra,\if the conductor is different,\the sound is different.\Haikyu!!\Episode 19: Conductors\Rule the Court Aoba Johsai High School Volleyball Club\How do I put this... They've got a very smooth transition. response:	Oikawa-san and Iwaizumi-san, that 4 on the left.
context: Even if you have the same song and same orchestra,\if the conductor is different,\the sound is different.\Haikyu!!\Episode 19: Conductors\Rule the Court Aoba Johsai High School Volleyball Club\How do I put this... They've got a very smooth transition.\Oikawa-san and Iwaizumi-san, that 4 on the left. response:	Apparently those two have been on the same team since grade school.
context: if the conductor is different,\the sound is different.\Haikyu!!\Episode 19: Conductors\Rule the Court Aoba Johsai High School Volleyball Club\How do I put this... They've got a very smooth transition.\Oikawa-san and Iwaizumi-san, that 4 on the left.\Apparently those two have been on the same team since grade school. response:	They're linked, both mentally and physically.
context: the sound is different.\Haikyu!!\Episode 19: Conductors\Rule the Court Aoba Johsai High School Volleyball Club\How do I put this... They've got a very smooth transition.\Oikawa-san and Iwaizumi-san, that 4 on the left.\Apparently those two have been on the same team since grade school.\They're linked, both mentally and physically. response:	I don't really think the second-year setter's level was lower in the practice match.
context: Haikyu!!\Episode 19: Conductors\Rule the Court Aoba Johsai High School Volleyball Club\How do I put this... They've got a very smooth transition.\Oikawa-san and Iwaizumi-san, that 4 on the left.\Apparently those two have been on the same team since grade school.\They're linked, both mentally and physically.\I don't really think the second-year setter's level was lower in the practice match. response:	I mean, they're in Seijoh.
context: Episode 19: Conductors\Rule the Court Aoba Johsai High School Volleyball Club\How do I put this... They've got a very smooth transition.\Oikawa-san and Iwaizumi-san, that 4 on the left.\Apparently those two have been on the same team since grade school.\They're linked, both mentally and physically.\I don't really think the second-year setter's level was lower in the practice match.\I mean, they're in Seijoh. response:	Right.
context: Rule the Court Aoba Johsai High School Volleyball Club\How do I put this... They've got a very smooth transition.\Oikawa-san and Iwaizumi-san, that 4 on the left.\Apparently those two have been on the same team since grade school.\They're linked, both mentally and physically.\I don't really think the second-year setter's level was lower in the practice match.\I mean, they're in Seijoh.\Right. response:	I think it's just that Oikawa knows everything
